familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Rhodostemonodaphne kunthiana,-77.208,-2.262,24.949999650319416,279.3333333333333
Lauraceae,Rhodostemonodaphne kunthiana,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-74.375627,-9.163761,26.425000349680584,151.5
Lauraceae,Rhodostemonodaphne kunthiana,-58.7017,4.7364,26.74999984105428,194.58333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-79.9106,8.5714,27.283333778381348,160.33333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-68.58333,-17.68333,8.041666746139526,32.583333333333336
Lauraceae,Rhodostemonodaphne kunthiana,-83.65333,9.37222,22.84166669845581,241.58333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-66.16944,7.1225,26.941666920979817,156.33333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-65.9119,7.0758,27.366666952768963,155.91666666666666
Lauraceae,Rhodostemonodaphne kunthiana,-65.7495,3.83006,22.37499984105428,253.75
Lauraceae,Rhodostemonodaphne kunthiana,-72,-1,26.09166669845581,233.91666666666666
Lauraceae,Rhodostemonodaphne kunthiana,-61.4,5.93,20.291666666666668,182.58333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-79.36666,0.36666,24.983333110809326,192
Lauraceae,Rhodostemonodaphne kunthiana,-75.4,-10.5667,18.80833371480306,108.25
Lauraceae,Rhodostemonodaphne kunthiana,-68.62,-9.1,24.824999968210857,176.33333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-65.287488,-10.245693,26.68333339691162,144.58333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-62.170601,2.74716,26.37499984105428,181.16666666666666
Lauraceae,Rhodostemonodaphne kunthiana,-73.138889,-4.0619440000000004,26.175000190734863,220.83333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-84.01,10.43,25.949999809265137,317.4166666666667
Lauraceae,Rhodostemonodaphne kunthiana,-84,10.5,26.02499993642171,310.25
Lauraceae,Rhodostemonodaphne kunthiana,-79.36666,-0.58333,24.46666669845581,217.75
Lauraceae,Rhodostemonodaphne kunthiana,-78.55,-3.68333,23.833333492279053,148.33333333333334
Lauraceae,Rhodostemonodaphne kunthiana,-79.36666,-0.58333,24.46666669845581,217.75
Lauraceae,Rhodostemonodaphne kunthiana,-75.5,7,16.18333339691162,220.91666666666666
Lauraceae,Rhodostemonodaphne kunthiana,-75.072179,7.295438,24.641666730244953,314.3333333333333
