familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Phyllanthaceae,Richeria dressleri,-84.0736,10.2972,22.34166685740153,291.25
Phyllanthaceae,Richeria dressleri,-64.705,-9.322222,26.15833346048991,157
Phyllanthaceae,Richeria dressleri,-64.614166,-9.258889,26.066666920979817,160.25
Phyllanthaceae,Richeria dressleri,-48.804722,-2.126389,26.358333428700764,207.83333333333334
Phyllanthaceae,Richeria dressleri,-84.08,10.32,23.40833346048991,297
Phyllanthaceae,Richeria dressleri,-84.06,9.51,24.50833336512248,236
Phyllanthaceae,Richeria dressleri,-83.59,8.47,26.05833339691162,305.3333333333333
Phyllanthaceae,Richeria dressleri,-83.53,8.71,24.416666825612385,286.0833333333333
Phyllanthaceae,Richeria dressleri,-83.46,8.52,23.00000015894572,276.1666666666667
Phyllanthaceae,Richeria dressleri,-84.05833,10.40277,25.59166685740153,309.5833333333333
Phyllanthaceae,Richeria dressleri,-83.37,8.77,25.97499990463257,298.5833333333333
Phyllanthaceae,Richeria dressleri,-83.3,8.75,26.266666571299236,276.5833333333333
Phyllanthaceae,Richeria dressleri,-83.25,8.76,26.133333524068195,270.9166666666667
Phyllanthaceae,Richeria dressleri,-84.62222,10.22777,22.00000015894572,289.9166666666667
Phyllanthaceae,Richeria dressleri,-84.07,10.29,21.866666952768963,289.5
Phyllanthaceae,Richeria dressleri,-83.72,10.64,25.99166663487752,313.25
Phyllanthaceae,Richeria dressleri,-83.25,8.76,26.133333524068195,270.9166666666667
Phyllanthaceae,Richeria dressleri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Phyllanthaceae,Richeria dressleri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Phyllanthaceae,Richeria dressleri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Phyllanthaceae,Richeria dressleri,-84.01666,10.43333,25.949999809265137,317.4166666666667
Phyllanthaceae,Richeria dressleri,-83.16,8.65,25.241666475931805,287.5833333333333
Phyllanthaceae,Richeria dressleri,-84.01,10.43,25.949999809265137,317.4166666666667
Phyllanthaceae,Richeria dressleri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Phyllanthaceae,Richeria dressleri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Phyllanthaceae,Richeria dressleri,-84,10.5,26.02499993642171,310.25
Phyllanthaceae,Richeria dressleri,-80.4,8.4833,27.116666316986084,167.33333333333334
Phyllanthaceae,Richeria dressleri,-60.866667,0.166667,26.925000349680584,175.16666666666666
Phyllanthaceae,Richeria dressleri,-84.05,10.4,25.34166653951009,309.8333333333333
Phyllanthaceae,Richeria dressleri,-84.0167,10.4333,25.949999809265137,316.25
Phyllanthaceae,Richeria dressleri,-84.607778,10.214722,20.541666825612385,289.8333333333333
Phyllanthaceae,Richeria dressleri,-83.591667,8.475,NA,NA
Phyllanthaceae,Richeria dressleri,-83.533334,8.716667,24.550000031789143,287.5
Phyllanthaceae,Richeria dressleri,-83.466667,8.516667,22.991666793823242,277.3333333333333
Phyllanthaceae,Richeria dressleri,-84.058333,10.402778,25.59166685740153,309.5833333333333
Phyllanthaceae,Richeria dressleri,-84.078889,10.332778,23.71666669845581,291
Phyllanthaceae,Richeria dressleri,-83.308333,8.75,25.949999809265137,272.9166666666667
Phyllanthaceae,Richeria dressleri,-83.2625,8.772222,26.416666507720947,305.8333333333333
Phyllanthaceae,Richeria dressleri,-84.01667,10.433333,25.949999809265137,316.25
Phyllanthaceae,Richeria dressleri,-83.25,8.766667,26.416666507720947,286.0833333333333
Phyllanthaceae,Richeria dressleri,-84.073611,10.297222,22.34166685740153,291.25
Phyllanthaceae,Richeria dressleri,-83.725,10.644444,25.916666507720947,306.25
Phyllanthaceae,Richeria dressleri,-83.516667,8.566667,25.608333587646484,247.58333333333334
