familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Violaceae,Rinorea dasyadena,-80.873611,7.73,22.516666571299236,187.66666666666666
Violaceae,Rinorea dasyadena,-80.466667,8.683333,25.4416667620341,204.75
Violaceae,Rinorea dasyadena,-84.5,11.166667,25.77499993642171,232.91666666666666
Violaceae,Rinorea dasyadena,-84.38333,13.63333,25.52499993642171,210.83333333333334
Violaceae,Rinorea dasyadena,-80.448611,8.691111,25.03333330154419,250.33333333333334
Violaceae,Rinorea dasyadena,-81.157222,8.539722,22.108333428700764,287.6666666666667
Violaceae,Rinorea dasyadena,-83.525,8.7,25.516666571299236,242.16666666666666
Violaceae,Rinorea dasyadena,-78.066667,9.216667,26.583333492279053,174.08333333333334
Violaceae,Rinorea dasyadena,-80.466667,8.7,24.333333333333332,267.5
Violaceae,Rinorea dasyadena,-84.2,13.966667,25.52500009536743,223.75
Violaceae,Rinorea dasyadena,-85.041667,12.875,23.924999872843426,178.5
Violaceae,Rinorea dasyadena,-84.5,13.783333,25.22500006357829,216.16666666666666
Violaceae,Rinorea dasyadena,-84.43333,11.7,25.574999968210857,207.58333333333334
Violaceae,Rinorea dasyadena,-80.591667,8.666667,22.791666348775227,291.25
Violaceae,Rinorea dasyadena,-84.333333,13.583333,25.666666348775227,211.41666666666666
Violaceae,Rinorea dasyadena,-82.161389,8.923611,25.674999713897705,240.08333333333334
Violaceae,Rinorea dasyadena,-77.166667,6.083333,25.62499984105428,479.75
Violaceae,Rinorea dasyadena,-77.36651,8.66021,26.200000127156574,158.16666666666666
Violaceae,Rinorea dasyadena,-83.53,9.04,23.416666666666668,256.75
Violaceae,Rinorea dasyadena,-79.5,9.25,25.166666825612385,217.25
Violaceae,Rinorea dasyadena,-80.6,8.633333,23.983333269755047,204.16666666666666
Violaceae,Rinorea dasyadena,-80.851111,7.701111,24.333333333333332,184.83333333333334
Violaceae,Rinorea dasyadena,-83.916667,11.9,25.93333355585734,303.5833333333333
Violaceae,Rinorea dasyadena,-83.2167,8.68333,25.69166644414266,249.16666666666666
Violaceae,Rinorea dasyadena,-83.2167,8.68333,25.69166644414266,249.16666666666666
Violaceae,Rinorea dasyadena,-84.46666,11.03333,25.958333174387615,254.5
Violaceae,Rinorea dasyadena,-84.174167,10.715833,25.84999990463257,299.1666666666667
Violaceae,Rinorea dasyadena,-84.174167,10.715833,25.84999990463257,299.1666666666667
Violaceae,Rinorea dasyadena,-84.166667,14,25.46666653951009,226
Violaceae,Rinorea dasyadena,-79.658333,9.508333,26.02499993642171,258.4166666666667
Violaceae,Rinorea dasyadena,-84.180556,10.686111,25.84999990463257,278.8333333333333
Violaceae,Rinorea dasyadena,-84.180556,10.686111,25.84999990463257,278.8333333333333
Violaceae,Rinorea dasyadena,-84.33333,11.6,25.858333428700764,227
Violaceae,Rinorea dasyadena,-84.26666,11.95,25.883333524068195,240.33333333333334
Violaceae,Rinorea dasyadena,-83.09,9.79,22.93333355585734,270.9166666666667
Violaceae,Rinorea dasyadena,-77.40116,6.21287,25.866666952768963,370.75
Violaceae,Rinorea dasyadena,-76.616667,5.583333,26.699999809265137,592.0833333333334
Violaceae,Rinorea dasyadena,-79.375,9.233889,23.300000031789143,239.16666666666666
Violaceae,Rinorea dasyadena,-79.381944,9.211389,22.516666571299236,241.66666666666666
Violaceae,Rinorea dasyadena,-79.360833,9.202778,24.058333079020183,240.83333333333334
Violaceae,Rinorea dasyadena,-83.091667,9.797222,22.983333428700764,284.4166666666667
Violaceae,Rinorea dasyadena,-83.09,9.79,22.93333355585734,270.9166666666667
Violaceae,Rinorea dasyadena,-77.166667,6.083333,25.62499984105428,479.75
Violaceae,Rinorea dasyadena,-77.166667,6.083333,25.62499984105428,479.75
Violaceae,Rinorea dasyadena,-79.55,9.55,26.26666720708211,242.25
Violaceae,Rinorea dasyadena,-84.966667,13.05,25.100000540415447,178.5
