familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Ruagea insignis,-90,14,24.699999809265137,138.75
Meliaceae,Ruagea insignis,-84.01,9.33,NA,NA
Meliaceae,Ruagea insignis,-83.36,9.51,19.074999968210857,222.5
Meliaceae,Ruagea insignis,-83.34,9.49,18.49166663487752,235.5
Meliaceae,Ruagea insignis,-83.16,9.37,11.174999952316284,305.4166666666667
Meliaceae,Ruagea insignis,-83,9,21.199999968210857,225.75
Meliaceae,Ruagea insignis,-82.58,8.47,26.008333524068195,251.66666666666666
Meliaceae,Ruagea insignis,-82.56,8.44,26.31666660308838,251.16666666666666
Meliaceae,Ruagea insignis,-79.49,-4.18,18.516666889190674,82.08333333333333
Meliaceae,Ruagea insignis,-78.23,-5.28,23.549999872843426,138.91666666666666
Meliaceae,Ruagea insignis,-77,-4,26.84166653951009,189.83333333333334
Meliaceae,Ruagea insignis,-76.3,-0.38,25.116666793823242,276.8333333333333
Meliaceae,Ruagea insignis,-76.26,-0.39,25.141666889190674,275.3333333333333
Meliaceae,Ruagea insignis,-76.2,-0.4,25.208333492279053,273.3333333333333
Meliaceae,Ruagea insignis,-76.11,-0.55,25.258333524068195,266.8333333333333
Meliaceae,Ruagea insignis,-76.1,-1.02,25.22500006357829,268.0833333333333
Meliaceae,Ruagea insignis,-75.02,-9.4,26.50833336512248,224.41666666666666
Meliaceae,Ruagea insignis,-75.02,-6.28,26.94166628519694,186.5
Meliaceae,Ruagea insignis,-69.01,-14.46,14.549999872843424,100.16666666666667
Meliaceae,Ruagea insignis,-68.04,-14.2,23.949999968210857,154.08333333333334
Meliaceae,Ruagea insignis,-67.52,-14.95,25.016666730244953,152.25
Meliaceae,Ruagea insignis,-67.51,-14.1,25.391666889190674,155.83333333333334
Meliaceae,Ruagea insignis,-63,-11,24.5,146.25
