familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Rustia costaricensis,-83.52,8.71,24.47499990463257,277.5
Rubiaceae,Rustia costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rubiaceae,Rustia costaricensis,-84.8333,10,26.93333339691162,153
Rubiaceae,Rustia costaricensis,-84,9.6667,17.50833336512248,180.33333333333334
Rubiaceae,Rustia costaricensis,-83.6533333,9.3722223,22.84166669845581,241.58333333333334
Rubiaceae,Rustia costaricensis,-83.527778,8.711111,24.416666825612385,286.0833333333333
Rubiaceae,Rustia costaricensis,-83.577778,8.725,24.63333336512248,255.83333333333334
Rubiaceae,Rustia costaricensis,-83.516667,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Rustia costaricensis,-83.162222,8.656944,24.61666663487752,267.0833333333333
Rubiaceae,Rustia costaricensis,-83.516667,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Rustia costaricensis,-83.516669,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Rustia costaricensis,-84.045,9.519167,22.983333269755047,239.25
Rubiaceae,Rustia costaricensis,-84.231111,9.599167,25.424999713897705,241.08333333333334
Rubiaceae,Rustia costaricensis,-83.433333,8.533333,24.55833339691162,280.8333333333333
Rubiaceae,Rustia costaricensis,-84.027778,9.563889,22.4416667620341,221.5
Rubiaceae,Rustia costaricensis,-84.12804,9.574678,23.674999872843426,243.41666666666666
Rubiaceae,Rustia costaricensis,-84.227778,9.7,21.891666412353516,232.66666666666666
Rubiaceae,Rustia costaricensis,-84.045,9.51916,22.983333269755047,239.25
Rubiaceae,Rustia costaricensis,-82.9833333,8.2833333,24.450000127156574,246.91666666666666
Rubiaceae,Rustia costaricensis,-82.98333,8.34305,25.09166653951009,245.33333333333334
Rubiaceae,Rustia costaricensis,-81.175,8.55194,23.641666730244953,308
Rubiaceae,Rustia costaricensis,-81.17138,8.55083,23.641666730244953,308
Rubiaceae,Rustia costaricensis,-83.57,8.72,25.03333330154419,241.58333333333334
Rubiaceae,Rustia costaricensis,-84.2311111,9.5991666,25.424999713897705,241.08333333333334
Rubiaceae,Rustia costaricensis,-83.5152778,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-84.05,9.48,25.30833339691162,257.4166666666667
Rubiaceae,Rustia costaricensis,-83.52,8.71,24.47499990463257,277.5
Rubiaceae,Rustia costaricensis,-83.57,8.72,25.03333330154419,241.58333333333334
Rubiaceae,Rustia costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-83.16,8.65,25.241666475931805,287.5833333333333
Rubiaceae,Rustia costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-83.51,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-84.04,9.51,24.61666663487752,244.91666666666666
Rubiaceae,Rustia costaricensis,-84.03,9.53,23.599999745686848,254.41666666666666
Rubiaceae,Rustia costaricensis,-83.77,9.29,23.116666475931805,258.6666666666667
Rubiaceae,Rustia costaricensis,-84.8233,10.2681,22.37500015894572,205.25
Rubiaceae,Rustia costaricensis,-84.3908,9.7019,24.299999872843426,230.33333333333334
Rubiaceae,Rustia costaricensis,-83.6478,9.8906,23.074999968210857,283.0833333333333
Rubiaceae,Rustia costaricensis,-83.1664,8.6511,24.61666663487752,267.0833333333333
Rubiaceae,Rustia costaricensis,-82.7881,8.7114,23.199999968210857,272
Rubiaceae,Rustia costaricensis,-82.4394,8.6981,21.96666685740153,230.5
Rubiaceae,Rustia costaricensis,-81.1931,8.5661,24.46666669845581,293.5
Rubiaceae,Rustia costaricensis,-80.8467,8.4936,21.13333336512248,230.33333333333334
Rubiaceae,Rustia costaricensis,-83.51528,8.7,26.125000317891438,247.33333333333334
Rubiaceae,Rustia costaricensis,-83.7722,9.2983,22.69166644414266,271.5833333333333
Rubiaceae,Rustia costaricensis,-84.22778,9.7,21.891666412353516,232.66666666666666
