familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Rustia occidentalis,-83.5,10.516667,26.233333746592205,340.75
Rubiaceae,Rustia occidentalis,-83.516668,8.7,25.516666571299236,242.16666666666666
Rubiaceae,Rustia occidentalis,-84.116667,11.266667,25.741666793823242,283.1666666666667
Rubiaceae,Rustia occidentalis,-83.8,12.05,25.858333428700764,279.25
Rubiaceae,Rustia occidentalis,-80.53333,9.05,26.25,239.25
Rubiaceae,Rustia occidentalis,-77.433333,6.333333,NA,NA
Rubiaceae,Rustia occidentalis,-77.333333,3.975,NA,NA
Rubiaceae,Rustia occidentalis,-76.25,4.033333,23.824999650319416,125.41666666666667
Rubiaceae,Rustia occidentalis,-77.16666,4,25.791666666666668,542.1666666666666
Rubiaceae,Rustia occidentalis,-87.055556,5.544444,24.94166660308838,226.5
Rubiaceae,Rustia occidentalis,-83.633333,8.766667,26.175000190734863,296.9166666666667
Rubiaceae,Rustia occidentalis,-83.61,8.73,25.108333428700764,245.41666666666666
Rubiaceae,Rustia occidentalis,-75.611472,5.725944,24.800000190734863,188.25
Rubiaceae,Rustia occidentalis,-75.615056,5.730556,24.800000190734863,188.25
Rubiaceae,Rustia occidentalis,-75.611472,5.725944,24.800000190734863,188.25
Rubiaceae,Rustia occidentalis,-75.611472,5.725944,24.800000190734863,188.25
Rubiaceae,Rustia occidentalis,-83.50694,10.61083,NA,NA
Rubiaceae,Rustia occidentalis,-77.501114,5.570556,NA,NA
Rubiaceae,Rustia occidentalis,-77.50699,5.5446,25.558333079020183,460.8333333333333
Rubiaceae,Rustia occidentalis,-77.3479,5.5944,26.141666412353516,476.75
Rubiaceae,Rustia occidentalis,-77.4175,5.623333,25.96666685740153,463.9166666666667
Rubiaceae,Rustia occidentalis,-83.502778,10.536111,26.28333346048991,347.25
Rubiaceae,Rustia occidentalis,-83.43,8.72,25.9333332379659,258.0833333333333
Rubiaceae,Rustia occidentalis,-83.5,10.51,26.216667016347248,339.5
Rubiaceae,Rustia occidentalis,-80.1,9.15,26.416666666666668,213.33333333333334
Rubiaceae,Rustia occidentalis,-80.5625,9.075,NA,NA
Rubiaceae,Rustia occidentalis,-87.06,5.52,23.916666666666668,248
Rubiaceae,Rustia occidentalis,-87.06,5.52,23.916666666666668,248
Rubiaceae,Rustia occidentalis,-77.25,5.7,26.358333269755047,433
Rubiaceae,Rustia occidentalis,-83.65,8.56,26.208333174387615,288.5
Rubiaceae,Rustia occidentalis,-77.266667,3.9,25.958333174387615,496.3333333333333
Rubiaceae,Rustia occidentalis,-77.542396,5.484044,NA,NA
Rubiaceae,Rustia occidentalis,-77.505777,5.587344,NA,NA
Rubiaceae,Rustia occidentalis,-76.58333,3.83333,18.324999809265137,118.75
Rubiaceae,Rustia occidentalis,-76.86944,3.82805,25.891666730244953,413.8333333333333
Rubiaceae,Rustia occidentalis,-77.414488,6.11551,26.44166660308838,402.9166666666667
Rubiaceae,Rustia occidentalis,-77.366667,6.116667,26.483333269755047,428.25
Rubiaceae,Rustia occidentalis,-77.43474,6.109825,NA,NA
Rubiaceae,Rustia occidentalis,-77.433333,6.133333,26.37500015894572,414
Rubiaceae,Rustia occidentalis,-77.355556000000007,6.046389,26.34166685740153,418.75
Rubiaceae,Rustia occidentalis,-77.45,3.283333,26.30833355585734,502
Rubiaceae,Rustia occidentalis,-77.425154,5.610557,26.041666666666668,456.8333333333333
Rubiaceae,Rustia occidentalis,-77.426605,5.622622,26.21666669845581,461.5833333333333
Rubiaceae,Rustia occidentalis,-77.4175,5.62333,25.96666685740153,463.9166666666667
Rubiaceae,Rustia occidentalis,-77.42324,5.621266,25.96666685740153,463.9166666666667
Rubiaceae,Rustia occidentalis,-83.33333,8.71667,NA,NA
Rubiaceae,Rustia occidentalis,-83.33333,8.71667,NA,NA
Rubiaceae,Rustia occidentalis,-83.470389,8.692621,26.4333332379659,311.8333333333333
Rubiaceae,Rustia occidentalis,-78.05,7.41666,NA,NA
Rubiaceae,Rustia occidentalis,-78.05,7.41666,NA,NA
Rubiaceae,Rustia occidentalis,-76.433333,6.35,25.15833330154419,281.6666666666667
Rubiaceae,Rustia occidentalis,-83.427664,8.718366,25.9333332379659,258.0833333333333
Rubiaceae,Rustia occidentalis,-83.500001,10.516667,26.216667016347248,345.6666666666667
Rubiaceae,Rustia occidentalis,-77.5,5.57,25.649999777475994,455.25
Rubiaceae,Rustia occidentalis,-79.966667,9.275,26.291666666666668,199.33333333333334
Rubiaceae,Rustia occidentalis,-77.34589,4.961899,26.041666825612385,558.6666666666666
Rubiaceae,Rustia occidentalis,-80.016667,9.302778,NA,NA
Rubiaceae,Rustia occidentalis,-83.76666,12.03333,26.03333330154419,280.5
Rubiaceae,Rustia occidentalis,-76.85733,8.081729,26.866666952768963,162.41666666666666
Rubiaceae,Rustia occidentalis,-78.92853,1.17021,25.791666666666668,196.41666666666666
Rubiaceae,Rustia occidentalis,-76.373867,8.105167,25.449999650319416,189.16666666666666
Rubiaceae,Rustia occidentalis,-83.421681,8.830486,26.39999993642171,293.9166666666667
Rubiaceae,Rustia occidentalis,-77.366669,4.25,25.71666669845581,474.0833333333333
Rubiaceae,Rustia occidentalis,-77.366669,4.25,25.71666669845581,474.0833333333333
Rubiaceae,Rustia occidentalis,-77.36666,4.25,25.78333314259847,475.25
Rubiaceae,Rustia occidentalis,-81.82722,7.59111,25.90833330154419,276.6666666666667
Rubiaceae,Rustia occidentalis,-81.82722,7.59111,25.90833330154419,276.6666666666667
Rubiaceae,Rustia occidentalis,-87.053081,5.538278,24.84999990463257,249.5
Rubiaceae,Rustia occidentalis,-81.602222,9.099167,NA,NA
Rubiaceae,Rustia occidentalis,-78.181389,2.967778,25.14999993642171,381.9166666666667
Rubiaceae,Rustia occidentalis,-77.369039,6.272306,26.108333428700764,418.6666666666667
Rubiaceae,Rustia occidentalis,-77.332915,5.986938,25.450000127156574,409.5
Rubiaceae,Rustia occidentalis,-83.773611,11.515278,NA,NA
Rubiaceae,Rustia occidentalis,-83.485833,8.700767,26.199999968210857,265.4166666666667
Rubiaceae,Rustia occidentalis,-81.81666,8.91666,26.016666730244953,260.1666666666667
Rubiaceae,Rustia occidentalis,-79,1.18333,25.87500015894572,193.66666666666666
Rubiaceae,Rustia occidentalis,-79.05,1.233,25.87500015894572,170.83333333333334
Rubiaceae,Rustia occidentalis,-79.05,1.23333,25.87500015894572,170.83333333333334
Rubiaceae,Rustia occidentalis,-79,1.116,25.78333346048991,194.66666666666666
Rubiaceae,Rustia occidentalis,-79,1.11666,25.78333346048991,194.66666666666666
Rubiaceae,Rustia occidentalis,-78.96666,1.16666,25.791666666666668,194.91666666666666
Rubiaceae,Rustia occidentalis,-78.966,1.166,25.791666666666668,194.91666666666666
Rubiaceae,Rustia occidentalis,-71.39972,3.35222,26.49999984105428,211.33333333333334
Rubiaceae,Rustia occidentalis,-77.35,6.26666,24.891666730244953,314.6666666666667
Rubiaceae,Rustia occidentalis,-74.043961,10.941935,24.1916667620341,97.66666666666667
Rubiaceae,Rustia occidentalis,-73.979371,10.964676,20.299999872843426,154.83333333333334
Rubiaceae,Rustia occidentalis,-80.3,9.15,26.61666663487752,208.16666666666666
Rubiaceae,Rustia occidentalis,-79.53611,9.22916,26.25,210.33333333333334
Rubiaceae,Rustia occidentalis,-78.183333,2.983333,25.050000031789143,392.1666666666667
Rubiaceae,Rustia occidentalis,-78.18,2.98,25.050000031789143,392.1666666666667
Rubiaceae,Rustia occidentalis,-77.4175,5.6233,25.96666685740153,463.9166666666667
Rubiaceae,Rustia occidentalis,-73.7675,1.75083,25.916666666666668,210.08333333333334
