familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Samanea saman,-76.588771,3.12061,23.59166653951009,175.91666666666666
Fabaceae,Samanea saman,-76.563412,3.120677,23.61666663487752,169.25
Fabaceae,Samanea saman,-76.39245,3.775681,23.34166653951009,103.25
Fabaceae,Samanea saman,-76.391794,3.7882,23.233333269755047,109.58333333333333
Fabaceae,Samanea saman,-76.382289,3.815415,23.450000127156574,121.25
Fabaceae,Samanea saman,-76.382286,3.835819,23.450000127156574,107.33333333333333
Fabaceae,Samanea saman,-73.748211,8.326211,28.541666666666668,198.33333333333334
Fabaceae,Samanea saman,-71.9989,5.5983,26.425000031789143,192
Fabaceae,Samanea saman,-71.9987,5.5984,26.425000031789143,192
Fabaceae,Samanea saman,-71.991,5.5087,26.52499993642171,231.91666666666666
Fabaceae,Samanea saman,-75.128872,8.662577,27.89999993642171,131.5
Fabaceae,Samanea saman,-71.677,6.5434,25.81666628519694,204.58333333333334
Fabaceae,Samanea saman,-76.531156,3.370216,23.64999993642171,179.33333333333334
Fabaceae,Samanea saman,-75.474049,10.508813,27.56666644414266,101.91666666666667
Fabaceae,Samanea saman,-69.279785,7.48775,27.24999984105428,146.5
Fabaceae,Samanea saman,-85.435699,10.636483,26.94166660308838,183.41666666666666
Fabaceae,Samanea saman,-85.365311,12.109655,26.62499984105428,126.16666666666667
Fabaceae,Samanea saman,-85.003799,11.174276,26.19166660308838,171.91666666666666
Fabaceae,Samanea saman,-84.770721,11.11537,26.174999713897705,195
Fabaceae,Samanea saman,-76.690583,3.73325,22.150000254313152,125.41666666666667
Fabaceae,Samanea saman,-75.474912,10.539064,27.608333269755047,98.08333333333333
Fabaceae,Samanea saman,-85.332992,10.387753,27.19166660308838,153.58333333333334
Fabaceae,Samanea saman,-71.901806,5.571972,26.5,211.08333333333334
Fabaceae,Samanea saman,-75.445921,10.556124,27.516666412353516,90.66666666666667
Fabaceae,Samanea saman,-75.406243,10.334124,26.96666653951009,105.75
Fabaceae,Samanea saman,-75.394697,10.32855,27.175000190734863,100.25
