familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Sapium laurifolium,-80.033,-2.167,24.016666412353516,86.41666666666667
Euphorbiaceae,Sapium laurifolium,-77.983333,1.15,17.46666685740153,135.83333333333334
Euphorbiaceae,Sapium laurifolium,-77.983333,1.15,17.46666685740153,135.83333333333334
Euphorbiaceae,Sapium laurifolium,-77.983333,1.316667,18.25,165.41666666666666
Euphorbiaceae,Sapium laurifolium,-77.983333,1.15,17.46666685740153,135.83333333333334
Euphorbiaceae,Sapium laurifolium,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Euphorbiaceae,Sapium laurifolium,-76.9,20.86666,26.016666889190674,92
Euphorbiaceae,Sapium laurifolium,-83.9519,10.0114,17.35000006357829,334.6666666666667
Euphorbiaceae,Sapium laurifolium,-52.8731,-10.8339,25.53333346048991,172.25
Euphorbiaceae,Sapium laurifolium,-83.9519,10.0114,17.35000006357829,334.6666666666667
Euphorbiaceae,Sapium laurifolium,-82.591611,21.700274,NA,NA
Euphorbiaceae,Sapium laurifolium,-74.744208,20.581584,25.791666348775227,169.5
Euphorbiaceae,Sapium laurifolium,-79.618941,21.870604,21.77499993642171,131.5
Euphorbiaceae,Sapium laurifolium,-76.17,0.9,25.100000222524006,330.3333333333333
Euphorbiaceae,Sapium laurifolium,-76.16666,0.9,25.091667016347248,328.6666666666667
Euphorbiaceae,Sapium laurifolium,-65.781006,18.296076,21.483333269755047,172.41666666666666
Euphorbiaceae,Sapium laurifolium,-74.165173,20.245743,25.958333333333332,84.58333333333333
Euphorbiaceae,Sapium laurifolium,-83.66361,9.36055,23.083333492279053,250.25
Euphorbiaceae,Sapium laurifolium,-83.29,9.1,25.0583332379659,199.25
Euphorbiaceae,Sapium laurifolium,-74.894582,20.576659,23.516666571299236,151.25
Euphorbiaceae,Sapium laurifolium,-52.051077,-1.596437,26.37500015894572,191.66666666666666
Euphorbiaceae,Sapium laurifolium,-76.5,3.75,19.62500015894572,133.41666666666666
Euphorbiaceae,Sapium laurifolium,-69.925712,-4.405352,26.49166663487752,213.41666666666666
Euphorbiaceae,Sapium laurifolium,-47.1469,-1.1767,26.175000031789143,202.33333333333334
Euphorbiaceae,Sapium laurifolium,-59.868936,-3.189311,26.891666730244953,183.91666666666666
Euphorbiaceae,Sapium laurifolium,-78.1869,-1.4628,18.10000006357829,196.5
Euphorbiaceae,Sapium laurifolium,-84.8333,10,26.93333339691162,153
