familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Sapranthus viridiflorus,-85.486389,10.927222,23.166666507720947,186.91666666666666
Annonaceae,Sapranthus viridiflorus,-85.47,10.92,21.233333269755047,180.66666666666666
Annonaceae,Sapranthus viridiflorus,-85.469445,10.928611,20.908333619435627,180.91666666666666
Annonaceae,Sapranthus viridiflorus,-85.316667,10.8,18.574999968210857,192.91666666666666
Annonaceae,Sapranthus viridiflorus,-85.294444,10.768056,21.21666669845581,192.83333333333334
Annonaceae,Sapranthus viridiflorus,-85.28,10.76,22.02499993642171,210.08333333333334
Annonaceae,Sapranthus viridiflorus,-84.78,10.38,21.741666475931805,303.5
Annonaceae,Sapranthus viridiflorus,-84.666667,10.35,22.358333587646484,308.1666666666667
Annonaceae,Sapranthus viridiflorus,-84.6,9.78,26.016666889190674,178.91666666666666
Annonaceae,Sapranthus viridiflorus,-84.55,10.366667,25.550000031789143,279.0833333333333
Annonaceae,Sapranthus viridiflorus,-84.4,11.033333,25.891666253407795,260.8333333333333
Annonaceae,Sapranthus viridiflorus,-84.37,9.72,21.133333524068195,218.25
Annonaceae,Sapranthus viridiflorus,-84.29,9.91,22.233333428700764,162.75
Annonaceae,Sapranthus viridiflorus,-84.26,9.92,22.94166644414266,175.83333333333334
Annonaceae,Sapranthus viridiflorus,-84.2,11.01666,24.583333492279053,286.9166666666667
Annonaceae,Sapranthus viridiflorus,-84.2,11.133333,25.13333336512248,271.75
Annonaceae,Sapranthus viridiflorus,-84.1895,9.893208,19.21666653951009,197.41666666666666
Annonaceae,Sapranthus viridiflorus,-84.16,9.84,17.049999872843426,194.25
Annonaceae,Sapranthus viridiflorus,-84.06,10.45,25.933333079020183,302.4166666666667
Annonaceae,Sapranthus viridiflorus,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Sapranthus viridiflorus,-84.01,10.43,25.949999809265137,317.4166666666667
Annonaceae,Sapranthus viridiflorus,-84.003611,10.431389,26.008333206176758,307.9166666666667
Annonaceae,Sapranthus viridiflorus,-84.00361,10.43138,26.008333206176758,307.9166666666667
Annonaceae,Sapranthus viridiflorus,-83.78,10.43,26.075000127156574,311.6666666666667
Annonaceae,Sapranthus viridiflorus,-83.716667,9.833333,20.950000127156574,229.41666666666666
Annonaceae,Sapranthus viridiflorus,-83.683333,9.883333,22.199999650319416,241.33333333333334
Annonaceae,Sapranthus viridiflorus,-83.683333,10.5,26.18333355585734,305.3333333333333
Annonaceae,Sapranthus viridiflorus,-83.683333,10.616667,26.05833339691162,305.25
Annonaceae,Sapranthus viridiflorus,-83.68,9.8,21.366666793823242,268.8333333333333
Annonaceae,Sapranthus viridiflorus,-83.65,9.89,23.074999968210857,283.0833333333333
Annonaceae,Sapranthus viridiflorus,-83.633333,10.683333,26.299999872843426,305.3333333333333
Annonaceae,Sapranthus viridiflorus,-83.6,10.333333,26.216667016347248,302.5
Annonaceae,Sapranthus viridiflorus,-83.466667,10.1,25.716667016347248,302
Annonaceae,Sapranthus viridiflorus,-83.46666,10.1,25.541666666666668,317.6666666666667
Annonaceae,Sapranthus viridiflorus,-83.45,10.01,24.63333336512248,292.25
Annonaceae,Sapranthus viridiflorus,-83.023611,9.677778,25.8166667620341,281.9166666666667
Annonaceae,Sapranthus viridiflorus,-83.02,9.67,25.64999993642171,256.5833333333333
Annonaceae,Sapranthus viridiflorus,-82.653889,9.317222,24.25000015894572,248.08333333333334
Annonaceae,Sapranthus viridiflorus,-82.65,9.58,26.224999745686848,228.41666666666666
Annonaceae,Sapranthus viridiflorus,-82.622222,9.333889,25.0583332379659,235.83333333333334
Annonaceae,Sapranthus viridiflorus,-82.165653,8.62848,20.016666730244953,257
Annonaceae,Sapranthus viridiflorus,-80.668056000000007,7.295833,22.500000317891438,172.83333333333334
Annonaceae,Sapranthus viridiflorus,-80.583333,7.233333,26.783333619435627,206.83333333333334
