familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Schoepfiaceae,Schoepfia schreberi,-96.137778,19.199167,26.016666571299236,129.91666666666666
Schoepfiaceae,Schoepfia schreberi,-96.88,19.2125,20.366666952768963,124.08333333333333
Schoepfiaceae,Schoepfia schreberi,-90.36027,14.30583,21.46666653951009,165.25
Schoepfiaceae,Schoepfia schreberi,-90.24083,14.41916,22.15833330154419,134.16666666666666
Schoepfiaceae,Schoepfia schreberi,-78.358647,26.607767,NA,NA
Schoepfiaceae,Schoepfia schreberi,-77.319014,18.151419,23.041666666666668,141.25
Schoepfiaceae,Schoepfia schreberi,-82.4333,23.0833,25.24166663487752,108.41666666666667
Schoepfiaceae,Schoepfia schreberi,-82.2974,23.142,25.491666793823242,106
Schoepfiaceae,Schoepfia schreberi,-96.758333,19.258333,22.824999968210857,96.41666666666667
Schoepfiaceae,Schoepfia schreberi,-96.68333,19.2,23.708333333333332,92.83333333333333
Schoepfiaceae,Schoepfia schreberi,-83.222815,22.559953,24.858333110809326,117.58333333333333
Schoepfiaceae,Schoepfia schreberi,-83.366543,22.646452,24.53333346048991,118.16666666666667
Schoepfiaceae,Schoepfia schreberi,-83.366478,22.647253,24.53333346048991,118.16666666666667
Schoepfiaceae,Schoepfia schreberi,-82.43,23.0767,25.24166663487752,108.41666666666667
Schoepfiaceae,Schoepfia schreberi,-100.42,18.77,26.96666669845581,94
Schoepfiaceae,Schoepfia schreberi,-96.855556000000007,19.2,20.75833336512248,118.58333333333333
Schoepfiaceae,Schoepfia schreberi,-84.7,9.85,NA,NA
Schoepfiaceae,Schoepfia schreberi,-59.570793,13.229065,26.416666825612385,132.83333333333334
Schoepfiaceae,Schoepfia schreberi,-79.888055,8.600556,27.383333047231037,169.5
Schoepfiaceae,Schoepfia schreberi,-99.10889,24.35056,23.74166663487752,58.25
Schoepfiaceae,Schoepfia schreberi,-97.790561,24.278611,23.68333339691162,57.916666666666664
Schoepfiaceae,Schoepfia schreberi,-106,25,10.841666539510092,79.66666666666667
Schoepfiaceae,Schoepfia schreberi,-98.469167,18.602222,22.97500006357829,63.083333333333336
Schoepfiaceae,Schoepfia schreberi,-88.55,16.63333,25.466667016347248,188.83333333333334
Schoepfiaceae,Schoepfia schreberi,-98.095556,20.226111,17.424999793370564,159.5
Schoepfiaceae,Schoepfia schreberi,-87.01055,14.03972,21.766666571299236,87.25
Schoepfiaceae,Schoepfia schreberi,-87.02277,14.01666,22.633333524068195,74.25
Schoepfiaceae,Schoepfia schreberi,-87.01055,14.03972,21.766666571299236,87.25
Schoepfiaceae,Schoepfia schreberi,-87.02777,14.04333,20.483333428700764,102.25
Schoepfiaceae,Schoepfia schreberi,-97.420278,18.45,20.125,49.25
Schoepfiaceae,Schoepfia schreberi,-86.313333,14.184722,22.88333336512248,105.91666666666667
Schoepfiaceae,Schoepfia schreberi,-97.725,20.477778,22.40833314259847,143.66666666666666
Schoepfiaceae,Schoepfia schreberi,-93.418333,16.885278,22.6916667620341,101.91666666666667
Schoepfiaceae,Schoepfia schreberi,-89.277778,21.151389000000002,25.808333079020183,71
Schoepfiaceae,Schoepfia schreberi,-97.966667,23.266667,23.47500006357829,81.83333333333333
Schoepfiaceae,Schoepfia schreberi,-90,16.8333,25.425000031789143,172.08333333333334
Schoepfiaceae,Schoepfia schreberi,-89.61305,17.225,24.891666730244953,137
Schoepfiaceae,Schoepfia schreberi,-99.35165,21.168428,21.125,52.5
Schoepfiaceae,Schoepfia schreberi,-99.133192,23.030969,24.09999990463257,119.75
