familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Araliaceae,Sciodaphyllum pittieri,-84.809158,10.33689,18.15833314259847,226.58333333333334
Araliaceae,Sciodaphyllum pittieri,-84.766667,10.3,19.633333047231037,284.3333333333333
Araliaceae,Sciodaphyllum pittieri,-84.6,10.58,25.541666666666668,271.25
Araliaceae,Sciodaphyllum pittieri,-84.016667,10.05,18.208333492279053,233.41666666666666
Araliaceae,Sciodaphyllum pittieri,-83.8,9.58,11.541666666666666,186.25
Araliaceae,Sciodaphyllum pittieri,-80.102665,8.507188,26.266666730244953,185.25
Araliaceae,Sciodaphyllum pittieri,-84.39305,10.18583,17.333333015441895,210.16666666666666
Araliaceae,Sciodaphyllum pittieri,-83.81,9.61,9.916666587193808,198.33333333333334
Araliaceae,Sciodaphyllum pittieri,-83.70833,9.56055,9.899999936421713,177.58333333333334
Araliaceae,Sciodaphyllum pittieri,-84.23388,10.17083,12.87499992052714,177.5
Araliaceae,Sciodaphyllum pittieri,-84.23360817,10.1719493,12.87499992052714,177.5
Araliaceae,Sciodaphyllum pittieri,-83.95,9.73,14.108333428700766,215.41666666666666
Araliaceae,Sciodaphyllum pittieri,-83.95,9.73,14.108333428700766,215.41666666666666
Araliaceae,Sciodaphyllum pittieri,-83.923330000000007,9.6875,12.641666730244955,179.08333333333334
Araliaceae,Sciodaphyllum pittieri,-83.85,9.66,11.541666746139526,189.16666666666666
Araliaceae,Sciodaphyllum pittieri,-84.06,10.1,15.208333492279053,274.1666666666667
Araliaceae,Sciodaphyllum pittieri,-84.01,10.43,25.949999809265137,317.4166666666667
Araliaceae,Sciodaphyllum pittieri,-84.76,10.3,20.074999968210857,290
Araliaceae,Sciodaphyllum pittieri,-84.16,10.5,25.84166669845581,294.3333333333333
Araliaceae,Sciodaphyllum pittieri,-84.15,9.86,14.37499992052714,204.83333333333334
Araliaceae,Sciodaphyllum pittieri,-83.85,9.65,10.891666571299234,181.33333333333334
Araliaceae,Sciodaphyllum pittieri,-81.128056,8.512222,21.758333206176758,288.75
Araliaceae,Sciodaphyllum pittieri,-82.933333,9.083333,10.15833322207133,177.16666666666666
Araliaceae,Sciodaphyllum pittieri,-82.4,8.81666,16.666666746139526,264.0833333333333
Araliaceae,Sciodaphyllum pittieri,-83.71,9.55,9.983333428700766,194
Araliaceae,Sciodaphyllum pittieri,-83.65,9.55,13.37500007947286,200.41666666666666
Araliaceae,Sciodaphyllum pittieri,-82.869722,9.08,9.699999968210856,198.91666666666666
Araliaceae,Sciodaphyllum pittieri,-80.11666,8.58333,24.02500009536743,193.08333333333334
Araliaceae,Sciodaphyllum pittieri,-83.075,9.216667,9.133333285649618,184.5
Araliaceae,Sciodaphyllum pittieri,-83.075,9.24166,9.600000063578287,197.91666666666666
Araliaceae,Sciodaphyllum pittieri,-83.07,9.21,9.31666668256124,187
Araliaceae,Sciodaphyllum pittieri,-83.07,9.24,9.600000063578287,197.91666666666666
Araliaceae,Sciodaphyllum pittieri,-83.03,9.28,8.474999984105429,252.41666666666666
Araliaceae,Sciodaphyllum pittieri,-83.016667,9.275,8.049999992052713,239.5
Araliaceae,Sciodaphyllum pittieri,-82.966667,9,19.883333524068195,218.5
Araliaceae,Sciodaphyllum pittieri,-82.966667,9.15,11.541666666666666,192.58333333333334
Araliaceae,Sciodaphyllum pittieri,-82.96,9.15,11.633333285649618,208.33333333333334
Araliaceae,Sciodaphyllum pittieri,-82.833333,9.05,10.208333333333334,250.41666666666666
Araliaceae,Sciodaphyllum pittieri,-83.91,9.68,13.066666841506958,186.83333333333334
Araliaceae,Sciodaphyllum pittieri,-83.81,9.61,9.916666587193808,198.33333333333334
Araliaceae,Sciodaphyllum pittieri,-83.7,9.53,13.09166669845581,225.58333333333334
Araliaceae,Sciodaphyllum pittieri,-82.55,8.86666,12.941666762034098,224.66666666666666
Araliaceae,Sciodaphyllum pittieri,-83.86,9.67,11.866666555404663,175.16666666666666
Araliaceae,Sciodaphyllum pittieri,-83.75,9.57,8.358333309491476,196.91666666666666
Araliaceae,Sciodaphyllum pittieri,-82.583333,8.833333,13.708333333333334,210.66666666666666
Araliaceae,Sciodaphyllum pittieri,-82.4,8.81666,16.666666746139526,264.0833333333333
Araliaceae,Sciodaphyllum pittieri,-85.81,10.76,NA,NA
Araliaceae,Sciodaphyllum pittieri,-84.91,10.43,21.46666669845581,220.58333333333334
Araliaceae,Sciodaphyllum pittieri,-81.8225,8.531389,20.03333330154419,251.25
