familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Sebastiania pavoniana,-105.03399171,19.49562302,25.233333428700764,79.33333333333333
Euphorbiaceae,Sebastiania pavoniana,-97.263889,18.163056,24.09999990463257,28.25
Euphorbiaceae,Sebastiania pavoniana,-97.152222,18.23,24.38333336512248,42.583333333333336
Euphorbiaceae,Sebastiania pavoniana,-96.9775,17.746667,25.35000006357829,44.916666666666664
Euphorbiaceae,Sebastiania pavoniana,-105.034,19.495,25.233333428700764,79.33333333333333
Euphorbiaceae,Sebastiania pavoniana,-108.93,27.02,23.633333524068195,51
Euphorbiaceae,Sebastiania pavoniana,-102.53289,23.95046,15.700000127156576,30.583333333333332
Euphorbiaceae,Sebastiania pavoniana,-109.007,26.9464,21.025000254313152,64.08333333333333
Euphorbiaceae,Sebastiania pavoniana,-100.390622,22.559433,18.366666555404663,43.083333333333336
Euphorbiaceae,Sebastiania pavoniana,-100.25,22.216667,20.6833332379659,49.916666666666664
Euphorbiaceae,Sebastiania pavoniana,-84.7,9.85,NA,NA
Euphorbiaceae,Sebastiania pavoniana,-98.469167,18.602222,22.97500006357829,63.083333333333336
Euphorbiaceae,Sebastiania pavoniana,-96.925,17.658333,25.016666730244953,42.416666666666664
Euphorbiaceae,Sebastiania pavoniana,-96.9125,17.654167,25.016666730244953,42.75
Euphorbiaceae,Sebastiania pavoniana,-99.475,23.341667,20.791666825612385,47
Euphorbiaceae,Sebastiania pavoniana,-99.201175,23.614589,21.150000015894573,57.833333333333336
Euphorbiaceae,Sebastiania pavoniana,-97.29,25.76,23.174999872843426,59
Euphorbiaceae,Sebastiania pavoniana,-104.869208,21.332006,21.233333269755047,101.41666666666667
Euphorbiaceae,Sebastiania pavoniana,-99.540822,17.563447,21.583333174387615,84
Euphorbiaceae,Sebastiania pavoniana,-100.465,22.546111,17.775000015894573,45.5
Euphorbiaceae,Sebastiania pavoniana,-110.211419,29.113808,18.450000047683716,60.333333333333336
Euphorbiaceae,Sebastiania pavoniana,-98.696278,21.878483,25.25833336512248,90.83333333333333
Euphorbiaceae,Sebastiania pavoniana,-97.025,17.941667,25.858333587646484,54.5
Euphorbiaceae,Sebastiania pavoniana,-97.016667,17.916667,25.833333492279053,51.666666666666664
Euphorbiaceae,Sebastiania pavoniana,-98.418889,18.526667,22.675000031789143,63.916666666666664
Euphorbiaceae,Sebastiania pavoniana,-98.356944,18.510833,22.791666825612385,61.666666666666664
Euphorbiaceae,Sebastiania pavoniana,-98.304306,18.387208,24.71666685740153,47.333333333333336
Euphorbiaceae,Sebastiania pavoniana,-98.458333,23.575,22.408333381017048,69.91666666666667
Euphorbiaceae,Sebastiania pavoniana,-99.491667,17.291667,24.5583332379659,128.58333333333334
Euphorbiaceae,Sebastiania pavoniana,-97.175,18.058333,24.416666825612385,43.916666666666664
Euphorbiaceae,Sebastiania pavoniana,-99.575,17.775,25.741666793823242,94.08333333333333
Euphorbiaceae,Sebastiania pavoniana,-98.891667,24.941667,23.699999888737995,54
Euphorbiaceae,Sebastiania pavoniana,-85.33333,10.45,26.799999713897705,147.41666666666666
Euphorbiaceae,Sebastiania pavoniana,-105.05857533,19.5089273,25.28333330154419,75.83333333333333
Euphorbiaceae,Sebastiania pavoniana,-85.36666,10.58333,26.833333174387615,167.33333333333334
Euphorbiaceae,Sebastiania pavoniana,-85.3,10.33,27.15833330154419,146.66666666666666
Euphorbiaceae,Sebastiania pavoniana,-85.3,10.33333,27.15833330154419,146.66666666666666
Euphorbiaceae,Sebastiania pavoniana,-98.348889,20.431667,17.11666663487752,148.25
Euphorbiaceae,Sebastiania pavoniana,-96.859444,19.2025,20.674999872843426,117.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-96.687728,19.428264,23.05833339691162,98.58333333333333
Euphorbiaceae,Sebastiania pavoniana,-85.6,10.9,25.933333079020183,147.66666666666666
Euphorbiaceae,Sebastiania pavoniana,-107.631944,27.115,21.03333322207133,71.91666666666667
Euphorbiaceae,Sebastiania pavoniana,-96.741111,19.539719,23.108333587646484,100.91666666666667
Euphorbiaceae,Sebastiania pavoniana,-96.741111,19.539722,23.108333587646484,100.91666666666667
Euphorbiaceae,Sebastiania pavoniana,-107.748889,27.044444,22.53333330154419,71.16666666666667
Euphorbiaceae,Sebastiania pavoniana,-107.680833,27.095833,23.11666663487752,63.083333333333336
Euphorbiaceae,Sebastiania pavoniana,-107.676944,27.1,23.11666663487752,63.083333333333336
Euphorbiaceae,Sebastiania pavoniana,-85.31666,10.53333,27.15000009536743,147
Euphorbiaceae,Sebastiania pavoniana,-96.808333,19.491667,20.833333492279053,111.08333333333333
Euphorbiaceae,Sebastiania pavoniana,-97.058333,18.041667,24.625,77.16666666666667
Euphorbiaceae,Sebastiania pavoniana,-97.05,18.13,23.59166653951009,102.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-96.808333,19.491667,20.833333492279053,111.08333333333333
Euphorbiaceae,Sebastiania pavoniana,-96.758333,19.475,22.141666730244953,102.5
Euphorbiaceae,Sebastiania pavoniana,-99.575,23.458333,18.766666730244953,47.166666666666664
Euphorbiaceae,Sebastiania pavoniana,-85.31666,10.53333,27.15000009536743,147
Euphorbiaceae,Sebastiania pavoniana,-96.669444,19.243333,23.799999872843426,92.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-85.616667,10.833333,25.81666644414266,143.58333333333334
Euphorbiaceae,Sebastiania pavoniana,-85.61666,10.83333,25.858333110809326,146
Euphorbiaceae,Sebastiania pavoniana,-85.61,10.83,25.858333110809326,146
Euphorbiaceae,Sebastiania pavoniana,-85.58333,10.83333,26.5,137.41666666666666
Euphorbiaceae,Sebastiania pavoniana,-98.902781,21.619439,24.375,143.16666666666666
Euphorbiaceae,Sebastiania pavoniana,-85.583333,10.833333,26.5,137.41666666666666
Euphorbiaceae,Sebastiania pavoniana,-99.551425,21.874522,20.699999888737995,50.25
Euphorbiaceae,Sebastiania pavoniana,-99.375,20.741667,18.599999984105427,37.333333333333336
Euphorbiaceae,Sebastiania pavoniana,-100.458333,22.641667,17.133333285649616,37.666666666666664
Euphorbiaceae,Sebastiania pavoniana,-100.325,22.641667,17.541666507720947,40.666666666666664
Euphorbiaceae,Sebastiania pavoniana,-100.308333,22.275,19.016666650772095,46
Euphorbiaceae,Sebastiania pavoniana,-99.579824,17.767843,25.59999990463257,91.41666666666667
Euphorbiaceae,Sebastiania pavoniana,-99.575,17.825,26.074999968210857,94.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-99.500833,17.551389,23.050000190734863,67.08333333333333
Euphorbiaceae,Sebastiania pavoniana,-98.560278,17.787778,24.62499984105428,73.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-87.366667,20.320833,25.883333524068195,101.83333333333333
Euphorbiaceae,Sebastiania pavoniana,-87.36,20.32,25.916666825612385,101.83333333333333
Euphorbiaceae,Sebastiania pavoniana,-107.384444,24.799167,25.34166669845581,56.666666666666664
Euphorbiaceae,Sebastiania pavoniana,-99.575,17.825,26.074999968210857,94.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-99.555,17.775,25.69166660308838,92.75
Euphorbiaceae,Sebastiania pavoniana,-98.42,18.545,22.174999872843426,67
Euphorbiaceae,Sebastiania pavoniana,-96.91,19.308889,20.608333269755047,111.16666666666667
Euphorbiaceae,Sebastiania pavoniana,-96.708333,19.308333,23.99166663487752,95.66666666666667
Euphorbiaceae,Sebastiania pavoniana,-98.887222,18.370833,23.608333269755047,81.41666666666667
Euphorbiaceae,Sebastiania pavoniana,-98.746111,18.361111,24.733333428700764,68.66666666666667
