familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Celastraceae,Semialarium mexicanum,-105.03890884,19.50092775,25.27499993642171,79
Celastraceae,Semialarium mexicanum,-105.03735283,19.50559454,25.27499993642171,79
Celastraceae,Semialarium mexicanum,-88.49669033,19.3072937,25.883333206176758,96.5
Celastraceae,Semialarium mexicanum,-88.49053518,19.30650375,25.89999993642171,96.91666666666667
Celastraceae,Semialarium mexicanum,-88.48990717,19.30642775,25.89999993642171,96.91666666666667
Celastraceae,Semialarium mexicanum,-88.48927815,19.30636876,25.89999993642171,96.91666666666667
Celastraceae,Semialarium mexicanum,-88.48809612,19.30612577,25.89999993642171,96.91666666666667
Celastraceae,Semialarium mexicanum,-88.46733174,19.35520953,25.883333524068195,99.5
Celastraceae,Semialarium mexicanum,-88.46691473,19.35540352,25.883333524068195,99.5
Celastraceae,Semialarium mexicanum,-88.46475668,19.35244766,25.87500015894572,100.16666666666667
Celastraceae,Semialarium mexicanum,-88.46469368,19.35289064,25.87500015894572,100.16666666666667
Celastraceae,Semialarium mexicanum,-88.46459568,19.35579251,25.87500015894572,100.16666666666667
Celastraceae,Semialarium mexicanum,-88.46432667,19.35334562,25.87500015894572,100.16666666666667
Celastraceae,Semialarium mexicanum,-88.46381166,19.35543752,25.87500015894572,100.16666666666667
Celastraceae,Semialarium mexicanum,-88.27475195,19.28020044,25.858333269755047,105.41666666666667
Celastraceae,Semialarium mexicanum,-88.27430394,19.28009545,25.858333269755047,105.41666666666667
Celastraceae,Semialarium mexicanum,-88.27133086,19.27952848,25.858333269755047,105.41666666666667
Celastraceae,Semialarium mexicanum,-88.26200063,19.27636765,25.858333269755047,105.5
Celastraceae,Semialarium mexicanum,-88.25435945,19.27761261,25.858333269755047,105.5
Celastraceae,Semialarium mexicanum,-88.09905987,19.76279439,25.983333110809326,100.91666666666667
Celastraceae,Semialarium mexicanum,-88.09802885,19.76286339,25.983333110809326,100.91666666666667
Celastraceae,Semialarium mexicanum,-88.09380775,19.76381135,25.983333110809326,100.91666666666667
Celastraceae,Semialarium mexicanum,-88.09284572,19.76411534,25.983333110809326,100.91666666666667
Celastraceae,Semialarium mexicanum,-88.09103368,19.76438833,25.966666380564373,101.5
Celastraceae,Semialarium mexicanum,-88.08917264,19.76434534,25.966666380564373,101.5
Celastraceae,Semialarium mexicanum,-88.0878666,19.76318739,25.966666380564373,101.5
