familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Senna papillosa,-84.06722,9.94972,20.90833330154419,282.0833333333333
Fabaceae,Senna papillosa,-95.67,16.356944,26.291666666666668,52.333333333333336
Fabaceae,Senna papillosa,-83.7,10.91666,26.358333428700764,336.25
Fabaceae,Senna papillosa,-95.025831,17.005,25.575000286102295,190.41666666666666
Fabaceae,Senna papillosa,-96.83333,19.93333,23.03333330154419,165.58333333333334
Fabaceae,Senna papillosa,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Senna papillosa,-73.062981,4.197158,26.56666660308838,240.75
Fabaceae,Senna papillosa,-89.11666,16,25.516666730244953,285.4166666666667
Fabaceae,Senna papillosa,-95.036667,17.436944,25.474999745686848,190.08333333333334
Fabaceae,Senna papillosa,-95.03,17.43,25.508333047231037,190.75
Fabaceae,Senna papillosa,-91.496667,17.448333,26.733332951863606,180.33333333333334
Fabaceae,Senna papillosa,-91.49,17.44,26.708333015441895,180.83333333333334
Fabaceae,Senna papillosa,-82.38333,9.245,25.324999968210857,239.41666666666666
Fabaceae,Senna papillosa,-82.28333,9.4,25.87500015894572,238.16666666666666
Fabaceae,Senna papillosa,-82.333333,9.233333,25.866666793823242,252
Fabaceae,Senna papillosa,-82.28333,9.2,25.858333428700764,243.83333333333334
Fabaceae,Senna papillosa,-73.75,8.32,28.541666666666668,217.83333333333334
Fabaceae,Senna papillosa,-73.08,7.2,21.458333492279053,127.66666666666667
Fabaceae,Senna papillosa,-96.941667,18.908333,21.4333332379659,130.41666666666666
Fabaceae,Senna papillosa,-95.113611,18.419444,24.766666730244953,164.58333333333334
Fabaceae,Senna papillosa,-96.858333,19.925,23.35000006357829,157.41666666666666
Fabaceae,Senna papillosa,-70.75,8.25,27.708333333333332,134.25
Fabaceae,Senna papillosa,-95.068889,18.459167,24.3083332379659,165.75
Fabaceae,Senna papillosa,-95.336111,18.459167,24.24166663487752,178.33333333333334
Fabaceae,Senna papillosa,-84.975,10.553611,23.416666984558105,207.08333333333334
Fabaceae,Senna papillosa,-84.86666,10.5,23.391666889190674,250.25
Fabaceae,Senna papillosa,-82.41944,9.29444,25.68333355585734,240.58333333333334
Fabaceae,Senna papillosa,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Senna papillosa,-95.063056,18.559444,25.666666666666668,206.58333333333334
Fabaceae,Senna papillosa,-89.35083,16.08111,24.583333492279053,289.4166666666667
Fabaceae,Senna papillosa,-88.32472,16.99527,25.80833339691162,194.75
Fabaceae,Senna papillosa,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Senna papillosa,-89.35083,16.08111,24.583333492279053,289.4166666666667
Fabaceae,Senna papillosa,-83.535555,9.483889,11.491666714350382,174.5
Fabaceae,Senna papillosa,-83.48333,10.08333,24.77499993642171,301.8333333333333
Fabaceae,Senna papillosa,-97.138333,20.011944,23.575000127156574,149.25
Fabaceae,Senna papillosa,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Senna papillosa,-95.091667,18.458333,24.274999777475994,165.83333333333334
Fabaceae,Senna papillosa,-84.016667,10.433333,25.949999809265137,316.25
