familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Simarubaceae,Simarouba glauca,-88.451944,19.215278,25.983333428700764,95.83333333333333
Simarubaceae,Simarouba glauca,-88.425,19.204722,26,98
Simarubaceae,Simarouba glauca,-88.396667,19.254167,25.81666644414266,100.5
Simarubaceae,Simarouba glauca,-88.312222,19.221389,25.86666663487752,103.91666666666667
Simarubaceae,Simarouba glauca,-88.285556,19.3225,25.891666730244953,105.91666666666667
Simarubaceae,Simarouba glauca,-88.284444,19.240556,25.833333174387615,105.08333333333333
Simarubaceae,Simarouba glauca,-88.277778,19.253611,25.84166653951009,105.41666666666667
Simarubaceae,Simarouba glauca,-88.2675,19.314167,25.858333269755047,106
Simarubaceae,Simarouba glauca,-88.253333,19.275278,25.858333269755047,105.5
Simarubaceae,Simarouba glauca,-88.236944,19.298056,25.84999990463257,106.08333333333333
Simarubaceae,Simarouba glauca,-88.216944,19.276667,25.84999990463257,106.58333333333333
Simarubaceae,Simarouba glauca,-88.203611,19.243611,25.833333174387615,107.08333333333333
Simarubaceae,Simarouba glauca,-88.184167,19.202222,25.858333110809326,108.75
Simarubaceae,Simarouba glauca,-80.448677,25.558935,24.12500015894572,123.41666666666667
Simarubaceae,Simarouba glauca,-85.087104,10.465126,26.89999993642171,159.66666666666666
Simarubaceae,Simarouba glauca,-85.705112,10.837931,25.99999984105428,136.33333333333334
Simarubaceae,Simarouba glauca,-80.609677,25.382034,24.24166663487752,115.58333333333333
Simarubaceae,Simarouba glauca,-80.609348,25.382084,24.24166663487752,115.58333333333333
Simarubaceae,Simarouba glauca,-80.379241,25.754152,24.333333492279053,124.91666666666667
Simarubaceae,Simarouba glauca,-80.369461,25.176262,24.508333524068195,106.16666666666667
Simarubaceae,Simarouba glauca,-80.311659,25.605666,24.25,121.91666666666667
Simarubaceae,Simarouba glauca,-80.309219,25.62137,24.25833336512248,122.08333333333333
Simarubaceae,Simarouba glauca,-80.276639,25.681105,24.22499990463257,122.83333333333333
Simarubaceae,Simarouba glauca,-80.499559,25.484165,24.275000254313152,120.08333333333333
Simarubaceae,Simarouba glauca,-80.443904,25.518525,24.266666889190674,122
Simarubaceae,Simarouba glauca,-80.311648,25.60562,24.25,121.91666666666667
Simarubaceae,Simarouba glauca,-96.058333,18.141667,25.86666663487752,177.5
Simarubaceae,Simarouba glauca,-94.435278,18.137778,26.133333047231037,234.58333333333334
Simarubaceae,Simarouba glauca,-92.03437345,17.57933651,26.575000127156574,225.66666666666666
Simarubaceae,Simarouba glauca,-90.460556,18.575833,25.97499990463257,105.58333333333333
Simarubaceae,Simarouba glauca,-89.25,13.66666,22.09166669845581,160
Simarubaceae,Simarouba glauca,-85.4,11.03,24.61666663487752,230.91666666666666
Simarubaceae,Simarouba glauca,-85.3,10.32,27.208333333333332,153.5
Simarubaceae,Simarouba glauca,-85.11,9.58,25.14999993642171,200.91666666666666
Simarubaceae,Simarouba glauca,-85.1,9.58,26.108333269755047,187.66666666666666
Simarubaceae,Simarouba glauca,-83.82722,30.325,19.625,121.58333333333333
Simarubaceae,Simarouba glauca,-75.695,20.50945,23.674999554951984,122
Simarubaceae,Simarouba glauca,-74.614717,20.427217,24.916666825612385,207.08333333333334
Simarubaceae,Simarouba glauca,-83.82722,30.325,19.625,121.58333333333333
Simarubaceae,Simarouba glauca,-81.79138,24.55472,25.14999993642171,84.83333333333333
Simarubaceae,Simarouba glauca,-82.3658,23.1127,25.733333269755047,106.25
Simarubaceae,Simarouba glauca,-79.03639,21.62111,25.733333428700764,101.33333333333333
Simarubaceae,Simarouba glauca,-89,20.8333,25.766666730244953,84.16666666666667
Simarubaceae,Simarouba glauca,-80.44722,25.08638,24.616666316986084,101.66666666666667
Simarubaceae,Simarouba glauca,-88.588611,20.698056,25.81666628519694,101
Simarubaceae,Simarouba glauca,-90.725,18.608333,26.1916667620341,115.08333333333333
Simarubaceae,Simarouba glauca,-90.725,18.608333,26.1916667620341,115.08333333333333
Simarubaceae,Simarouba glauca,-96.041667,18.125,25.84999990463257,183.83333333333334
Simarubaceae,Simarouba glauca,-88.591667,19.508333,25.825000127156574,94.41666666666667
Simarubaceae,Simarouba glauca,-90.797222,18.612222,26.166666666666668,117.5
Simarubaceae,Simarouba glauca,-90.725,18.608333,26.1916667620341,115.08333333333333
Simarubaceae,Simarouba glauca,-91.775,17.758333,26.9416667620341,179.08333333333334
Simarubaceae,Simarouba glauca,-91.441667,17.458333,26.758333047231037,178.25
Simarubaceae,Simarouba glauca,-90.797222,18.612222,26.166666666666668,117.5
Simarubaceae,Simarouba glauca,-90.725,18.608333,26.1916667620341,115.08333333333333
Simarubaceae,Simarouba glauca,-90.725,18.608333,26.1916667620341,115.08333333333333
Simarubaceae,Simarouba glauca,-92.02762,17.620968,26.633333524068195,214.91666666666666
Simarubaceae,Simarouba glauca,-92.024444,17.575,26.541666666666668,225.16666666666666
Simarubaceae,Simarouba glauca,-79.4,9.16666,24.858333428700764,226.41666666666666
Simarubaceae,Simarouba glauca,-85.25,10.5,27.266666571299236,168.83333333333334
Simarubaceae,Simarouba glauca,-90.797222,18.612222,26.166666666666668,117.5
Simarubaceae,Simarouba glauca,-90.79694,18.6125,26.166666666666668,117.5
Simarubaceae,Simarouba glauca,-85.3,10.33333,27.15833330154419,146.66666666666666
Simarubaceae,Simarouba glauca,-96.650833,19.400556,24.166666825612385,94.16666666666667
Simarubaceae,Simarouba glauca,-96.45,19.738333,23.71666669845581,107.75
Simarubaceae,Simarouba glauca,-96.6,19.233333,24.72500006357829,92.91666666666667
Simarubaceae,Simarouba glauca,-96.588056,19.212222,24.358333269755047,92
Simarubaceae,Simarouba glauca,-94.82,18.25,24.008333524068195,128.33333333333334
Simarubaceae,Simarouba glauca,-90.79694,18.6125,26.166666666666668,117.5
Simarubaceae,Simarouba glauca,-90.505556,18.575,26.0666667620341,105.91666666666667
Simarubaceae,Simarouba glauca,-89.39166,17.06361,24.983333587646484,150.16666666666666
Simarubaceae,Simarouba glauca,-96.858333,19.925,23.35000006357829,157.41666666666666
Simarubaceae,Simarouba glauca,-96.858333,19.941667,23.40833330154419,156.66666666666666
Simarubaceae,Simarouba glauca,-85.3,10.34,27.0666667620341,147.16666666666666
Simarubaceae,Simarouba glauca,-85.25,10.5,27.266666571299236,168.83333333333334
Simarubaceae,Simarouba glauca,-96.493333,19.31,24.94166628519694,88.75
Simarubaceae,Simarouba glauca,-88.425,18.591667,25.916666507720947,93.33333333333333
Simarubaceae,Simarouba glauca,-85.22722,10.70972,23.733333110809326,181.83333333333334
Simarubaceae,Simarouba glauca,-85.17,10.34,27.31666660308838,156.75
Simarubaceae,Simarouba glauca,-95.075,16.575,27.266666889190674,80.16666666666667
Simarubaceae,Simarouba glauca,-88.425,18.825,25.675000190734863,91.08333333333333
Simarubaceae,Simarouba glauca,-85.7,10.3,27.324999809265137,151.83333333333334
Simarubaceae,Simarouba glauca,-85.61666,10.83333,25.858333110809326,146
Simarubaceae,Simarouba glauca,-85.61,10.83,25.858333110809326,146
Simarubaceae,Simarouba glauca,-88.921225,20.431132,25.8083332379659,97.91666666666667
Simarubaceae,Simarouba glauca,-88.61666,13.6,26.34999990463257,157.5
Simarubaceae,Simarouba glauca,-97.245,19.786667,15.966666460037231,103.66666666666667
Simarubaceae,Simarouba glauca,-91.6825,17.33083,26.1833332379659,202.91666666666666
Simarubaceae,Simarouba glauca,-88.94,17.96,24.983333428700764,117.66666666666667
Simarubaceae,Simarouba glauca,-90.458333,19.191667,25.924999872843426,103.91666666666667
Simarubaceae,Simarouba glauca,-90.436111,19.144444,25.858333269755047,103.25
Simarubaceae,Simarouba glauca,-90.394444,19.145278,26.116666952768963,102.5
Simarubaceae,Simarouba glauca,-88.491667,18.475,25.858333110809326,99
Simarubaceae,Simarouba glauca,-88.491667,18.508333,25.6833332379659,96.66666666666667
Simarubaceae,Simarouba glauca,-88.483333,18.491667,25.833333015441895,97.75
Simarubaceae,Simarouba glauca,-88.478889,18.496111,25.833333015441895,97.75
Simarubaceae,Simarouba glauca,-80.77583,7.93777,26.741666793823242,169.16666666666666
Simarubaceae,Simarouba glauca,-94.591667,17.241667,25.30833339691162,305.8333333333333
