familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Elaeocarpaceae,Sloanea ampla,-84.83,10.33,19.083333492279053,200.25
Elaeocarpaceae,Sloanea ampla,-84.04,9.83,17.175000031789143,181.16666666666666
Elaeocarpaceae,Sloanea ampla,-83.008333,9.404167,20.550000031789143,246.5
Elaeocarpaceae,Sloanea ampla,-76.25,4.033333,23.824999650319416,125.41666666666667
Elaeocarpaceae,Sloanea ampla,-82.5,8.716667,20.59166669845581,250.83333333333334
Elaeocarpaceae,Sloanea ampla,-83.234444,9.354167,15.500000158945719,219.41666666666666
Elaeocarpaceae,Sloanea ampla,-94.6,17.266667,25.208333174387615,301.75
Elaeocarpaceae,Sloanea ampla,-83,9.4,20.80833339691162,250.08333333333334
Elaeocarpaceae,Sloanea ampla,-82.661389,9.164167,19.424999872843426,252.66666666666666
Elaeocarpaceae,Sloanea ampla,-82.661389,9.164167,19.424999872843426,252.66666666666666
Elaeocarpaceae,Sloanea ampla,-84.111667,9.713889,15.574999888737997,197.41666666666666
Elaeocarpaceae,Sloanea ampla,-84.481,9.817711,20.85000006357829,197.83333333333334
Elaeocarpaceae,Sloanea ampla,-84.04,9.83,17.175000031789143,181.16666666666666
Elaeocarpaceae,Sloanea ampla,-82.969444,9.030556,17.61666663487752,260.75
Elaeocarpaceae,Sloanea ampla,-84.148611,9.586111,21.425000031789143,249.83333333333334
Elaeocarpaceae,Sloanea ampla,-91.17,14.53,20.80833339691162,263.8333333333333
Elaeocarpaceae,Sloanea ampla,-92.249503,15.145461,19.97499990463257,234.16666666666666
Elaeocarpaceae,Sloanea ampla,-92.8,15.65,16.550000270207722,114.41666666666667
Elaeocarpaceae,Sloanea ampla,-82.961114,9.025,17.800000031789143,262.9166666666667
Elaeocarpaceae,Sloanea ampla,-82.961114,9.025,17.800000031789143,262.9166666666667
Elaeocarpaceae,Sloanea ampla,-83.597223,9.391667,19.59999990463257,241.83333333333334
Elaeocarpaceae,Sloanea ampla,-82.78657,8.892362,19.899999777475994,225.66666666666666
Elaeocarpaceae,Sloanea ampla,-84.198611,9.710556,18.72500006357829,222.83333333333334
Elaeocarpaceae,Sloanea ampla,-84.148611,9.586111,21.425000031789143,249.83333333333334
