familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Elaeocarpaceae,Sloanea garcia-cossioi,-83.525,8.705556,25.78333330154419,265.5
Elaeocarpaceae,Sloanea garcia-cossioi,-83.525,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.516668,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.438555,8.725616,25.925000031789143,295.8333333333333
Elaeocarpaceae,Sloanea garcia-cossioi,-83.547222,8.694444,25.19166644414266,257.0833333333333
Elaeocarpaceae,Sloanea garcia-cossioi,-83.441667,8.655556,26.44166660308838,291.6666666666667
Elaeocarpaceae,Sloanea garcia-cossioi,-83.5214,8.6761,26.03333330154419,247.41666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.504722,8.671667,26.324999968210857,246.33333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-83.5047,8.6717,26.324999968210857,246.33333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-83.5047,8.6717,26.324999968210857,246.33333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-83.491667,8.45,NA,NA
Elaeocarpaceae,Sloanea garcia-cossioi,-83.516667,8.566667,25.608333587646484,247.58333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-83.51,8.56,25.40833314259847,247.75
Elaeocarpaceae,Sloanea garcia-cossioi,-83.52,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.586111,8.686111,24.649999777475994,246.41666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.572222,8.580556,25.19166644414266,250
Elaeocarpaceae,Sloanea garcia-cossioi,-83.525,8.705556,25.78333330154419,265.5
Elaeocarpaceae,Sloanea garcia-cossioi,-83.55,8.7,25.19166644414266,257.0833333333333
Elaeocarpaceae,Sloanea garcia-cossioi,-83.55,8.7,25.19166644414266,257.0833333333333
Elaeocarpaceae,Sloanea garcia-cossioi,-83.55,8.7,25.19166644414266,257.0833333333333
Elaeocarpaceae,Sloanea garcia-cossioi,-83.528611,8.678333,26.041666666666668,241.41666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.54,8.69,25.71666653951009,237.16666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.44166,8.65555,26.458333174387615,272.4166666666667
Elaeocarpaceae,Sloanea garcia-cossioi,-83.43,8.71,NA,NA
Elaeocarpaceae,Sloanea garcia-cossioi,-83.51666,8.7,26.125000317891438,247.33333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-83.516667,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea garcia-cossioi,-83.504722,8.671667,26.324999968210857,246.33333333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-76.65685,5.64479,26.80833339691162,569.5833333333334
Elaeocarpaceae,Sloanea garcia-cossioi,-76.648664,5.64521,26.766666571299236,589.5
