familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Elaeocarpaceae,Sloanea terniflora,-75.2166667,-0.55,25.666666507720947,232.25
Elaeocarpaceae,Sloanea terniflora,-75.4,-0.9333,25.52499993642171,240.16666666666666
Elaeocarpaceae,Sloanea terniflora,-76.1666667,0,25.21666669845581,294.25
Elaeocarpaceae,Sloanea terniflora,-75.4530556,-10.4375,17.18333339691162,79.16666666666667
Elaeocarpaceae,Sloanea terniflora,-73.9469444,-4.6186111,26.575000286102295,204.08333333333334
Elaeocarpaceae,Sloanea terniflora,-79.74066954,9.16886514,25.891666571299236,214.25
Elaeocarpaceae,Sloanea terniflora,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Elaeocarpaceae,Sloanea terniflora,-79.74066954,9.16886514,25.891666571299236,214.25
Elaeocarpaceae,Sloanea terniflora,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Elaeocarpaceae,Sloanea terniflora,-89.9833333,13.8166667,25.324999968210857,147.58333333333334
Elaeocarpaceae,Sloanea terniflora,-88.9602778,13.8752778,24.041666666666668,161.41666666666666
Elaeocarpaceae,Sloanea terniflora,-89.45,14.26666,23.774999777475994,109.83333333333333
Elaeocarpaceae,Sloanea terniflora,-89.45,14.2666667,23.90000009536743,109.25
Elaeocarpaceae,Sloanea terniflora,-89.4166667,14.0833333,25.28333330154419,134.75
Elaeocarpaceae,Sloanea terniflora,-88.6444444,13.6025,25.949999809265137,161
Elaeocarpaceae,Sloanea terniflora,-89.9333333,13.8166667,23.74999984105428,152.33333333333334
Elaeocarpaceae,Sloanea terniflora,-89.6802778,14.0958333,22.87499984105428,132.08333333333334
Elaeocarpaceae,Sloanea terniflora,-89.93333,13.81666,23.78333330154419,153.91666666666666
Elaeocarpaceae,Sloanea terniflora,-89.76666,13.95,23.208333333333332,139.58333333333334
Elaeocarpaceae,Sloanea terniflora,-90.06666,13.8,27.28333330154419,142.16666666666666
Elaeocarpaceae,Sloanea terniflora,-90.0666667,13.8,27.299999872843426,141.58333333333334
Elaeocarpaceae,Sloanea terniflora,-89.9333333,13.8166667,23.74999984105428,152.33333333333334
Elaeocarpaceae,Sloanea terniflora,-89.7666667,13.95,23.449999968210857,138.66666666666666
Elaeocarpaceae,Sloanea terniflora,-88.95,13.8833333,23.50000015894572,160.33333333333334
Elaeocarpaceae,Sloanea terniflora,-89.93333,13.81666,23.78333330154419,153.91666666666666
Elaeocarpaceae,Sloanea terniflora,-89.9333333,13.8166667,23.74999984105428,152.33333333333334
Elaeocarpaceae,Sloanea terniflora,-85.61472,10.83611,25.75833336512248,138.5
Elaeocarpaceae,Sloanea terniflora,-93.163611,15.773611,26.72500006357829,182
Elaeocarpaceae,Sloanea terniflora,-92.529167,15.372222,23.90000009536743,191.16666666666666
Elaeocarpaceae,Sloanea terniflora,-92.522778,15.440833,22.350000222524006,197.25
Elaeocarpaceae,Sloanea terniflora,-64.932222,-9.616389,26.38333336512248,147.83333333333334
Elaeocarpaceae,Sloanea terniflora,-64.751944,-9.378889,26.15000009536743,154.16666666666666
Elaeocarpaceae,Sloanea terniflora,-92.858056,17.626111,26.40833346048991,248.58333333333334
Elaeocarpaceae,Sloanea terniflora,-91.271389,16.930278,24.475000222524006,206.91666666666666
Elaeocarpaceae,Sloanea terniflora,-93.091111,16.793056,23.53333330154419,95
Elaeocarpaceae,Sloanea terniflora,-93.209169,15.686669,28.10000006357829,181.83333333333334
Elaeocarpaceae,Sloanea terniflora,-97.884861,16.943889,24.09166685740153,118.66666666666667
Elaeocarpaceae,Sloanea terniflora,-93.659369,18.118547,26.241666793823242,175.41666666666666
Elaeocarpaceae,Sloanea terniflora,-85.1113889,9.56,26.5583332379659,195.91666666666666
Elaeocarpaceae,Sloanea terniflora,-85.11,9.56,26.5583332379659,195.91666666666666
Elaeocarpaceae,Sloanea terniflora,-84.78,10.89,26.333333333333332,235.41666666666666
Elaeocarpaceae,Sloanea terniflora,-84.25,9.92,22.50833336512248,208.83333333333334
Elaeocarpaceae,Sloanea terniflora,-85.56,10.96,25.608333428700764,146.08333333333334
Elaeocarpaceae,Sloanea terniflora,-85.55,11,24.274999777475994,157.41666666666666
Elaeocarpaceae,Sloanea terniflora,-85.47083,9.86944,26.71666653951009,159.58333333333334
Elaeocarpaceae,Sloanea terniflora,-85.35,10.31666,27.174999713897705,159.41666666666666
Elaeocarpaceae,Sloanea terniflora,-85.42,10.99,22.90000009536743,256.0833333333333
Elaeocarpaceae,Sloanea terniflora,-85.33,10.4,27.258333047231037,152.75
Elaeocarpaceae,Sloanea terniflora,-84.31,9.91,24.00833336512248,178.5
Elaeocarpaceae,Sloanea terniflora,-83.49,8.45,NA,NA
Elaeocarpaceae,Sloanea terniflora,-84.7958333,10.2758334,20.63333336512248,212.66666666666666
Elaeocarpaceae,Sloanea terniflora,-84.79,10.27,19.40000009536743,220.5
Elaeocarpaceae,Sloanea terniflora,-85.8,10.5,27.28333330154419,146.08333333333334
Elaeocarpaceae,Sloanea terniflora,-84.26,9.9,21.46666653951009,178.33333333333334
Elaeocarpaceae,Sloanea terniflora,-77.53277,-0.83583,18.84166653951009,297.9166666666667
Elaeocarpaceae,Sloanea terniflora,-77.53277,-0.83583,18.84166653951009,297.9166666666667
Elaeocarpaceae,Sloanea terniflora,-85.23611,10.65416,24.99166663487752,160.08333333333334
Elaeocarpaceae,Sloanea terniflora,-85.12,10.45,27.266666571299236,152.75
Elaeocarpaceae,Sloanea terniflora,-83.75,9.57,8.358333309491476,196.91666666666666
Elaeocarpaceae,Sloanea terniflora,-97.741667,16.375,25.30833339691162,112.58333333333333
Elaeocarpaceae,Sloanea terniflora,-93.367778,18.002222,26.383333206176758,170.75
Elaeocarpaceae,Sloanea terniflora,-93.899722,17.979167,26.174999872843426,184.25
Elaeocarpaceae,Sloanea terniflora,-102,23,17.06666660308838,30.666666666666668
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-75,-4,26.225000222524006,209
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-65.9119,7.0758,27.366666952768963,155.91666666666666
Elaeocarpaceae,Sloanea terniflora,-75,-4,26.225000222524006,209
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-52.8731,-10.8339,25.53333346048991,172.25
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-64.435,-16.7261,25.208333333333332,250.41666666666666
Elaeocarpaceae,Sloanea terniflora,-61.5,-17.5,25.733333269755047,82.66666666666667
Elaeocarpaceae,Sloanea terniflora,-75,-4,26.225000222524006,209
Elaeocarpaceae,Sloanea terniflora,-74.14,-9.1839,26.22499990463257,146.33333333333334
Elaeocarpaceae,Sloanea terniflora,-64.435,-16.7261,25.208333333333332,250.41666666666666
Elaeocarpaceae,Sloanea terniflora,-61.5,-17.5,25.733333269755047,82.66666666666667
Elaeocarpaceae,Sloanea terniflora,-77.4167,0.3333,16.833333174387615,148.16666666666666
Elaeocarpaceae,Sloanea terniflora,-102,23,17.06666660308838,30.666666666666668
Elaeocarpaceae,Sloanea terniflora,-84.25,9.91,22.408332983652752,214.16666666666666
Elaeocarpaceae,Sloanea terniflora,-84.25,9.9166667,22.50833336512248,208.83333333333334
Elaeocarpaceae,Sloanea terniflora,-62.61666,-14.63333,25.63333336512248,108
Elaeocarpaceae,Sloanea terniflora,-62.61666,-14.63333,25.63333336512248,108
Elaeocarpaceae,Sloanea terniflora,-62.61666,-14.63333,25.63333336512248,108
Elaeocarpaceae,Sloanea terniflora,-79.6,9.1,25.958333174387615,207.91666666666666
Elaeocarpaceae,Sloanea terniflora,-79.55,8.98333,27.04166618982951,175.83333333333334
Elaeocarpaceae,Sloanea terniflora,-74.9167,8.33333,27.96666653951009,236.16666666666666
Elaeocarpaceae,Sloanea terniflora,-73.98,10.963,20.299999872843426,154.83333333333334
Elaeocarpaceae,Sloanea terniflora,-69.7167,-12.8167,24.975000222524006,266.4166666666667
Elaeocarpaceae,Sloanea terniflora,-92.7019444,15.3530556,27.15000009536743,189.41666666666666
Elaeocarpaceae,Sloanea terniflora,-92.7019444,15.3530556,27.15000009536743,189.41666666666666
Elaeocarpaceae,Sloanea terniflora,-72.712583,2.574667,27.858333428700764,210.41666666666666
Elaeocarpaceae,Sloanea terniflora,-67.985861,3.824583,26.90000009536743,251.33333333333334
Elaeocarpaceae,Sloanea terniflora,-85.5,12.5666667,23.583333333333332,151.83333333333334
Elaeocarpaceae,Sloanea terniflora,-75.2944444,-10.375,23.21666669845581,171
Elaeocarpaceae,Sloanea terniflora,-69.2391666,-12.585,25.40833346048991,182.66666666666666
Elaeocarpaceae,Sloanea terniflora,-85.1015,11.0840555,26.4416667620341,161.75
Elaeocarpaceae,Sloanea terniflora,-85.55,11.2166667,26.033333619435627,153.91666666666666
Elaeocarpaceae,Sloanea terniflora,-86.0865,11.7111389,26.40000009536743,117.41666666666667
Elaeocarpaceae,Sloanea terniflora,-85.15,11.8755556,26.333333492279053,149.33333333333334
Elaeocarpaceae,Sloanea terniflora,-84.8129167,11.6193334,26.274999777475994,174.75
Elaeocarpaceae,Sloanea terniflora,-85.8451667,11.3752,26.699999968210857,126.75
Elaeocarpaceae,Sloanea terniflora,-85.1789167,12.1508889,24.53333346048991,150.5
Elaeocarpaceae,Sloanea terniflora,-86.0681945,11.6084722,26.483333428700764,121.58333333333333
Elaeocarpaceae,Sloanea terniflora,-85.70375,11.2218056,26.149999777475994,168.58333333333334
Elaeocarpaceae,Sloanea terniflora,-86.0255556,11.573,26.47500006357829,118.33333333333333
Elaeocarpaceae,Sloanea terniflora,-71.487611,5.912361,26.4416667620341,186.08333333333334
Elaeocarpaceae,Sloanea terniflora,-71.07019,6.81904,26.63333336512248,165.25
Elaeocarpaceae,Sloanea terniflora,-92.7725,15.378333,27.34166669845581,185.16666666666666
Elaeocarpaceae,Sloanea terniflora,-91.289924,17.457847,26.674999872843426,173.5
Elaeocarpaceae,Sloanea terniflora,-104.395833,19.708333,20.708333174387615,88.5
Elaeocarpaceae,Sloanea terniflora,-99.391667,17.991667,27.18333355585734,90.66666666666667
Elaeocarpaceae,Sloanea terniflora,-96.474444,17.351111,13.125000158945719,95.16666666666667
Elaeocarpaceae,Sloanea terniflora,-97.955,17.048611,24,116.41666666666667
Elaeocarpaceae,Sloanea terniflora,-97.922459,17.109002,21.199999968210857,117.33333333333333
Elaeocarpaceae,Sloanea terniflora,-93.709444,18.119167,26.141666730244953,178.16666666666666
Elaeocarpaceae,Sloanea terniflora,-104.425,19.614444,24.483333269755047,136.58333333333334
Elaeocarpaceae,Sloanea terniflora,-104.435278,19.603056,25.09166669845581,131.83333333333334
Elaeocarpaceae,Sloanea terniflora,-104.432222,19.671111,23.37499984105428,119.58333333333333
Elaeocarpaceae,Sloanea terniflora,-104.425278,19.589722,24.02500009536743,137.91666666666666
Elaeocarpaceae,Sloanea terniflora,-91.296667,17.095833,25.28333346048991,209.58333333333334
Elaeocarpaceae,Sloanea terniflora,-91.271389,16.930278,24.475000222524006,206.91666666666666
Elaeocarpaceae,Sloanea terniflora,-91.297,17.096,25.28333346048991,209.58333333333334
Elaeocarpaceae,Sloanea terniflora,-91.271,16.93,24.475000222524006,206.91666666666666
