familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Elaeocarpaceae,Sloanea zuliaensis,-79.8553,9.15125,25.983333269755047,199.5
Elaeocarpaceae,Sloanea zuliaensis,-79.85,9.15,26.358333428700764,200.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-77.866667,8.033333,26.799999713897705,199.66666666666666
Elaeocarpaceae,Sloanea zuliaensis,-77.6,8.45,25.883333206176758,202.91666666666666
Elaeocarpaceae,Sloanea zuliaensis,-77.55,8,26.450000127156574,182.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-77.233543,7.135982,27.425000031789143,320
Elaeocarpaceae,Sloanea zuliaensis,-79.84333,9.1725,26.40000009536743,208
Elaeocarpaceae,Sloanea zuliaensis,-79.84305,9.14138,26.524999777475994,196
Elaeocarpaceae,Sloanea zuliaensis,-79.74555,9.16,26.27499993642171,219.75
Elaeocarpaceae,Sloanea zuliaensis,-75.2065,7.26941,23.583333492279053,298
Elaeocarpaceae,Sloanea zuliaensis,-84.39,9.7,24.608333269755047,232.91666666666666
Elaeocarpaceae,Sloanea zuliaensis,-84.15,9.47,26.449999650319416,272.9166666666667
Elaeocarpaceae,Sloanea zuliaensis,-75.050556,7.216667,23.09166685740153,279.3333333333333
Elaeocarpaceae,Sloanea zuliaensis,-74.83333,7.5,27.666666666666668,306.4166666666667
Elaeocarpaceae,Sloanea zuliaensis,-75.25,-0.11666,25.583333333333332,240.83333333333334
Elaeocarpaceae,Sloanea zuliaensis,-77.816667,7.85,26.12500015894572,239.83333333333334
Elaeocarpaceae,Sloanea zuliaensis,-73.81771,7.24202,27.94166660308838,245.25
Elaeocarpaceae,Sloanea zuliaensis,-72.15,7.466667,21.583333492279053,258.8333333333333
Elaeocarpaceae,Sloanea zuliaensis,-76.964121,7.649103,27.31666660308838,261.25
Elaeocarpaceae,Sloanea zuliaensis,-83.516667,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea zuliaensis,-76.847585,7.602115,27.458333333333332,241.16666666666666
Elaeocarpaceae,Sloanea zuliaensis,-76.25,4.033333,23.824999650319416,125.41666666666667
Elaeocarpaceae,Sloanea zuliaensis,-79.116667,9.408333,26.074999968210857,242.75
Elaeocarpaceae,Sloanea zuliaensis,-73.01666,-3.5,26.31666644414266,249.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-83.39,8.73,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-77.16666,3.83333,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-77.16666,3.88333,26.083333174387615,513.5833333333334
Elaeocarpaceae,Sloanea zuliaensis,-74.83333,7.58333,28.574999809265137,316.6666666666667
Elaeocarpaceae,Sloanea zuliaensis,-74.819116,7.513876,27.958333333333332,318.6666666666667
Elaeocarpaceae,Sloanea zuliaensis,-83.49,8.7,25.77499993642171,292.5
Elaeocarpaceae,Sloanea zuliaensis,-83.483333,8.7,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-83.48,8.7,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-84.530556,9.761111,25.36666663487752,212.5
Elaeocarpaceae,Sloanea zuliaensis,-84.53,9.76,25.36666663487752,212.5
Elaeocarpaceae,Sloanea zuliaensis,-83.658333,9.075,26.28333330154419,251.16666666666666
Elaeocarpaceae,Sloanea zuliaensis,-83.65,9.07,25.99999984105428,281
Elaeocarpaceae,Sloanea zuliaensis,-84.563889,9.772222,23.96666653951009,216.58333333333334
Elaeocarpaceae,Sloanea zuliaensis,-84.55,9.73,24.09166669845581,236.58333333333334
Elaeocarpaceae,Sloanea zuliaensis,-83.716667,9.163889,25.675000190734863,283.3333333333333
Elaeocarpaceae,Sloanea zuliaensis,-83.71,9.16,25.166666825612385,244.91666666666666
Elaeocarpaceae,Sloanea zuliaensis,-84.533333,9.744444,24.94166660308838,231.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-84.533333,9.75,24.94166660308838,231.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-84.53,9.74,24.96666669845581,230.5
Elaeocarpaceae,Sloanea zuliaensis,-84.53,9.75,24.94166660308838,231.33333333333334
Elaeocarpaceae,Sloanea zuliaensis,-83.41,8.73,26.15833346048991,274.3333333333333
Elaeocarpaceae,Sloanea zuliaensis,-83.25,8.76666,26.133333524068195,270.9166666666667
Elaeocarpaceae,Sloanea zuliaensis,-83.25,8.766667,26.416666507720947,286.0833333333333
Elaeocarpaceae,Sloanea zuliaensis,-84.336111,9.701389,24.483333428700764,234.08333333333334
Elaeocarpaceae,Sloanea zuliaensis,-84.33,9.7,24.81666660308838,245.08333333333334
Elaeocarpaceae,Sloanea zuliaensis,-83.525,8.705556,25.78333330154419,265.5
Elaeocarpaceae,Sloanea zuliaensis,-83.52,8.7,25.516666571299236,242.16666666666666
Elaeocarpaceae,Sloanea zuliaensis,-83.441667,8.722222,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-83.44,8.72,26.199999968210857,272.8333333333333
Elaeocarpaceae,Sloanea zuliaensis,-84.19,9.71,17.50833336512248,215
Elaeocarpaceae,Sloanea zuliaensis,-84.033889,9.487222,24.59166669845581,244.91666666666666
Elaeocarpaceae,Sloanea zuliaensis,-84.03,9.48,24.43333339691162,235.25
Elaeocarpaceae,Sloanea zuliaensis,-83.705,9.123056,26.25833336512248,270.75
Elaeocarpaceae,Sloanea zuliaensis,-83.7,9.12,25.94166644414266,283.5833333333333
Elaeocarpaceae,Sloanea zuliaensis,-74.6377,6.2863,26.708333492279053,234.41666666666666
Elaeocarpaceae,Sloanea zuliaensis,-83.454919,8.73059,25.733333110809326,300.75
Elaeocarpaceae,Sloanea zuliaensis,-83.45,8.71,NA,NA
Elaeocarpaceae,Sloanea zuliaensis,-74.9,6.183333,23.18333339691162,233.5
Elaeocarpaceae,Sloanea zuliaensis,-72.6525,5.26944,21.39999993642171,212.66666666666666
Elaeocarpaceae,Sloanea zuliaensis,-83.694414,9.113141,26.266666571299236,271.5833333333333
Elaeocarpaceae,Sloanea zuliaensis,-83.69441,9.113141,26.266666571299236,271.5833333333333
Elaeocarpaceae,Sloanea zuliaensis,-84.348056,9.640833,24.875,238.75
Elaeocarpaceae,Sloanea zuliaensis,-84.33,9.63,25.891666730244953,239.83333333333334
Elaeocarpaceae,Sloanea zuliaensis,-83.4869,8.7306,25.516666571299236,264
Elaeocarpaceae,Sloanea zuliaensis,-84.36917,9.688325,24.71666685740153,234.16666666666666
Elaeocarpaceae,Sloanea zuliaensis,-83.8,9.216667,23.983333587646484,247
Elaeocarpaceae,Sloanea zuliaensis,-72.836389,7.474444,14.71666661898295,101.75
Elaeocarpaceae,Sloanea zuliaensis,-83.475306,8.859278,26.458333174387615,308.5
Elaeocarpaceae,Sloanea zuliaensis,-84.017222,9.484722,23.425000190734863,245.83333333333334
