familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Sorocea affinis,-80.102665,8.507188,26.266666730244953,185.25
Moraceae,Sorocea affinis,-79.640833,9.033611,26.483333269755047,196.5
Moraceae,Sorocea affinis,-79.62055,9.02388,26.65833314259847,198.5
Moraceae,Sorocea affinis,-79.70055,9.11944,26.416666666666668,202.91666666666666
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-79.85833,9.15277,25.983333269755047,199.5
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-79.83638,9.16361,26.30833339691162,215.33333333333334
Moraceae,Sorocea affinis,-80.116667,8.6,23.9416667620341,198.08333333333334
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-79.685,9.12694,26.625,197.08333333333334
Moraceae,Sorocea affinis,-79.53611,9.22916,26.25,210.33333333333334
Moraceae,Sorocea affinis,-79.654722,8.953889,26.3166667620341,174.08333333333334
Moraceae,Sorocea affinis,-82.38333,9.245,25.324999968210857,239.41666666666666
Moraceae,Sorocea affinis,-82,9.05,NA,NA
Moraceae,Sorocea affinis,-79.816667,9.030556,26.6833332379659,208.5
Moraceae,Sorocea affinis,-84.6,11.433333,26.02500009536743,190.41666666666666
Moraceae,Sorocea affinis,-79.95,9.25,26.416666666666668,210.33333333333334
Moraceae,Sorocea affinis,-78.05,7.41666,NA,NA
Moraceae,Sorocea affinis,-77.71666,8.13333,26.924999872843426,168.66666666666666
Moraceae,Sorocea affinis,-77.40833,7.95,26.233333269755047,199.25
Moraceae,Sorocea affinis,-77.4,7.9,26.3083332379659,198.5
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-78.864444,9.215,26.69166660308838,200.41666666666666
Moraceae,Sorocea affinis,-78.75138,8.88972,26.59999990463257,182
Moraceae,Sorocea affinis,-78.05,8.63333,26.46666653951009,199.16666666666666
Moraceae,Sorocea affinis,-79.04694,9.21333,26.674999872843426,179.91666666666666
Moraceae,Sorocea affinis,-78.975,9.216111,26.800000031789143,199.75
Moraceae,Sorocea affinis,-78.183333,7.583333,NA,NA
Moraceae,Sorocea affinis,-77.73333,7.98333,25.12500015894572,224.83333333333334
Moraceae,Sorocea affinis,-77.666667,8.116667,26.866666475931805,178.91666666666666
Moraceae,Sorocea affinis,-79.38333,9.08333,26.983333587646484,168.91666666666666
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-79.75305,9.16833,26.05833339691162,214.75
Moraceae,Sorocea affinis,-79.7175,9.05944,25.90000009536743,202.83333333333334
Moraceae,Sorocea affinis,-79.618333,9.089444,26.241666793823242,203.16666666666666
Moraceae,Sorocea affinis,-78.15,8.65,26.708333333333332,192.08333333333334
Moraceae,Sorocea affinis,-78.116667,8.666667,26.6916667620341,197.08333333333334
Moraceae,Sorocea affinis,-78.03333,9.06666,24.674999872843426,201.08333333333334
Moraceae,Sorocea affinis,-79.85277,9.15555,25.983333269755047,199.5
Moraceae,Sorocea affinis,-79.85,9.15,26.358333428700764,200.33333333333334
Moraceae,Sorocea affinis,-79.84305,9.16527,26.141666730244953,184.41666666666666
Moraceae,Sorocea affinis,-79.84166,9.15694,26.30833339691162,207.5
Moraceae,Sorocea affinis,-79.82361,9.15833,26.53333330154419,214.33333333333334
Moraceae,Sorocea affinis,-79.06666,9.45,NA,NA
