familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Anacardiaceae,Spondias radlkoferi,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Anacardiaceae,Spondias radlkoferi,-79.86121916,9.15829246,26.208333492279053,206.91666666666666
Anacardiaceae,Spondias radlkoferi,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Anacardiaceae,Spondias radlkoferi,-89.98333,13.81666,25.791666507720947,145.33333333333334
Anacardiaceae,Spondias radlkoferi,-89.98333,13.81666,25.791666507720947,145.33333333333334
Anacardiaceae,Spondias radlkoferi,-89.9833333,13.8166667,25.324999968210857,147.58333333333334
Anacardiaceae,Spondias radlkoferi,-89.2,13.56666,24.258333524068195,158.75
Anacardiaceae,Spondias radlkoferi,-89.03333,16.55,22.09166653951009,214.66666666666666
Anacardiaceae,Spondias radlkoferi,-88.8955555,16.4883333,24.09166669845581,218.75
Anacardiaceae,Spondias radlkoferi,-91.2,16.333333,25.40000009536743,206.41666666666666
Anacardiaceae,Spondias radlkoferi,-92.758333,16.971111,20.40833330154419,119.83333333333333
Anacardiaceae,Spondias radlkoferi,-87.725,21.230556,25.375,88.25
Anacardiaceae,Spondias radlkoferi,-91.315833,17.011111,25.475000222524006,216.08333333333334
Anacardiaceae,Spondias radlkoferi,-91.315833,17.011111,25.475000222524006,216.08333333333334
Anacardiaceae,Spondias radlkoferi,-93.091111,16.793056,23.53333330154419,95
Anacardiaceae,Spondias radlkoferi,-94.583333,17.25,25.300000031789143,305.9166666666667
Anacardiaceae,Spondias radlkoferi,-94.558611,17.988889,26.258333524068195,200.58333333333334
Anacardiaceae,Spondias radlkoferi,-92.169439,14.9125,26.59166669845581,294.5
Anacardiaceae,Spondias radlkoferi,-94.683333,16.925,24.924999872843426,194.25
Anacardiaceae,Spondias radlkoferi,-85.5,12.55,23.59999990463257,153.58333333333334
Anacardiaceae,Spondias radlkoferi,-83.55,8.45,25.458333333333332,291.5833333333333
Anacardiaceae,Spondias radlkoferi,-84.6,9.76,25.28333330154419,191.66666666666666
Anacardiaceae,Spondias radlkoferi,-83.5833333,8.4666667,25.9333332379659,293.9166666666667
