familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Stenostomum turrialbanum,-84.08333,12.31666,25.37500015894572,249.33333333333334
Rubiaceae,Stenostomum turrialbanum,-83.633333,8.766667,26.175000190734863,296.9166666666667
Rubiaceae,Stenostomum turrialbanum,-83.65305,9.89166,23.041666507720947,276.0833333333333
Rubiaceae,Stenostomum turrialbanum,-83.598611,8.730556,25.12500015894572,244.66666666666666
Rubiaceae,Stenostomum turrialbanum,-84.351389,10.353889,22.991666952768963,285.9166666666667
Rubiaceae,Stenostomum turrialbanum,-84.477778,9.870833,25.991666793823242,176.25
Rubiaceae,Stenostomum turrialbanum,-84.47777,9.87083,25.991666793823242,176.25
Rubiaceae,Stenostomum turrialbanum,-83.65,9.9,22.93333371480306,281.0833333333333
Rubiaceae,Stenostomum turrialbanum,-83.594444,8.477778,26.258333206176758,305.3333333333333
Rubiaceae,Stenostomum turrialbanum,-84.35,10.35,22.416666666666668,289.5
Rubiaceae,Stenostomum turrialbanum,-84.47,9.87,25.85000006357829,173.91666666666666
Rubiaceae,Stenostomum turrialbanum,-83.4875,8.459722,25.233333110809326,242.41666666666666
Rubiaceae,Stenostomum turrialbanum,-83.336165,8.400454,26.258333206176758,304.9166666666667
Rubiaceae,Stenostomum turrialbanum,-84.47111,10.35888,25.324999650319416,291.8333333333333
Rubiaceae,Stenostomum turrialbanum,-83.62,8.81,25.875,280.3333333333333
Rubiaceae,Stenostomum turrialbanum,-83.625,8.819444,NA,NA
Rubiaceae,Stenostomum turrialbanum,-84.31666,11.13333,25.50833336512248,260.5833333333333
Rubiaceae,Stenostomum turrialbanum,-84.33333,10.96666,25.708333333333332,263.75
Rubiaceae,Stenostomum turrialbanum,-84.351389,10.203889,15.524999936421713,193.91666666666666
Rubiaceae,Stenostomum turrialbanum,-83.55,8.45,25.458333333333332,291.5833333333333
Rubiaceae,Stenostomum turrialbanum,-83.51,8.71,24.21666653951009,261.6666666666667
Rubiaceae,Stenostomum turrialbanum,-83.51,8.71,24.21666653951009,261.6666666666667
Rubiaceae,Stenostomum turrialbanum,-83.6,8.46,NA,NA
Rubiaceae,Stenostomum turrialbanum,-83.49,8.45,NA,NA
Rubiaceae,Stenostomum turrialbanum,-83.49166,8.45,NA,NA
Rubiaceae,Stenostomum turrialbanum,-83.594444,8.477778,26.258333206176758,305.3333333333333
Rubiaceae,Stenostomum turrialbanum,-83.33417,8.51583,26.333333492279053,244.66666666666666
Rubiaceae,Stenostomum turrialbanum,-83.583333,8.716667,24.63333336512248,255.83333333333334
Rubiaceae,Stenostomum turrialbanum,-83.58,8.71,24.96666669845581,245.25
Rubiaceae,Stenostomum turrialbanum,-83.58,8.71,24.96666669845581,245.25
Rubiaceae,Stenostomum turrialbanum,-83.59,8.73,25.733333110809326,253.75
Rubiaceae,Stenostomum turrialbanum,-83.54,8.74,24.90000009536743,288
Rubiaceae,Stenostomum turrialbanum,-83.334126,8.515895,26.333333492279053,244.66666666666666
Rubiaceae,Stenostomum turrialbanum,-83.544444,8.743056,24.358333428700764,272.3333333333333
Rubiaceae,Stenostomum turrialbanum,-83.59,8.73,25.733333110809326,253.75
Rubiaceae,Stenostomum turrialbanum,-83.54,8.74,24.90000009536743,288
Rubiaceae,Stenostomum turrialbanum,-83.583336,8.466667,26.05833339691162,305.3333333333333
Rubiaceae,Stenostomum turrialbanum,-84.616667,10.3,21.46666685740153,286.9166666666667
Rubiaceae,Stenostomum turrialbanum,-84.61,10.3,21.93333339691162,290.5833333333333
