familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Dichapetalaceae,Stephanopodium costaricense,-83.51,8.71,24.21666653951009,261.6666666666667
Dichapetalaceae,Stephanopodium costaricense,-83.516668,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.51,8.7,26.125000317891438,247.33333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.516667,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.525,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-84.016668,10.433333,25.949999809265137,316.25
Dichapetalaceae,Stephanopodium costaricense,-83.2167,8.68333,25.69166644414266,249.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.2167,8.68333,25.69166644414266,249.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.716667,10.483333,26.15000009536743,300.0833333333333
Dichapetalaceae,Stephanopodium costaricense,-84.366667,11.566667,26.00000015894572,214.66666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.516667,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-84.175,10.31111,23.94166660308838,303.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.4667,8.7361,25.508333206176758,274.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.5364,8.6761,25.791666666666668,232.33333333333334
Dichapetalaceae,Stephanopodium costaricense,-84.0139,9.4944,21.766666571299236,237.58333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.470367,8.734216,25.508333206176758,274.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.456111,8.729167,25.733333110809326,300.75
Dichapetalaceae,Stephanopodium costaricense,-84.38194,9.697222,24.3083332379659,236.25
Dichapetalaceae,Stephanopodium costaricense,-84.01,10.43,25.949999809265137,317.4166666666667
Dichapetalaceae,Stephanopodium costaricense,-83.427778,8.525,24.97499990463257,289.1666666666667
Dichapetalaceae,Stephanopodium costaricense,-83.42,8.52,24.84166685740153,289.3333333333333
Dichapetalaceae,Stephanopodium costaricense,-83.76,9.21,23.866666793823242,242.83333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.76,9.21,23.866666793823242,242.83333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.558333,8.688889,24.99999984105428,244.41666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.558333,8.688889,24.99999984105428,244.41666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.55,8.7,25.19166644414266,257.0833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.55,8.7,25.19166644414266,257.0833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.788889,10.441667,26.05833339691162,301.75
Dichapetalaceae,Stephanopodium costaricense,-84.419444,10.894444,25.916666666666668,262.8333333333333
Dichapetalaceae,Stephanopodium costaricense,-84.41,10.89,25.89999993642171,256.1666666666667
Dichapetalaceae,Stephanopodium costaricense,-83.433333,8.533333,24.55833339691162,280.8333333333333
Dichapetalaceae,Stephanopodium costaricense,-84.41944,10.89444,25.916666666666668,262.8333333333333
Dichapetalaceae,Stephanopodium costaricense,-83.71,10.48,26.15833346048991,301.5
Dichapetalaceae,Stephanopodium costaricense,-83.71,10.48,26.15833346048991,301.5
Dichapetalaceae,Stephanopodium costaricense,-83.78,10.44,26.075000127156574,304.9166666666667
Dichapetalaceae,Stephanopodium costaricense,-83.5,10.4,26.166666825612385,309.25
Dichapetalaceae,Stephanopodium costaricense,-84.01,9.54,22.799999872843426,238.91666666666666
Dichapetalaceae,Stephanopodium costaricense,-84.01,9.54,22.799999872843426,238.91666666666666
Dichapetalaceae,Stephanopodium costaricense,-84.381944,9.697222,24.3083332379659,236.25
Dichapetalaceae,Stephanopodium costaricense,-84.370833,9.693056,24.083333333333332,244.83333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.466667,8.736111,25.508333206176758,274.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-84.333333,10.966667,25.774999777475994,274.25
Dichapetalaceae,Stephanopodium costaricense,-83.55,10.4,25.5666667620341,301.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-82.982222,8.285278,24.400000254313152,271.0833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.425512,8.536614,25.15833330154419,260.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.42,8.52,24.84166685740153,289.3333333333333
Dichapetalaceae,Stephanopodium costaricense,-83.21,8.68,25.22499990463257,247.66666666666666
Dichapetalaceae,Stephanopodium costaricense,-84.376389,9.693056,24.3083332379659,236.25
Dichapetalaceae,Stephanopodium costaricense,-84.36,9.68,25.016666730244953,256
Dichapetalaceae,Stephanopodium costaricense,-83.21,8.68,25.22499990463257,247.66666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.683333,10.5,26.18333355585734,305.3333333333333
Dichapetalaceae,Stephanopodium costaricense,-83.6,10.33,26.216667016347248,302.5
Dichapetalaceae,Stephanopodium costaricense,-83.4561,8.7292,25.733333110809326,300.75
Dichapetalaceae,Stephanopodium costaricense,-84.36917,9.688325,24.71666685740153,234.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.525,8.705556,25.78333330154419,265.5
Dichapetalaceae,Stephanopodium costaricense,-83.45611,8.72916,25.733333110809326,300.75
Dichapetalaceae,Stephanopodium costaricense,-83.58,8.71,24.96666669845581,245.25
Dichapetalaceae,Stephanopodium costaricense,-83.51,8.7,26.125000317891438,247.33333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.516667,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.580556,8.716667,24.63333336512248,255.83333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.52,8.7,25.516666571299236,242.16666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.51,8.7,26.125000317891438,247.33333333333334
Dichapetalaceae,Stephanopodium costaricense,-83.425556,8.536667,25.15833330154419,260.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-83.43,8.53,24.55833339691162,280.8333333333333
Dichapetalaceae,Stephanopodium costaricense,-83.45,8.73,25.833333333333332,294
Dichapetalaceae,Stephanopodium costaricense,-83.454167,8.731111,25.733333110809326,300.75
Dichapetalaceae,Stephanopodium costaricense,-84.216667,11.5,25.675000031789143,268.5
Dichapetalaceae,Stephanopodium costaricense,-84.483333,11.033333,25.916666507720947,257.5
Dichapetalaceae,Stephanopodium costaricense,-83.763889,9.211111,23.866666793823242,242.83333333333334
Dichapetalaceae,Stephanopodium costaricense,-84.175,10.311111,23.94166660308838,303.5833333333333
Dichapetalaceae,Stephanopodium costaricense,-84.384444,9.699722,24.608333269755047,232.91666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.21666,8.68333,25.22499990463257,247.66666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.21,8.68,25.22499990463257,247.66666666666666
Dichapetalaceae,Stephanopodium costaricense,-83.476111,8.842778,26.166666825612385,302
Dichapetalaceae,Stephanopodium costaricense,-84.105556000000007,9.511111,25.958333015441895,281.5
Dichapetalaceae,Stephanopodium costaricense,-83.68333,10.63333,26.074999968210857,297.5833333333333
