familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Sterculia costaricana,-83.4,10.01,25.44166660308838,300.9166666666667
Malvaceae,Sterculia costaricana,-83.4,10.35,26.200000286102295,299.5
Malvaceae,Sterculia costaricana,-83.54,10.08,24.59166685740153,291.6666666666667
Malvaceae,Sterculia costaricana,-79.7675,9.350833,26.166666507720947,218.16666666666666
Malvaceae,Sterculia costaricana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Malvaceae,Sterculia costaricana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Malvaceae,Sterculia costaricana,-76.5,3.75,19.62500015894572,133.41666666666666
Malvaceae,Sterculia costaricana,-80,9.1667,26.508333524068195,203.41666666666666
Malvaceae,Sterculia costaricana,-83.8667,10,13.466666539510092,317.3333333333333
Malvaceae,Sterculia costaricana,-83.8667,10,13.466666539510092,317.3333333333333
Malvaceae,Sterculia costaricana,-83.03917,9.72833,26.30833339691162,251.66666666666666
Malvaceae,Sterculia costaricana,-82.666667,9.566667,26.40000009536743,229.08333333333334
Malvaceae,Sterculia costaricana,-83.4,10.016667,24.84999990463257,289.3333333333333
Malvaceae,Sterculia costaricana,-83.4,10.35,26.200000286102295,299.5
Malvaceae,Sterculia costaricana,-83.022222,9.669444,25.64999993642171,256.5833333333333
Malvaceae,Sterculia costaricana,-83.541667,10.088889,25.399999777475994,293
Malvaceae,Sterculia costaricana,-82.686111,9.630556,26.199999809265137,266.75
Malvaceae,Sterculia costaricana,-83.028377,9.671551,25.708333333333332,257.75
Malvaceae,Sterculia costaricana,-83.005556,9.675,25.64999993642171,271.3333333333333
Malvaceae,Sterculia costaricana,-83.452778,9.972222,24.291666666666668,281.75
Malvaceae,Sterculia costaricana,-83.063889,9.825,25.975000381469727,279.1666666666667
Malvaceae,Sterculia costaricana,-83.039267,9.728299,26.30833339691162,251.66666666666666
Malvaceae,Sterculia costaricana,-83.005556,9.675,25.64999993642171,271.3333333333333
Malvaceae,Sterculia costaricana,-82.953077,9.798633,25.233333110809326,255.66666666666666
Malvaceae,Sterculia costaricana,-83.068333,9.817194,25.708333174387615,271.8333333333333
Malvaceae,Sterculia costaricana,-83.0283334,9.6716667,25.708333333333332,257.75
Malvaceae,Sterculia costaricana,-83.45277,9.97222,24.291666666666668,281.75
Malvaceae,Sterculia costaricana,-79.65,9.31666,26.416666348775227,209.58333333333334
Malvaceae,Sterculia costaricana,-79.75,9.44166,26.50833336512248,198.58333333333334
Malvaceae,Sterculia costaricana,-79.65,9.31666,26.416666348775227,209.58333333333334
Malvaceae,Sterculia costaricana,-79.375,9.23388,23.300000031789143,239.16666666666666
Malvaceae,Sterculia costaricana,-78.93277,9.2625,25.59166685740153,187.58333333333334
Malvaceae,Sterculia costaricana,-78.92805,9.26944,24.991666793823242,189.08333333333334
Malvaceae,Sterculia costaricana,-78.93111,9.25916,25.59166685740153,187.58333333333334
Malvaceae,Sterculia costaricana,-78.9291667,9.2727778,24.991666793823242,189.08333333333334
Malvaceae,Sterculia costaricana,-83.58333,8.5,25.74999984105428,278.4166666666667
Malvaceae,Sterculia costaricana,-79.125,9.45,26.64999993642171,225.66666666666666
Malvaceae,Sterculia costaricana,-79.1,9.4,26.15833330154419,224
Malvaceae,Sterculia costaricana,-78.96666,9.33333,24.858333269755047,237.91666666666666
Malvaceae,Sterculia costaricana,-82.66,9.56,26.416666825612385,230.08333333333334
Malvaceae,Sterculia costaricana,-80.11666,8.61666,23.72499990463257,198.58333333333334
Malvaceae,Sterculia costaricana,-83.02,9.66,25.24999984105428,273.5833333333333
Malvaceae,Sterculia costaricana,-82.6861111,9.6305556,26.199999809265137,266.75
Malvaceae,Sterculia costaricana,-83.0638889,9.825,25.975000381469727,279.1666666666667
Malvaceae,Sterculia costaricana,-82.9530556,9.7986111,25.233333110809326,255.66666666666666
Malvaceae,Sterculia costaricana,-82.66,9.56,26.416666825612385,230.08333333333334
Malvaceae,Sterculia costaricana,-83.4,10.35,26.200000286102295,299.5
Malvaceae,Sterculia costaricana,-84.6,9.76,25.28333330154419,191.66666666666666
Malvaceae,Sterculia costaricana,-82.68,9.63,26.34166653951009,265.4166666666667
Malvaceae,Sterculia costaricana,-83.5,10.51,26.216667016347248,339.5
Malvaceae,Sterculia costaricana,-83.02,9.67,25.64999993642171,256.5833333333333
Malvaceae,Sterculia costaricana,-83.45,9.97,24.291666666666668,283.9166666666667
Malvaceae,Sterculia costaricana,-83.4272,9.7058,21.975000222524006,270.6666666666667
Malvaceae,Sterculia costaricana,-83.1603,9.9828,25.666666507720947,286.25
Malvaceae,Sterculia costaricana,-79.6586,9.5492,25.974999745686848,214.75
Malvaceae,Sterculia costaricana,-79.5053,9.2722,25.858333269755047,220.58333333333334
Malvaceae,Sterculia costaricana,-78.2478,9.3022,26.708333333333332,163.91666666666666
Malvaceae,Sterculia costaricana,-79.7989,9.07852,26.433333079020183,204.75
Malvaceae,Sterculia costaricana,-79.7269,9.35583,25.266666889190674,237.25
Malvaceae,Sterculia costaricana,-79.7869,9.07646,26.508333206176758,201.66666666666666
Malvaceae,Sterculia costaricana,-79.7995,9.32444,26.39999993642171,244.16666666666666
Malvaceae,Sterculia costaricana,-79.7266,9.3561,25.266666889190674,237.25
Malvaceae,Sterculia costaricana,-79.3598,9.37642,24.899999777475994,259.6666666666667
Malvaceae,Sterculia costaricana,-79.3559,9.37499,24.75000015894572,251.91666666666666
Malvaceae,Sterculia costaricana,-78.985,9.31026,24.666666666666668,237.66666666666666
Malvaceae,Sterculia costaricana,-79.79889679,9.07851982,26.433333079020183,204.75
Malvaceae,Sterculia costaricana,-79.78690338,9.07645989,26.508333206176758,201.66666666666666
Malvaceae,Sterculia costaricana,-79.72689819,9.35583019,25.266666889190674,237.25
