familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Stryphnodendron microstachyum,-64.71139,-3.35417,26.825000127156574,229.58333333333334
Fabaceae,Stryphnodendron microstachyum,-53.08982,-10.773109,25.88333336512248,176.08333333333334
Fabaceae,Stryphnodendron microstachyum,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Stryphnodendron microstachyum,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Stryphnodendron microstachyum,-84.42694,10.30611,22.141666412353516,301.8333333333333
Fabaceae,Stryphnodendron microstachyum,-70.67,0.08,25.766666889190674,254.16666666666666
Fabaceae,Stryphnodendron microstachyum,-83.95,14.38,24.77500009536743,225.91666666666666
Fabaceae,Stryphnodendron microstachyum,-83.95,14.38333,24.77500009536743,225.91666666666666
Fabaceae,Stryphnodendron microstachyum,-83.933333,14.316667,24.708333492279053,226.91666666666666
Fabaceae,Stryphnodendron microstachyum,-83.93,14.32,24.708333492279053,226.91666666666666
Fabaceae,Stryphnodendron microstachyum,-84.01,10.43,25.949999809265137,317.4166666666667
Fabaceae,Stryphnodendron microstachyum,-84,10.5,26.02499993642171,310.25
Fabaceae,Stryphnodendron microstachyum,-75.05,7.216667,23.799999713897705,281.75
Fabaceae,Stryphnodendron microstachyum,-75.050556,7.216667,23.09166685740153,279.3333333333333
Fabaceae,Stryphnodendron microstachyum,-84.61666,13.85,24.21666685740153,210
Fabaceae,Stryphnodendron microstachyum,-84.00611,10.45416,26.050000031789143,317.3333333333333
Fabaceae,Stryphnodendron microstachyum,-84.003611,10.431389,26.008333206176758,307.9166666666667
Fabaceae,Stryphnodendron microstachyum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Stryphnodendron microstachyum,-67.73748117,-10.15462612,25.266666889190674,139.66666666666666
Fabaceae,Stryphnodendron microstachyum,-75,-4,26.225000222524006,209
Fabaceae,Stryphnodendron microstachyum,-84.06,10.47,25.625,303.25
Fabaceae,Stryphnodendron microstachyum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Stryphnodendron microstachyum,-64.7,-3.366667,26.8166667620341,225
Fabaceae,Stryphnodendron microstachyum,-84.65,13.8,23.866666793823242,211.83333333333334
Fabaceae,Stryphnodendron microstachyum,-83.56,9.96,22.925000031789143,255.16666666666666
Fabaceae,Stryphnodendron microstachyum,-84.916667,13.133333,25.18333355585734,182.08333333333334
Fabaceae,Stryphnodendron microstachyum,-84.91666,13.15,25.175000190734863,188.75
Fabaceae,Stryphnodendron microstachyum,-84.38333,11.81666,25.266666571299236,238.91666666666666
Fabaceae,Stryphnodendron microstachyum,-84.2,12.133333,25.72500006357829,248.25
Fabaceae,Stryphnodendron microstachyum,-75.4,-10.5667,18.80833371480306,108.25
Fabaceae,Stryphnodendron microstachyum,-75,-9.83333,26.15000009536743,170.16666666666666
Fabaceae,Stryphnodendron microstachyum,-73.22,-7.133333,25.43333339691162,198.16666666666666
Fabaceae,Stryphnodendron microstachyum,-73.216667,-7.133333,25.43333339691162,198.16666666666666
Fabaceae,Stryphnodendron microstachyum,-84.31666,12.16666,25.875000317891438,238.58333333333334
Fabaceae,Stryphnodendron microstachyum,-83.65,10.68,26.18333355585734,306.6666666666667
Fabaceae,Stryphnodendron microstachyum,-71.38,-11.88,25.050000031789143,214.58333333333334
Fabaceae,Stryphnodendron microstachyum,-70.25,-12,24.558333079020183,225.75
Fabaceae,Stryphnodendron microstachyum,-83.566667,10.45,26.166666825612385,295.0833333333333
Fabaceae,Stryphnodendron microstachyum,-83.56,10.45,26.133333683013916,298.75
Fabaceae,Stryphnodendron microstachyum,-85.466667,10.95,21.15000009536743,203.08333333333334
Fabaceae,Stryphnodendron microstachyum,-85.421667,11.033333,24.633333206176758,216.25
Fabaceae,Stryphnodendron microstachyum,-85.41,11.03,24.641666571299236,230.25
Fabaceae,Stryphnodendron microstachyum,-83.46,10.95,NA,NA
Fabaceae,Stryphnodendron microstachyum,-85.267222,10.791667,20.958333333333332,278.3333333333333
Fabaceae,Stryphnodendron microstachyum,-85.263333,10.831111,23,269.0833333333333
Fabaceae,Stryphnodendron microstachyum,-85.26,10.83,23,269.0833333333333
Fabaceae,Stryphnodendron microstachyum,-84.175,10.325,24.25000015894572,321.6666666666667
Fabaceae,Stryphnodendron microstachyum,-84.17,10.32,24.25000015894572,321.6666666666667
Fabaceae,Stryphnodendron microstachyum,-85.401389,10.880556,23.00833336512248,225.33333333333334
Fabaceae,Stryphnodendron microstachyum,-85.4,10.88,23.12499984105428,239.25
Fabaceae,Stryphnodendron microstachyum,-84.366944,9.694444,24.083333333333332,244.83333333333334
Fabaceae,Stryphnodendron microstachyum,-83.91666,11.9,25.950000127156574,291.6666666666667
Fabaceae,Stryphnodendron microstachyum,-83.67,9.28,22.81666660308838,248.33333333333334
Fabaceae,Stryphnodendron microstachyum,-84.07,10.29,21.866666952768963,289.5
Fabaceae,Stryphnodendron microstachyum,-71.190278,2.178056,26.766666730244953,226.83333333333334
Fabaceae,Stryphnodendron microstachyum,-85.42778,11.00556,23.616666793823242,239.91666666666666
Fabaceae,Stryphnodendron microstachyum,-85.427778,11.005556,23.616666793823242,239.91666666666666
Fabaceae,Stryphnodendron microstachyum,-85.42777,11.00555,23.616666793823242,239.91666666666666
Fabaceae,Stryphnodendron microstachyum,-85.425809,10.990362,22.574999968210857,249.33333333333334
Fabaceae,Stryphnodendron microstachyum,-85.42,11,23.06666660308838,239
Fabaceae,Stryphnodendron microstachyum,-84.136986,10.401321,25.416666348775227,297.9166666666667
Fabaceae,Stryphnodendron microstachyum,-84.13,10.4,25.391666253407795,298.8333333333333
Fabaceae,Stryphnodendron microstachyum,-83.9167,10.25,25.34999958674113,323.5833333333333
Fabaceae,Stryphnodendron microstachyum,-83.916667,10.25,25.34999958674113,323.5833333333333
Fabaceae,Stryphnodendron microstachyum,-84.022222,10.422222,25.766666889190674,314.9166666666667
Fabaceae,Stryphnodendron microstachyum,-72.76,-7.3993,25.12499984105428,185.5
Fabaceae,Stryphnodendron microstachyum,-72.60236,2.53528,27.99166663487752,229
Fabaceae,Stryphnodendron microstachyum,-83.383333,10.011111,24.90833346048991,281.0833333333333
Fabaceae,Stryphnodendron microstachyum,-83.377778,9.991667,24.449999968210857,286.25
Fabaceae,Stryphnodendron microstachyum,-85.38116,11.047827,24.774999777475994,237.16666666666666
Fabaceae,Stryphnodendron microstachyum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Stryphnodendron microstachyum,-83.470833,10.045833,24.141666730244953,293.3333333333333
Fabaceae,Stryphnodendron microstachyum,-84.217019,10.678484,25.90000009536743,288.4166666666667
Fabaceae,Stryphnodendron microstachyum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Stryphnodendron microstachyum,-75.740747,1.407831,25.491666475931805,290.5833333333333
Fabaceae,Stryphnodendron microstachyum,-84.351111,11.120833,25.78333330154419,261
Fabaceae,Stryphnodendron microstachyum,-83.857778,10.191111,24.616666793823242,312.0833333333333
Fabaceae,Stryphnodendron microstachyum,-59,-3,26.9416667620341,186.83333333333334
Fabaceae,Stryphnodendron microstachyum,-84.197222,10.722222,25.858333269755047,284.9166666666667
Fabaceae,Stryphnodendron microstachyum,-83.86,10.192806,24.74166711171468,312.4166666666667
Fabaceae,Stryphnodendron microstachyum,-72.998611,-7.410278,25.266666571299236,189.41666666666666
Fabaceae,Stryphnodendron microstachyum,-84.124167,10.411944,25.5,294.4166666666667
Fabaceae,Stryphnodendron microstachyum,-75.259444,-10.3475,24.5666667620341,184.08333333333334
Fabaceae,Stryphnodendron microstachyum,-75.253333,-10.355833,24.59999990463257,183.66666666666666
Fabaceae,Stryphnodendron microstachyum,-67.65,-8.489722,25.408333619435627,173.75
Fabaceae,Stryphnodendron microstachyum,-75.883833,1.458056,23.550000190734863,252.33333333333334
Fabaceae,Stryphnodendron microstachyum,-74.794322,6.549869,23.64999993642171,250.41666666666666
Fabaceae,Stryphnodendron microstachyum,-65.29,-4.846389,26.458333174387615,201.33333333333334
Fabaceae,Stryphnodendron microstachyum,-62,-3,26.508333206176758,223.08333333333334
Fabaceae,Stryphnodendron microstachyum,-84.078332,10.327499,23.71666669845581,291
Fabaceae,Stryphnodendron microstachyum,-68.667778,5.84075,27.800000031789143,208.25
Fabaceae,Stryphnodendron microstachyum,-83.9519,10.0114,17.35000006357829,334.6666666666667
Fabaceae,Stryphnodendron microstachyum,-72.64806,2.42639,27.833333492279053,231.66666666666666
Fabaceae,Stryphnodendron microstachyum,-72.60236,2.53528,27.99166663487752,229
Fabaceae,Stryphnodendron microstachyum,-71.19028,2.17806,26.766666730244953,226.83333333333334
Fabaceae,Stryphnodendron microstachyum,-70.666667,0.083333,25.766666889190674,254.16666666666666
Fabaceae,Stryphnodendron microstachyum,-53.2,3.616667,24.93333339691162,222.5
Fabaceae,Stryphnodendron microstachyum,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Stryphnodendron microstachyum,-38.957222,-4.385556,23.74166663487752,106.58333333333333
Fabaceae,Stryphnodendron microstachyum,-38.54206,-4.15488,26.074999968210857,89.91666666666667
Fabaceae,Stryphnodendron microstachyum,-85.41,11.02,24.28333314259847,232.58333333333334
Fabaceae,Stryphnodendron microstachyum,-85.29,10.9,24.483333428700764,267.4166666666667
Fabaceae,Stryphnodendron microstachyum,-85.25,10.91,25.03333346048991,258.0833333333333
