familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Styracaceae,Styrax argenteus,-89.118,16.407,22.016666571299236,240
Styracaceae,Styrax argenteus,-64.333,-20.7,21.50833336512248,65
Styracaceae,Styrax argenteus,-92.883056,17.148611,17.55833355585734,117.16666666666667
Styracaceae,Styrax argenteus,-92.882778,17.149167,17.55833355585734,117.16666666666667
Styracaceae,Styrax argenteus,-92.876111,17.145556,17.55833355585734,117.16666666666667
Styracaceae,Styrax argenteus,-92.876111,17.150278,17.4416667620341,117.08333333333333
Styracaceae,Styrax argenteus,-92.875833,17.145,17.55833355585734,117.16666666666667
Styracaceae,Styrax argenteus,-92.875278,17.145,17.55833355585734,117.16666666666667
Styracaceae,Styrax argenteus,-103.974722,19.484167,14.84166669845581,92.16666666666667
Styracaceae,Styrax argenteus,-103.957778,19.480556,14.383333365122477,91.83333333333333
Styracaceae,Styrax argenteus,-103.956944,19.4825,14.383333365122477,91.83333333333333
Styracaceae,Styrax argenteus,-103.956389,19.480833,14.383333365122477,91.83333333333333
Styracaceae,Styrax argenteus,-103.955833,19.481667,14.383333365122477,91.83333333333333
Styracaceae,Styrax argenteus,-103.955278,19.482778,14.383333365122477,91.83333333333333
Styracaceae,Styrax argenteus,-93.475451,16.806752,23.500000317891438,86.5
Styracaceae,Styrax argenteus,-93.6088,16.25374,22.266666730244953,81.08333333333333
Styracaceae,Styrax argenteus,-93.087083,16.815593,21.766666889190674,90.91666666666667
Styracaceae,Styrax argenteus,-92.855907,16.791968,20.86666663487752,98.83333333333333
Styracaceae,Styrax argenteus,-92.831252,16.789597,20.199999809265137,100.83333333333333
Styracaceae,Styrax argenteus,-103.980278,19.4425,19.38333336512248,93.16666666666667
Styracaceae,Styrax argenteus,-103.979444,19.438889,19.991666793823242,89.25
Styracaceae,Styrax argenteus,-103.979444,19.440833,19.991666793823242,89.25
Styracaceae,Styrax argenteus,-103.975555,19.436667,19.991666793823242,89.25
Styracaceae,Styrax argenteus,-103.975555,19.440278,19.991666793823242,89.25
Styracaceae,Styrax argenteus,-103.974722,19.435556,17.27499993642171,92.33333333333333
Styracaceae,Styrax argenteus,-103.966389,19.483056,14.516666730244955,91.75
Styracaceae,Styrax argenteus,-103.964167,19.002222,26.716666380564373,69.08333333333333
Styracaceae,Styrax argenteus,-103.962778,19.458333,15.708333333333334,89.66666666666667
Styracaceae,Styrax argenteus,-103.9625,19.476944,14.516666730244955,91.75
Styracaceae,Styrax argenteus,-103.961667,19.473889,14.666666746139526,90.91666666666667
Styracaceae,Styrax argenteus,-103.959722,19.470556,14.666666746139526,90.91666666666667
Styracaceae,Styrax argenteus,-103.959167,19.471667,14.666666746139526,90.91666666666667
Styracaceae,Styrax argenteus,-103.954722,19.4675,14.31666668256124,91.66666666666667
Styracaceae,Styrax argenteus,-103.954167,19.454444,14.733333269755045,90.75
Styracaceae,Styrax argenteus,-103.953889,19.454722,14.733333269755045,90.75
Styracaceae,Styrax argenteus,-103.953889,19.458333,14.733333269755045,90.75
Styracaceae,Styrax argenteus,-103.953333,19.458611,14.516666491826376,91.08333333333333
Styracaceae,Styrax argenteus,-103.953055,19.458889,14.516666491826376,91.08333333333333
Styracaceae,Styrax argenteus,-103.952778,19.438611,15.633333285649618,89.75
Styracaceae,Styrax argenteus,-103.948611,19.451667,14.583333253860474,92
Styracaceae,Styrax argenteus,-103.948333,19.444444,14.950000206629435,90.33333333333333
Styracaceae,Styrax argenteus,-103.9475,19.438056,15.350000063578287,89.5
Styracaceae,Styrax argenteus,-103.947222,19.445278,14.950000206629435,90.33333333333333
Styracaceae,Styrax argenteus,-103.939167,19.456111,14.59166669845581,92.5
Styracaceae,Styrax argenteus,-103.938333,19.456944,14.59166669845581,92.5
Styracaceae,Styrax argenteus,-103.937222,19.454722,14.59166669845581,92.5
Styracaceae,Styrax argenteus,-103.936944,19.454167,14.59166669845581,92.5
Styracaceae,Styrax argenteus,-103.936667,19.453611,14.59166669845581,92.5
Styracaceae,Styrax argenteus,-103.935278,19.439722,15.108333349227905,90.08333333333333
Styracaceae,Styrax argenteus,-103.935,19.436667,15.108333349227905,90.08333333333333
Styracaceae,Styrax argenteus,-103.933889,19.448889,14.775000015894571,91.66666666666667
Styracaceae,Styrax argenteus,-92.490833,16.737222,14.333333174387613,96.66666666666667
Styracaceae,Styrax argenteus,-92.489722,16.739167,14.333333174387613,96.66666666666667
Styracaceae,Styrax argenteus,-90.42944,14.34111,22.583333333333332,152
Styracaceae,Styrax argenteus,-90.1792,15.7422,23.483333428700764,387.5
Styracaceae,Styrax argenteus,-84.07,9.94,20.825000127156574,271.6666666666667
Styracaceae,Styrax argenteus,-80.65277,8.42083,26.49999984105428,185.91666666666666
Styracaceae,Styrax argenteus,-89.55972,13.99416,23.64999993642171,134.83333333333334
Styracaceae,Styrax argenteus,-100.29,18.92,22.46666685740153,108.08333333333333
Styracaceae,Styrax argenteus,-100.466667,18.866667,19.59166669845581,97.16666666666667
Styracaceae,Styrax argenteus,-100.29,18.92,22.46666685740153,108.08333333333333
Styracaceae,Styrax argenteus,-87.85,14.58333,20.86666663487752,112.5
Styracaceae,Styrax argenteus,-89.4167,14.6667,20.991666952768963,115
Styracaceae,Styrax argenteus,-91.61805,15.38694,18.141666889190674,157.08333333333334
Styracaceae,Styrax argenteus,-92.675706,16.761403,15.15833306312561,90.58333333333333
Styracaceae,Styrax argenteus,-92.570281,15.550831,18.97500006357829,143.58333333333334
Styracaceae,Styrax argenteus,-86.98138,14.00666,23.141666889190674,68.66666666666667
Styracaceae,Styrax argenteus,-86.62138,14.01722,23.016666730244953,91.91666666666667
Styracaceae,Styrax argenteus,-87.02777,13.99583,22.5,77.33333333333333
Styracaceae,Styrax argenteus,-87.0125,13.94333,21.800000031789143,85.33333333333333
Styracaceae,Styrax argenteus,-82.61666,8.81666,17.37499984105428,261.8333333333333
Styracaceae,Styrax argenteus,-93.141944,16.723333,23.300000031789143,86.5
Styracaceae,Styrax argenteus,-104.28459,19.62672,16.949999968210857,98.83333333333333
Styracaceae,Styrax argenteus,-104.258333,19.758333,23.149999777475994,79.5
Styracaceae,Styrax argenteus,-100.37361,19.48889,17.125,75.33333333333333
Styracaceae,Styrax argenteus,-85.91666,13.05,18.53333314259847,141.75
Styracaceae,Styrax argenteus,-92.458333,16.841667,18.641666650772095,133.16666666666666
Styracaceae,Styrax argenteus,-91.891667,16.141667,19.84166669845581,130.16666666666666
Styracaceae,Styrax argenteus,-91.87,16.121667,19.899999777475994,137.91666666666666
Styracaceae,Styrax argenteus,-98.136667,17.331583,17.50833336512248,87.66666666666667
Styracaceae,Styrax argenteus,-83.96,9.65,17.675000031789143,202.33333333333334
Styracaceae,Styrax argenteus,-89.34638,14.56555,21.95833381017049,106.91666666666667
Styracaceae,Styrax argenteus,-87.35111,14.19888,21.12499984105428,82.25
Styracaceae,Styrax argenteus,-85.3,10.33,27.15833330154419,146.66666666666666
Styracaceae,Styrax argenteus,-107.641667,25.941667,18.59166677792867,99
Styracaceae,Styrax argenteus,-101.576449,19.414222,14.599999984105429,91.25
Styracaceae,Styrax argenteus,-99.172289,23.156758,22.483333110809326,99.08333333333333
Styracaceae,Styrax argenteus,-90.50305,14.59861,19.18333339691162,104.08333333333333
Styracaceae,Styrax argenteus,-90.47833,14.96694,20.858333428700764,151.91666666666666
Styracaceae,Styrax argenteus,-94.04,16.42,23.199999809265137,50.416666666666664
Styracaceae,Styrax argenteus,-93.38,16.78,23.141666412353516,85.58333333333333
Styracaceae,Styrax argenteus,-92.841667,16.075,25.21666685740153,127.83333333333333
Styracaceae,Styrax argenteus,-86.35,13.033333,20.633333206176758,96.41666666666667
Styracaceae,Styrax argenteus,-94.070858,16.685644,20.916666666666668,76
Styracaceae,Styrax argenteus,-94.07,16.68,20.87499984105428,75.16666666666667
Styracaceae,Styrax argenteus,-94.025,16.591667,23.1833332379659,55.833333333333336
Styracaceae,Styrax argenteus,-93.875411,16.329042,24.97499990463257,75.83333333333333
Styracaceae,Styrax argenteus,-93.85,16.19,28.141666889190674,129.5
Styracaceae,Styrax argenteus,-93.391111,16.8,23.34166669845581,87.75
Styracaceae,Styrax argenteus,-93.386667,16.793333,23.34166669845581,87.75
Styracaceae,Styrax argenteus,-92.691667,16.741667,13.691666603088379,94
Styracaceae,Styrax argenteus,-92.493331,16.896939,18.9416667620341,135
Styracaceae,Styrax argenteus,-92.49,16.89,17.9916668732961,125.75
Styracaceae,Styrax argenteus,-84.25,9.91,22.408332983652752,214.16666666666666
Styracaceae,Styrax argenteus,-93.341667,16.758333,22.858333269755047,84.33333333333333
Styracaceae,Styrax argenteus,-93.341433,16.751781,22.741666475931805,84.41666666666667
Styracaceae,Styrax argenteus,-93.34,16.75,22.90833330154419,83.75
Styracaceae,Styrax argenteus,-87.83944,14.60972,20.94166660308838,113.75
Styracaceae,Styrax argenteus,-100.476667,18.41,27.958333492279053,90
Styracaceae,Styrax argenteus,-100.475,18.425,27.84999990463257,90.75
Styracaceae,Styrax argenteus,-100.128333,17.641667,21.65833314259847,97.5
Styracaceae,Styrax argenteus,-98.705,17.026667,21.80833339691162,119.66666666666667
Styracaceae,Styrax argenteus,-84.23,9.94,22.52499993642171,198.41666666666666
Styracaceae,Styrax argenteus,-87.16694,14.085,21.550000031789143,86.91666666666667
Styracaceae,Styrax argenteus,-77.316667,8.15,19.633333206176758,190.58333333333334
Styracaceae,Styrax argenteus,-92.03,16.07,20.68333339691162,103.16666666666667
Styracaceae,Styrax argenteus,-86.383333,13.183333,21.900000254313152,89.41666666666667
Styracaceae,Styrax argenteus,-93.27,17.12,23.5583332379659,186.66666666666666
Styracaceae,Styrax argenteus,-92.106667,15.505,22.77500009536743,133.16666666666666
Styracaceae,Styrax argenteus,-87.37888,14.23277,20.950000127156574,82.41666666666667
Styracaceae,Styrax argenteus,-104.208333,19.591667,17.050000111262005,98.08333333333333
Styracaceae,Styrax argenteus,-99.41666,18.96666,16.041666507720947,97.91666666666667
Styracaceae,Styrax argenteus,-97.07,18.13,24.174999872843426,73.75
Styracaceae,Styrax argenteus,-86.333333,13.133333,22.016666889190674,88.75
Styracaceae,Styrax argenteus,-104.008333,19.008333,26.299999872843426,70.91666666666667
Styracaceae,Styrax argenteus,-93.39,16.79,23.55833339691162,86.83333333333333
Styracaceae,Styrax argenteus,-86.45,13.2,20.6916667620341,94.83333333333333
Styracaceae,Styrax argenteus,-84.82666,10.29972,20.90833346048991,208.66666666666666
Styracaceae,Styrax argenteus,-84.75,10.294444,20.391666730244953,286.8333333333333
Styracaceae,Styrax argenteus,-99.838889,17.586667,15.858333269755045,120.08333333333333
Styracaceae,Styrax argenteus,-94.49166,17.2625,25.050000190734863,297.25
Styracaceae,Styrax argenteus,-92.07,16.14,19.800000031789143,92.66666666666667
