familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Swietenia macrophylla,-102,23,17.06666660308838,30.666666666666668
Meliaceae,Swietenia macrophylla,-99.2284451,18.9278662,21.666666348775227,101.75
Meliaceae,Swietenia macrophylla,-92.5,16.5,20.4416667620341,111.58333333333333
Meliaceae,Swietenia macrophylla,-90.7887965,18.6131821,26.1833332379659,117.25
Meliaceae,Swietenia macrophylla,-90.666667,15.916667,26.041666507720947,295.25
Meliaceae,Swietenia macrophylla,-89.713056,20.484722,25.72499990463257,92.5
Meliaceae,Swietenia macrophylla,-89.118056,20.951667,25.78333330154419,80.58333333333333
Meliaceae,Swietenia macrophylla,-88.983333,16.733333,23.28333314259847,190.83333333333334
Meliaceae,Swietenia macrophylla,-88.809722,20.706944,25.741666793823242,93
Meliaceae,Swietenia macrophylla,-88.75,17.25,25.416666825612385,155.33333333333334
Meliaceae,Swietenia macrophylla,-88.684767,17.217668,25.37500015894572,160.25
Meliaceae,Swietenia macrophylla,-88.675228,20.541246,25.824999809265137,99.08333333333333
Meliaceae,Swietenia macrophylla,-88.588611,20.698056,25.81666628519694,101
Meliaceae,Swietenia macrophylla,-88.236111,20.731944,25.824999968210857,98.16666666666667
Meliaceae,Swietenia macrophylla,-87.936389,20.654722,25.74166663487752,93.5
Meliaceae,Swietenia macrophylla,-85.3,10.32,27.208333333333332,153.5
Meliaceae,Swietenia macrophylla,-85.25,10.5,27.266666571299236,168.83333333333334
Meliaceae,Swietenia macrophylla,-78.5,8.4833,26.633333206176758,184.75
Meliaceae,Swietenia macrophylla,-78.1869,-1.4628,18.10000006357829,196.5
Meliaceae,Swietenia macrophylla,-75.9698,8.51286,27.55833339691162,135.5
Meliaceae,Swietenia macrophylla,-74.177585,11.228266,28.133333206176758,59.833333333333336
Meliaceae,Swietenia macrophylla,-74.14,-9.1839,26.22499990463257,146.33333333333334
Meliaceae,Swietenia macrophylla,-74,-9,26.14999993642171,143.75
Meliaceae,Swietenia macrophylla,-70.25,-12,24.558333079020183,225.75
Meliaceae,Swietenia macrophylla,-70.081818,-12.529992,24.983333428700764,279.3333333333333
Meliaceae,Swietenia macrophylla,-65.5,-14,26.108333428700764,139.16666666666666
Meliaceae,Swietenia macrophylla,-64.435,-16.7261,25.208333333333332,250.41666666666666
Meliaceae,Swietenia macrophylla,-63.6,-17.58,24.050000031789143,117.5
Meliaceae,Swietenia macrophylla,-63.32,-15.05,25.699999809265137,112.33333333333333
Meliaceae,Swietenia macrophylla,-63.2,-17.74,24.233333110809326,103.83333333333333
Meliaceae,Swietenia macrophylla,-62.1,-14.5,25.63333336512248,111.25
Meliaceae,Swietenia macrophylla,-61.5,-17.5,25.733333269755047,82.66666666666667
Meliaceae,Swietenia macrophylla,-48.455556,-1.285,26.52500009536743,231
Meliaceae,Swietenia macrophylla,-88.6,15.69,26.083333174387615,217.41666666666666
Meliaceae,Swietenia macrophylla,-88.43,18.03,25.97500006357829,127.91666666666667
Meliaceae,Swietenia macrophylla,-70,-8,24.916666507720947,187.33333333333334
Meliaceae,Swietenia macrophylla,-100.64111,17.22278,27.49999984105428,80.66666666666667
Meliaceae,Swietenia macrophylla,-94.73,17.56,25.608333269755047,222.33333333333334
Meliaceae,Swietenia macrophylla,-94.411111,18.143889,26.233333110809326,239.66666666666666
Meliaceae,Swietenia macrophylla,-88.44,16.97,25.041666348775227,181.83333333333334
Meliaceae,Swietenia macrophylla,-88.49417,16.37417,25.741666793823242,212
Meliaceae,Swietenia macrophylla,-88.98333,16.23333,25.291666348775227,281.5
Meliaceae,Swietenia macrophylla,-84.37,13,25.24999984105428,207
Meliaceae,Swietenia macrophylla,-72.161944,11.266389,27.89999993642171,61.583333333333336
Meliaceae,Swietenia macrophylla,-77.160392,8.185954,25.40833346048991,182.66666666666666
Meliaceae,Swietenia macrophylla,-94.435278,18.137778,26.133333047231037,234.58333333333334
Meliaceae,Swietenia macrophylla,-90.725,18.608333,26.1916667620341,115.08333333333333
Meliaceae,Swietenia macrophylla,-48.455522,-1.284992,26.52500009536743,231
Meliaceae,Swietenia macrophylla,-97.8880323,20.3786779,22.09166653951009,160.08333333333334
Meliaceae,Swietenia macrophylla,-97.6778375,20.4384758,22.574999968210857,147.5
Meliaceae,Swietenia macrophylla,-74.85167,-9.00778,26.541666984558105,203.25
Meliaceae,Swietenia macrophylla,-96.816667,19.983333,22.933333079020183,169.5
Meliaceae,Swietenia macrophylla,-90.736389,18.618056,26.116666793823242,116.16666666666667
Meliaceae,Swietenia macrophylla,-90.725,18.608333,26.1916667620341,115.08333333333333
Meliaceae,Swietenia macrophylla,-90.3,18.628889,26.5,101.25
Meliaceae,Swietenia macrophylla,-90.2333,16.5667,26,226.75
Meliaceae,Swietenia macrophylla,-90.19,16.43,26.141666730244953,246
Meliaceae,Swietenia macrophylla,-88.591667,19.508333,25.825000127156574,94.41666666666667
Meliaceae,Swietenia macrophylla,-93.298889,17.819167,26.108333428700764,191.83333333333334
Meliaceae,Swietenia macrophylla,-92.843333,17.912778,26.62499984105428,168.5
Meliaceae,Swietenia macrophylla,-92.841667,17.975,26.583333333333332,167.16666666666666
Meliaceae,Swietenia macrophylla,-90.7972,18.6122,26.166666666666668,117.5
Meliaceae,Swietenia macrophylla,-90.725,18.608333,26.1916667620341,115.08333333333333
Meliaceae,Swietenia macrophylla,-85.12,10.46,27.22499990463257,164.41666666666666
Meliaceae,Swietenia macrophylla,-48.5048914,-1.4591669,26.60000006357829,236.08333333333334
Meliaceae,Swietenia macrophylla,-48.504444,-1.455833,26.59166685740153,232.91666666666666
Meliaceae,Swietenia macrophylla,-91.441667,17.458333,26.758333047231037,178.25
Meliaceae,Swietenia macrophylla,-90.736389,18.618056,26.116666793823242,116.16666666666667
Meliaceae,Swietenia macrophylla,-90.725,18.608333,26.1916667620341,115.08333333333333
Meliaceae,Swietenia macrophylla,-84.02,12.28,25.34166669845581,244.08333333333334
Meliaceae,Swietenia macrophylla,-79.55,8.96,26.96666685740153,164.91666666666666
Meliaceae,Swietenia macrophylla,-94.300556,17.9275,25.758333524068195,208.5
Meliaceae,Swietenia macrophylla,-91.791667,17.275,24.416666825612385,200.41666666666666
Meliaceae,Swietenia macrophylla,-91.745,17.208333,24.358333269755047,198.16666666666666
Meliaceae,Swietenia macrophylla,-90.3,18.628889,26.5,101.25
Meliaceae,Swietenia macrophylla,-85.128333,10.454167,27.27499993642171,160.33333333333334
Meliaceae,Swietenia macrophylla,-84.73,10.06,26.133333206176758,200.41666666666666
Meliaceae,Swietenia macrophylla,-96.898929999999993,20.079823,24.266666730244953,145.75
Meliaceae,Swietenia macrophylla,-96.170099,17.948017,25.675000190734863,259.1666666666667
Meliaceae,Swietenia macrophylla,-96.149444,18.110556,25.958333174387615,204.83333333333334
Meliaceae,Swietenia macrophylla,-92.925,17.975,26.766666571299236,167.75
