familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Symplocaceae,Symplocos costaricana,-89.24983712,15.8935828,24.891666571299236,279.4166666666667
Symplocaceae,Symplocos costaricana,-89.24571725,15.88829956,24.758333206176758,279.0833333333333
Symplocaceae,Symplocos costaricana,-89.23061105,15.88962039,25.883333047231037,277.9166666666667
Symplocaceae,Symplocos costaricana,-89.22923775,15.88301618,26.008333524068195,276.75
Symplocaceae,Symplocos costaricana,-88.32680527,14.34600326,19.608333269755047,127.5
Symplocaceae,Symplocos costaricana,-88.20473159,13.76894188,18.575000127156574,163.83333333333334
Symplocaceae,Symplocos costaricana,-88.1014129,13.92598877,22.93333339691162,158.66666666666666
Symplocaceae,Symplocos costaricana,-87.80964373,14.56854811,20.699999968210857,108.91666666666667
Symplocaceae,Symplocos costaricana,-87.08503888,14.03453934,18.083333412806194,112.83333333333333
Symplocaceae,Symplocos costaricana,-87.07401914,14.03779682,18.566666682561237,113.16666666666667
Symplocaceae,Symplocos costaricana,-86.95600731,13.91158059,20.87499984105428,100.66666666666667
Symplocaceae,Symplocos costaricana,-86.93977116,13.88116241,19.59166669845581,109
Symplocaceae,Symplocos costaricana,-86.29804412,13.85645959,19.88333336512248,121.08333333333333
Symplocaceae,Symplocos costaricana,-85.47206638,9.92699143,24.233333110809326,184.5
Symplocaceae,Symplocos costaricana,-85.36329065,10.475938,26.81666644414266,153.83333333333334
Symplocaceae,Symplocos costaricana,-85.35779748,10.46513461,26.675000031789143,150.25
Symplocaceae,Symplocos costaricana,-85.35779748,10.48674101,26.90833346048991,154.83333333333334
Symplocaceae,Symplocos costaricana,-85.34131799,10.475938,26.81666644414266,149.58333333333334
Symplocaceae,Symplocos costaricana,-85.33582483,10.44892882,27.016666889190674,150.41666666666666
Symplocaceae,Symplocos costaricana,-85.33033166,10.48674101,26.916666825612385,148
Symplocaceae,Symplocos costaricana,-84.17030148,9.71148162,16.083333174387615,191.83333333333334
Symplocaceae,Symplocos costaricana,-84.10867635,9.74777491,19.541666666666668,159.5
Symplocaceae,Symplocos costaricana,-83.98294109,9.78493022,16.916666666666668,212.16666666666666
Symplocaceae,Symplocos costaricana,-83.95078151,9.80692722,17.375,184.33333333333334
Symplocaceae,Symplocos costaricana,-83.72878639,9.57583302,9.516666730244955,199.83333333333334
Symplocaceae,Symplocos costaricana,-83.66014568,9.37184442,22.950000286102295,254.83333333333334
Symplocaceae,Symplocos costaricana,-83.66013093,9.37184442,22.950000286102295,254.83333333333334
Symplocaceae,Symplocos costaricana,-83.4211692,9.55416583,12.65833330154419,258.3333333333333
Symplocaceae,Symplocos costaricana,-83.26033832,9.25050522,21.59999990463257,243.91666666666666
Symplocaceae,Symplocos costaricana,-83.11355202,9.57583302,24.06666644414266,278.75
Symplocaceae,Symplocos costaricana,-83.06700978,9.10573847,18.10000006357829,282.5833333333333
Symplocaceae,Symplocos costaricana,-83.04021941,9.05666123,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-83.04013358,9.05640695,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-83.03918944,9.05589838,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-83.03918944,9.05683075,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-83.03910361,9.05615266,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-83.03901778,9.05666123,20.0583332379659,257.5833333333333
Symplocaceae,Symplocos costaricana,-82.84260649,8.9387383,19.333333333333332,245.5
Symplocaceae,Symplocos costaricana,-82.78173329,8.89356458,19.65000009536743,225.08333333333334
Symplocaceae,Symplocos costaricana,-82.7814758,8.89347978,19.65000009536743,225.08333333333334
Symplocaceae,Symplocos costaricana,-82.52398779,8.81634365,10.18333331743876,221.25
Symplocaceae,Symplocos costaricana,-82.44154973,8.76070101,20.425000031789143,213.25
Symplocaceae,Symplocos costaricana,-82.4327627,8.79839566,19.941666920979817,229.33333333333334
Symplocaceae,Symplocos costaricana,-81.79374932,8.48773782,21.608333269755047,237.16666666666666
Symplocaceae,Symplocos costaricana,-81.79306267,8.50607375,20.87499984105428,223.16666666666666
Symplocaceae,Symplocos costaricana,-81.78536475,8.4723431,21.71666669845581,236.5
