familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Symplocaceae,Symplocos panamensis,-82.25,8.78333,16.916666825612385,297.4166666666667
Symplocaceae,Symplocos panamensis,-79.75,9.333333,26.041666666666668,240
Symplocaceae,Symplocos panamensis,-82.96,8.8,20.983333269755047,239.91666666666666
Symplocaceae,Symplocos panamensis,-82.95,8.79,20.708333333333332,233.25
Symplocaceae,Symplocos panamensis,-80.105,8.637778,22.208333174387615,212.75
Symplocaceae,Symplocos panamensis,-77.783333,7.766667,24.208333333333332,263.9166666666667
Symplocaceae,Symplocos panamensis,-84.8,10.3,18.574999968210857,210.08333333333334
Symplocaceae,Symplocos panamensis,-84.8075,10.30861,18.28333330154419,196.58333333333334
Symplocaceae,Symplocos panamensis,-84.02,10.42,25.766666889190674,314.9166666666667
Symplocaceae,Symplocos panamensis,-84.88333,10.38333,20.166666666666668,252.66666666666666
Symplocaceae,Symplocos panamensis,-84.833333,10.333333,19.083333492279053,200.25
Symplocaceae,Symplocos panamensis,-84.83333,10.33333,19.083333492279053,200.25
Symplocaceae,Symplocos panamensis,-84.8333,10,26.93333339691162,153
Symplocaceae,Symplocos panamensis,-84.75,10.33333,18.43333371480306,275.9166666666667
Symplocaceae,Symplocos panamensis,-82.25,8.783333,16.916666825612385,297.4166666666667
Symplocaceae,Symplocos panamensis,-80.102665,8.507188,26.266666730244953,185.25
Symplocaceae,Symplocos panamensis,-79.758333,9.341667,25.616666793823242,226.83333333333334
Symplocaceae,Symplocos panamensis,-79.75,9.33,26.041666666666668,240
Symplocaceae,Symplocos panamensis,-79.75,9.3333,26.041666666666668,240
Symplocaceae,Symplocos panamensis,-79.75,9.333333,26.041666666666668,240
Symplocaceae,Symplocos panamensis,-82.25,8.75,20.491666793823242,244.83333333333334
Symplocaceae,Symplocos panamensis,-82.25,8.75,20.491666793823242,244.83333333333334
Symplocaceae,Symplocos panamensis,-81.794167,8.5125,19.391666889190674,218.16666666666666
Symplocaceae,Symplocos panamensis,-85.48639,10.92722,23.166666507720947,186.91666666666666
Symplocaceae,Symplocos panamensis,-85.429167,10.983333,22.15000009536743,261.5833333333333
Symplocaceae,Symplocos panamensis,-85.421667,11.033333,24.633333206176758,216.25
Symplocaceae,Symplocos panamensis,-85.41667,11.03333,24.633333206176758,216.25
Symplocaceae,Symplocos panamensis,-85.4,11.03,24.61666663487752,230.91666666666666
Symplocaceae,Symplocos panamensis,-84.85,10.41,21.3166667620341,276.5
Symplocaceae,Symplocos panamensis,-84.85,10.416667,22.174999872843426,281.6666666666667
Symplocaceae,Symplocos panamensis,-84.85,10.41667,22.174999872843426,281.6666666666667
Symplocaceae,Symplocos panamensis,-84.8,10.3,18.574999968210857,210.08333333333334
Symplocaceae,Symplocos panamensis,-84.783333,10.383333,21.741666475931805,303.5
Symplocaceae,Symplocos panamensis,-84.78,10.38,21.741666475931805,303.5
Symplocaceae,Symplocos panamensis,-84.726667,10.31,20.78333330154419,275.25
Symplocaceae,Symplocos panamensis,-84.7,10.33,21.266666571299236,298.25
Symplocaceae,Symplocos panamensis,-84.7,10.333333,21.266666571299236,298.25
