familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Apocynaceae,Tabernaemontana longipes,-84.39305,10.18583,17.333333015441895,210.16666666666666
Apocynaceae,Tabernaemontana longipes,-84.43861,10.21222,19.575000127156574,291.5833333333333
Apocynaceae,Tabernaemontana longipes,-84.43333,10.21666,18.75,270.3333333333333
Apocynaceae,Tabernaemontana longipes,-84.42833,10.30138,22.141666412353516,301.8333333333333
Apocynaceae,Tabernaemontana longipes,-84.25,10.27,20.50833336512248,318.8333333333333
Apocynaceae,Tabernaemontana longipes,-80.13333,8.6,24.050000190734863,195.33333333333334
Apocynaceae,Tabernaemontana longipes,-80.12777,8.625,22.749999682108562,215.25
Apocynaceae,Tabernaemontana longipes,-79.9106,8.5714,27.283333778381348,160.33333333333334
Apocynaceae,Tabernaemontana longipes,-84.42166,10.17805,18.824999968210857,227.08333333333334
Apocynaceae,Tabernaemontana longipes,-83.65333,9.37222,22.84166669845581,241.58333333333334
Apocynaceae,Tabernaemontana longipes,-80.13333,8.65,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-72.8667,3.8811,26.583333174387615,229.33333333333334
Apocynaceae,Tabernaemontana longipes,-78.033333,9.066667,24.674999872843426,227.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.8,10.3,18.574999968210857,210.08333333333334
Apocynaceae,Tabernaemontana longipes,-82.95,8.79,20.708333333333332,233.25
Apocynaceae,Tabernaemontana longipes,-80.11666,8.61666,23.72499990463257,198.58333333333334
Apocynaceae,Tabernaemontana longipes,-80.1,8.61666,23.224999745686848,189.33333333333334
Apocynaceae,Tabernaemontana longipes,-77.88333,8.96666,24.799999872843426,230.91666666666666
Apocynaceae,Tabernaemontana longipes,-77.283333,8.116667,22.5666667620341,185.58333333333334
Apocynaceae,Tabernaemontana longipes,-82.183333,8.8,23.80833339691162,288.75
Apocynaceae,Tabernaemontana longipes,-80.106944,8.6375,22.208333174387615,212.75
Apocynaceae,Tabernaemontana longipes,-79.41638,9.16722,23.450000286102295,210.91666666666666
Apocynaceae,Tabernaemontana longipes,-78,8.75,26.55833339691162,193.33333333333334
Apocynaceae,Tabernaemontana longipes,-77.88333,8.96666,24.799999872843426,230.91666666666666
Apocynaceae,Tabernaemontana longipes,-80.111667,8.635,22.55833371480306,223.5
Apocynaceae,Tabernaemontana longipes,-79.375,9.233889,23.300000031789143,239.16666666666666
Apocynaceae,Tabernaemontana longipes,-75.711451,6.423856,23.208333333333332,206.33333333333334
Apocynaceae,Tabernaemontana longipes,-84.39,9.7,24.608333269755047,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-78.75,9.1,26.383333206176758,172.25
Apocynaceae,Tabernaemontana longipes,-84.80972,10.30666,19.075000286102295,188.25
Apocynaceae,Tabernaemontana longipes,-80.13333,8.64583,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-75.05824,7.319762,25.233333110809326,297.5833333333333
Apocynaceae,Tabernaemontana longipes,-83.76,9.81,18.666666666666668,249.83333333333334
Apocynaceae,Tabernaemontana longipes,-80.12666,8.62333,22.749999682108562,215.25
Apocynaceae,Tabernaemontana longipes,-80.1,8.63333,22.958333492279053,216.16666666666666
Apocynaceae,Tabernaemontana longipes,-83.51,8.7,26.125000317891438,247.33333333333334
Apocynaceae,Tabernaemontana longipes,-80.133333,8.645833,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-80.13333,8.64583,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-80.116667,8.622222,22.366666475931805,204.58333333333334
Apocynaceae,Tabernaemontana longipes,-79.26583,9.30083,23.891666730244953,228.25
Apocynaceae,Tabernaemontana longipes,-77.26666,6.08333,23.125,259.5833333333333
Apocynaceae,Tabernaemontana longipes,-83.516667,8.7,25.516666571299236,242.16666666666666
Apocynaceae,Tabernaemontana longipes,-81.12583,8.52277,22.53333346048991,296
Apocynaceae,Tabernaemontana longipes,-80.13333,8.63333,22.075000445048016,210.58333333333334
Apocynaceae,Tabernaemontana longipes,-80.125,8.63333,22.05833371480306,211.66666666666666
Apocynaceae,Tabernaemontana longipes,-80.10833,8.625,22.975000222524006,195.75
Apocynaceae,Tabernaemontana longipes,-80.10666,8.625,22.975000222524006,195.75
Apocynaceae,Tabernaemontana longipes,-79.666667,9.483333,24.574999968210857,235.66666666666666
Apocynaceae,Tabernaemontana longipes,-84.810556,10.3075,19.075000286102295,188.25
Apocynaceae,Tabernaemontana longipes,-81.823333,8.540556,18.533332983652752,249.33333333333334
Apocynaceae,Tabernaemontana longipes,-81.81333,8.53166,19.19166660308838,255.08333333333334
Apocynaceae,Tabernaemontana longipes,-79.37472,9.22805,22.450000127156574,222.83333333333334
Apocynaceae,Tabernaemontana longipes,-84.39,9.7,24.608333269755047,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-82.283333,8.716667,22.15833330154419,220.16666666666666
Apocynaceae,Tabernaemontana longipes,-81.82083,8.53222,20.03333330154419,251.25
Apocynaceae,Tabernaemontana longipes,-81.81972,8.53527,18.533332983652752,249.33333333333334
Apocynaceae,Tabernaemontana longipes,-81.81972,8.53722,18.533332983652752,249.33333333333334
Apocynaceae,Tabernaemontana longipes,-81.783333,8.45,21.791666825612385,224.41666666666666
Apocynaceae,Tabernaemontana longipes,-84.8,10.3,18.574999968210857,210.08333333333334
Apocynaceae,Tabernaemontana longipes,-82.833333,8.566667,25.30833339691162,288.4166666666667
Apocynaceae,Tabernaemontana longipes,-82.25,8.73333,19.37499984105428,278.1666666666667
Apocynaceae,Tabernaemontana longipes,-81.81666,8.55,17.258333524068195,265
Apocynaceae,Tabernaemontana longipes,-81.81305,8.53583,17.925000190734863,266.75
Apocynaceae,Tabernaemontana longipes,-81.12416,8.51222,21.47499990463257,285.4166666666667
Apocynaceae,Tabernaemontana longipes,-80.6,8.68333,23.09166685740153,273.5
Apocynaceae,Tabernaemontana longipes,-80.13333,8.63333,22.075000445048016,210.58333333333334
Apocynaceae,Tabernaemontana longipes,-78.423611,8.933611,25.300000031789143,205.33333333333334
Apocynaceae,Tabernaemontana longipes,-82.25,8.733333,19.37499984105428,278.1666666666667
Apocynaceae,Tabernaemontana longipes,-83.78,10.5,26.03333346048991,305.9166666666667
Apocynaceae,Tabernaemontana longipes,-81.81722,8.53527,18.533332983652752,249.33333333333334
Apocynaceae,Tabernaemontana longipes,-79.13333,9.28888,25.774999777475994,219.41666666666666
Apocynaceae,Tabernaemontana longipes,-82.25,8.71666,18.633333206176758,288.6666666666667
Apocynaceae,Tabernaemontana longipes,-82.21666,8.68333,19.3166667620341,228.16666666666666
Apocynaceae,Tabernaemontana longipes,-80.13333,8.64583,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana longipes,-80.11,8.621667,22.533333619435627,198.41666666666666
Apocynaceae,Tabernaemontana longipes,-76.847585,7.602115,27.458333333333332,241.16666666666666
Apocynaceae,Tabernaemontana longipes,-84.63,10.24,21.77499993642171,292.25
Apocynaceae,Tabernaemontana longipes,-84.52,10.19,20.483333587646484,298.5833333333333
Apocynaceae,Tabernaemontana longipes,-83.86666,11.6,25.958333174387615,286.25
Apocynaceae,Tabernaemontana longipes,-83.86666,11.61666,25.766666889190674,293.6666666666667
Apocynaceae,Tabernaemontana longipes,-83.71,10.2,25.133333683013916,327.9166666666667
Apocynaceae,Tabernaemontana longipes,-82.2,8.75,20.39999993642171,303.9166666666667
Apocynaceae,Tabernaemontana longipes,-78.58333,9,25.99166663487752,205.83333333333334
Apocynaceae,Tabernaemontana longipes,-78.5,9,26.40833346048991,165.66666666666666
Apocynaceae,Tabernaemontana longipes,-85.3,10.783333,20.299999872843426,198.08333333333334
Apocynaceae,Tabernaemontana longipes,-84.58,10.15,18.71666653951009,211.08333333333334
Apocynaceae,Tabernaemontana longipes,-84.48,10.16,20.425000031789143,286.4166666666667
Apocynaceae,Tabernaemontana longipes,-80.13333,8.6,24.050000190734863,195.33333333333334
Apocynaceae,Tabernaemontana longipes,-76.847585,7.602115,27.458333333333332,241.16666666666666
Apocynaceae,Tabernaemontana longipes,-84.83,10.34,18.625,217.25
Apocynaceae,Tabernaemontana longipes,-84.81527,10.30833,19.075000286102295,188.25
Apocynaceae,Tabernaemontana longipes,-84.80472,10.27916,20.99999984105428,191.08333333333334
Apocynaceae,Tabernaemontana longipes,-84.802222,10.28,20.99999984105428,191.08333333333334
Apocynaceae,Tabernaemontana longipes,-84.6,9.76,25.28333330154419,191.66666666666666
Apocynaceae,Tabernaemontana longipes,-83.8,9.78,18.59166653951009,260.4166666666667
Apocynaceae,Tabernaemontana longipes,-83.8,9.78333,18.59166653951009,260.4166666666667
Apocynaceae,Tabernaemontana longipes,-82.983333,9.033333,18.28333330154419,262.9166666666667
Apocynaceae,Tabernaemontana longipes,-76.847585,7.602115,27.458333333333332,241.16666666666666
Apocynaceae,Tabernaemontana longipes,-76.8236,7.66306,27.40000009536743,248.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.839722,10.3375,19.050000190734863,203
Apocynaceae,Tabernaemontana longipes,-84.806667,10.3175,17.65833314259847,214.41666666666666
Apocynaceae,Tabernaemontana longipes,-84.804167,10.309444,18.28333330154419,196.58333333333334
Apocynaceae,Tabernaemontana longipes,-84.80416,10.30944,18.28333330154419,196.58333333333334
Apocynaceae,Tabernaemontana longipes,-84.8,10.28,20.63333336512248,212.66666666666666
Apocynaceae,Tabernaemontana longipes,-84.8,10.283333,20.63333336512248,212.66666666666666
Apocynaceae,Tabernaemontana longipes,-84.711667,10.316111,21.825000127156574,299.4166666666667
Apocynaceae,Tabernaemontana longipes,-84.55833,9.75,23.641666571299236,235
Apocynaceae,Tabernaemontana longipes,-84.55,9.75,23.43333339691162,225.91666666666666
Apocynaceae,Tabernaemontana longipes,-82.25,8.75,20.491666793823242,244.83333333333334
Apocynaceae,Tabernaemontana longipes,-82.19,8.778611,21.72500006357829,297.25
Apocynaceae,Tabernaemontana longipes,-81.116667,8.5,20.266666571299236,265.4166666666667
Apocynaceae,Tabernaemontana longipes,-77.37916,4.94055,NA,NA
Apocynaceae,Tabernaemontana longipes,-84.83333,10.33333,19.083333492279053,200.25
Apocynaceae,Tabernaemontana longipes,-84.6,9.78,26.016666889190674,178.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.6,9.78333,26.016666889190674,178.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.56,10.3,24.25000015894572,291.75
Apocynaceae,Tabernaemontana longipes,-82.25,8.75,20.491666793823242,244.83333333333334
Apocynaceae,Tabernaemontana longipes,-82.186111,8.779167,21.72500006357829,297.25
Apocynaceae,Tabernaemontana longipes,-82.1667,8.8333,23.74166663487752,273.3333333333333
Apocynaceae,Tabernaemontana longipes,-81.81888,8.53583,18.533332983652752,249.33333333333334
Apocynaceae,Tabernaemontana longipes,-81.8,8.55,18.524999618530273,275.0833333333333
Apocynaceae,Tabernaemontana longipes,-81.796667,8.525,18.366666952768963,234.41666666666666
Apocynaceae,Tabernaemontana longipes,-81.792778,8.519445,18.366666952768963,234.41666666666666
Apocynaceae,Tabernaemontana longipes,-81.769167,8.484444,18.59999990463257,226.25
Apocynaceae,Tabernaemontana longipes,-81.767222,8.488333,18.59999990463257,226.25
Apocynaceae,Tabernaemontana longipes,-79.5,9.25,25.166666825612385,217.25
Apocynaceae,Tabernaemontana longipes,-79.1,9.45,26.56666660308838,199.58333333333334
Apocynaceae,Tabernaemontana longipes,-85.45,10.9333,18.575000127156574,250
Apocynaceae,Tabernaemontana longipes,-85.45,10.933333,18.575000127156574,250
Apocynaceae,Tabernaemontana longipes,-85.316667,10.8,18.574999968210857,192.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.733334,10.316667,19.608333269755047,265.5
Apocynaceae,Tabernaemontana longipes,-84.73333,10.31666,20.78333330154419,275.25
Apocynaceae,Tabernaemontana longipes,-83.966667,9.8,16.441666682561237,164.91666666666666
Apocynaceae,Tabernaemontana longipes,-82.254444,8.755278,20.016666730244953,228.41666666666666
Apocynaceae,Tabernaemontana longipes,-80.11666,8.61666,23.72499990463257,198.58333333333334
Apocynaceae,Tabernaemontana longipes,-79.683333,9.375,25.041666666666668,254.25
Apocynaceae,Tabernaemontana longipes,-79.666667,9.383333,24.55833339691162,254.41666666666666
Apocynaceae,Tabernaemontana longipes,-76.7,7.86666,27.25000015894572,205.25
Apocynaceae,Tabernaemontana longipes,-76.7,7.86667,27.25000015894572,200.25
Apocynaceae,Tabernaemontana longipes,-76.672222,7.779444,27.225000222524006,220.58333333333334
Apocynaceae,Tabernaemontana longipes,-76.436941,7.353338,24.366666475931805,269.75
Apocynaceae,Tabernaemontana longipes,-84.188889,9.726389,18.858333428700764,220.33333333333334
Apocynaceae,Tabernaemontana longipes,-83.583336,8.466667,26.05833339691162,305.3333333333333
Apocynaceae,Tabernaemontana longipes,-83.56,10.45,26.133333683013916,298.75
Apocynaceae,Tabernaemontana longipes,-83.55,8.45,25.458333333333332,291.5833333333333
Apocynaceae,Tabernaemontana longipes,-82.25,8.75,20.491666793823242,244.83333333333334
Apocynaceae,Tabernaemontana longipes,-81.833333,8.583333,14.78333330154419,280.5833333333333
Apocynaceae,Tabernaemontana longipes,-81.787778,8.523889,18.474999745686848,247.16666666666666
Apocynaceae,Tabernaemontana longipes,-84.85,10.366667,19.34166669845581,239.83333333333334
Apocynaceae,Tabernaemontana longipes,-84.783333,10.283333,18.59166653951009,234.16666666666666
Apocynaceae,Tabernaemontana longipes,-84.78,10.28,18.59166653951009,234.16666666666666
Apocynaceae,Tabernaemontana longipes,-83.58,8.46,25.71666653951009,305.5833333333333
Apocynaceae,Tabernaemontana longipes,-83.141667,9.788611,18.391666730244953,342.25
Apocynaceae,Tabernaemontana longipes,-82.969444,9.408333,23.72499990463257,281.5833333333333
Apocynaceae,Tabernaemontana longipes,-82.96,9.4,22.608333428700764,270.9166666666667
Apocynaceae,Tabernaemontana longipes,-77.116667,8.383333,26.25000015894572,153.58333333333334
Apocynaceae,Tabernaemontana longipes,-77.11666,8.38333,26.424999872843426,149.83333333333334
Apocynaceae,Tabernaemontana longipes,-75.3,7.08333,21.608333428700764,236.58333333333334
Apocynaceae,Tabernaemontana longipes,-75.3,7.083333,21.608333428700764,236.58333333333334
Apocynaceae,Tabernaemontana longipes,-75.183333,7.2,22.208333333333332,284.25
Apocynaceae,Tabernaemontana longipes,-75.083333,6.916667,20.675000190734863,242.58333333333334
Apocynaceae,Tabernaemontana longipes,-75.0833,6.91667,20.675000190734863,242.58333333333334
Apocynaceae,Tabernaemontana longipes,-85.493889,10.927222,23.96666685740153,182
Apocynaceae,Tabernaemontana longipes,-85.49,10.92,22.791666507720947,179.83333333333334
Apocynaceae,Tabernaemontana longipes,-85.470834,10.929167,20.908333619435627,180.91666666666666
Apocynaceae,Tabernaemontana longipes,-84.800006,10.3,18.699999968210857,200.83333333333334
Apocynaceae,Tabernaemontana longipes,-84.8,10.3,18.574999968210857,210.08333333333334
Apocynaceae,Tabernaemontana longipes,-84.536111,9.777778,25.52500009536743,201.75
Apocynaceae,Tabernaemontana longipes,-84.53,9.77,25.616666952768963,203
Apocynaceae,Tabernaemontana longipes,-77.151046,8.383457,25.90833330154419,161.08333333333334
Apocynaceae,Tabernaemontana longipes,-77.116667,8.383333,26.25000015894572,153.58333333333334
Apocynaceae,Tabernaemontana longipes,-74.819344,2.665464,22.65833346048991,137.33333333333334
Apocynaceae,Tabernaemontana longipes,-74.80194,2.46667,22.458333333333332,150
Apocynaceae,Tabernaemontana longipes,-85.408334,11.033333,24.641666571299236,230.25
Apocynaceae,Tabernaemontana longipes,-85.408333,11.033333,24.475000222524006,232.25
Apocynaceae,Tabernaemontana longipes,-85.302778,10.783889,19.541666507720947,199.75
Apocynaceae,Tabernaemontana longipes,-84.833889,10.311111,19.949999809265137,194.75
Apocynaceae,Tabernaemontana longipes,-84.83,10.31,19.600000222524006,203.5
