familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Apocynaceae,Tabernaemontana robinsonii,-79.9106,8.5714,27.283333778381348,160.33333333333334
Apocynaceae,Tabernaemontana robinsonii,-82.383333,9.245,25.324999968210857,239.41666666666666
Apocynaceae,Tabernaemontana robinsonii,-82,9.05,NA,NA
Apocynaceae,Tabernaemontana robinsonii,-80.63055,8.625,22.416666666666668,208.66666666666666
Apocynaceae,Tabernaemontana robinsonii,-80.126389,8.627778,22.075000445048016,210.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-82.233333,9,25.958333651224773,245.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-80.13333,8.64583,22.299999713897705,232.91666666666666
Apocynaceae,Tabernaemontana robinsonii,-80.10833,8.62333,22.975000222524006,195.75
Apocynaceae,Tabernaemontana robinsonii,-80.970556,8.844167,NA,NA
Apocynaceae,Tabernaemontana robinsonii,-79.91638,8.6875,24.22499990463257,202.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.9,8.683333,26.21666669845581,173.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.375,9.23388,23.300000031789143,239.16666666666666
Apocynaceae,Tabernaemontana robinsonii,-79.375,9.233889,23.300000031789143,239.16666666666666
Apocynaceae,Tabernaemontana robinsonii,-77.85,8.85,25.86666663487752,197.75
Apocynaceae,Tabernaemontana robinsonii,-85.5,11.03,25.299999872843426,168.75
Apocynaceae,Tabernaemontana robinsonii,-80.1375,8.63666,22.458333492279053,222.83333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.915,8.68916,24.22499990463257,202.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.61305,9.19861,26.53333330154419,218.33333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.4125,9.16611,23.425000190734863,220.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-80.111667,8.635,22.55833371480306,223.5
Apocynaceae,Tabernaemontana robinsonii,-80.105,8.63666,22.208333174387615,212.75
Apocynaceae,Tabernaemontana robinsonii,-79.9,8.683333,26.21666669845581,173.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.915278,8.691111,24.22499990463257,202.58333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.75,9.35,25.84166653951009,217.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.40833,9.17777,23.46666669845581,231.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.4,9.21666,22.5666667620341,246.83333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.375,9.23388,23.300000031789143,239.16666666666666
Apocynaceae,Tabernaemontana robinsonii,-79.924167,8.681389,23.233333110809326,194.91666666666666
Apocynaceae,Tabernaemontana robinsonii,-79.75,9.35,25.84166653951009,217.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.748889,9.291389,26.133333524068195,236.33333333333334
Apocynaceae,Tabernaemontana robinsonii,-79.375,9.23388,23.300000031789143,239.16666666666666
Apocynaceae,Tabernaemontana robinsonii,-78.93,9.2575,25.675000031789143,190.08333333333334
Apocynaceae,Tabernaemontana robinsonii,-84.01,10.43,25.949999809265137,317.4166666666667
Apocynaceae,Tabernaemontana robinsonii,-80.113333,8.625,22.533333619435627,198.41666666666666
Apocynaceae,Tabernaemontana robinsonii,-79.916667,8.683333,23.233333110809326,194.91666666666666
Apocynaceae,Tabernaemontana robinsonii,-81.15722,8.53972,22.108333428700764,287.6666666666667
Apocynaceae,Tabernaemontana robinsonii,-81.129444,8.523889,22.53333346048991,296
Apocynaceae,Tabernaemontana robinsonii,-79.92194,8.68722,22.799999713897705,215.25
