familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Anacardiaceae,Tapirira mexicana,-84.0736,10.2972,22.34166685740153,291.25
Anacardiaceae,Tapirira mexicana,-92.833333,15.683333,17.183333079020183,119.16666666666667
Anacardiaceae,Tapirira mexicana,-92.833333,15.733333,21.99999984105428,216
Anacardiaceae,Tapirira mexicana,-92.283333,17.116667,22.13333336512248,187
Anacardiaceae,Tapirira mexicana,-92.033333,16.783333,20.12499984105428,158.66666666666666
Anacardiaceae,Tapirira mexicana,-91.616667,16.933333,22.416666825612385,170.25
Anacardiaceae,Tapirira mexicana,-93.2,16.866667,22.09166653951009,98.33333333333333
Anacardiaceae,Tapirira mexicana,-91.416667,16.666667,20.833333492279053,206.41666666666666
Anacardiaceae,Tapirira mexicana,-94.033333,16.461111,23.233333587646484,52.833333333333336
Anacardiaceae,Tapirira mexicana,-93.586111,16.183333,20.766666571299236,93.33333333333333
Anacardiaceae,Tapirira mexicana,-92.091667,15.698611,24.28333346048991,121.41666666666667
Anacardiaceae,Tapirira mexicana,-92.091667,15.698611,24.28333346048991,121.41666666666667
Anacardiaceae,Tapirira mexicana,-91.758333,16.1,19.81666644414266,187.83333333333334
Anacardiaceae,Tapirira mexicana,-91.930556,16.139167,19.90000009536743,117.75
Anacardiaceae,Tapirira mexicana,-91.758333,16.1,19.81666644414266,187.83333333333334
Anacardiaceae,Tapirira mexicana,-91.758333,16.1,19.81666644414266,187.83333333333334
Anacardiaceae,Tapirira mexicana,-92.833333,15.733333,21.99999984105428,216
Anacardiaceae,Tapirira mexicana,-92.793056000000007,15.684722,19.40833330154419,165.5
Anacardiaceae,Tapirira mexicana,-92.283333,17.15,21.391666412353516,187.16666666666666
Anacardiaceae,Tapirira mexicana,-91.616667,16.933333,22.416666825612385,170.25
Anacardiaceae,Tapirira mexicana,-89.508333,20.175,25.475000222524006,91.75
Anacardiaceae,Tapirira mexicana,-94.666667,17.25,25.21666653951009,286
Anacardiaceae,Tapirira mexicana,-85.49,10.96,22.81666644414266,169.91666666666666
Anacardiaceae,Tapirira mexicana,-85.31,10.78,20.791666666666668,180.5
Anacardiaceae,Tapirira mexicana,-84.8,10.3,18.574999968210857,210.08333333333334
Anacardiaceae,Tapirira mexicana,-84.71,10.31,21.825000127156574,299.4166666666667
Anacardiaceae,Tapirira mexicana,-84.8166667,10.3,20.18333339691162,191.5
Anacardiaceae,Tapirira mexicana,-84.81,10.3,19.1916667620341,181.5
Anacardiaceae,Tapirira mexicana,-82.96,9.4,22.608333428700764,270.9166666666667
Anacardiaceae,Tapirira mexicana,-85.47083,10.92916,20.908333619435627,180.91666666666666
Anacardiaceae,Tapirira mexicana,-85.3,10.75,22.483333428700764,171.58333333333334
Anacardiaceae,Tapirira mexicana,-85.01,10.59,22.15833330154419,219.66666666666666
Anacardiaceae,Tapirira mexicana,-84.82,10.27,22.37500015894572,205.25
Anacardiaceae,Tapirira mexicana,-84.11,9.71,15.574999888737997,197.41666666666666
Anacardiaceae,Tapirira mexicana,-84.07,10.29,21.866666952768963,289.5
Anacardiaceae,Tapirira mexicana,-84.27,9.9,22.03333330154419,169.66666666666666
Anacardiaceae,Tapirira mexicana,-84.36666,9.81833,21.891666412353516,208.08333333333334
Anacardiaceae,Tapirira mexicana,-85.47555,10.88916,23.724999745686848,157.58333333333334
Anacardiaceae,Tapirira mexicana,-85.4755556,10.8891666,23.724999745686848,157.58333333333334
Anacardiaceae,Tapirira mexicana,-92.33972,17.16778,22.11666663487752,194.91666666666666
Anacardiaceae,Tapirira mexicana,-95.108333,18.608333,25.06666644414266,204.75
Anacardiaceae,Tapirira mexicana,-94.675,16.925,24.849999745686848,192.33333333333334
Anacardiaceae,Tapirira mexicana,-94.058333,16.708333,20.983333428700764,79.33333333333333
Anacardiaceae,Tapirira mexicana,-97.958333,20.308333,18.991666793823242,239
Anacardiaceae,Tapirira mexicana,-93.535278,16.938889,21.508333206176758,102.83333333333333
Anacardiaceae,Tapirira mexicana,-93.512694,16.944361,22.8083332379659,113.75
Anacardiaceae,Tapirira mexicana,-84.070556,9.933611,20.825000127156574,271.6666666666667
Anacardiaceae,Tapirira mexicana,-95.257778,18.573056,22.833333174387615,201.16666666666666
Anacardiaceae,Tapirira mexicana,-94.723889,16.760278,23.708333333333332,110.16666666666667
Anacardiaceae,Tapirira mexicana,-95.351389,18.458611,24.00833336512248,188.5
Anacardiaceae,Tapirira mexicana,-95.257778,18.573056,22.833333174387615,201.16666666666666
Anacardiaceae,Tapirira mexicana,-89.533333,20.133333,25.416666666666668,91.33333333333333
Anacardiaceae,Tapirira mexicana,-95.257778,18.573056,22.833333174387615,201.16666666666666
Anacardiaceae,Tapirira mexicana,-92.159722,14.935556,26.27499993642171,315.75
Anacardiaceae,Tapirira mexicana,-95.116667,18.583333,23.291666666666668,189.83333333333334
Anacardiaceae,Tapirira mexicana,-94.695,16.956111,24.891666571299236,202.08333333333334
Anacardiaceae,Tapirira mexicana,-94.6,16.883333,23.766666571299236,139.08333333333334
Anacardiaceae,Tapirira mexicana,-94.184167,16.710278,21.15000009536743,77.66666666666667
Anacardiaceae,Tapirira mexicana,-94.133333,16.725,22.116666793823242,74.91666666666667
Anacardiaceae,Tapirira mexicana,-92.0375,16.785,20.40833346048991,159.58333333333334
Anacardiaceae,Tapirira mexicana,-97.934722,20.290556,18.141666809717815,195
Anacardiaceae,Tapirira mexicana,-94.695,16.956111,24.891666571299236,202.08333333333334
Anacardiaceae,Tapirira mexicana,-85.316667,10.8,18.574999968210857,192.91666666666666
Anacardiaceae,Tapirira mexicana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Anacardiaceae,Tapirira mexicana,-88.75,17.25,25.416666825612385,155.33333333333334
Anacardiaceae,Tapirira mexicana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Anacardiaceae,Tapirira mexicana,-95.1,18.42,24.733333428700764,161.91666666666666
Anacardiaceae,Tapirira mexicana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Anacardiaceae,Tapirira mexicana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Anacardiaceae,Tapirira mexicana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Anacardiaceae,Tapirira mexicana,-96.9,19.13,20.4416667620341,125.25
Anacardiaceae,Tapirira mexicana,-97.88,21.1,23.633333524068195,111.75
Anacardiaceae,Tapirira mexicana,-97.88,21.27,20.75833336512248,187.16666666666666
Anacardiaceae,Tapirira mexicana,-96.68,19.77,19.5583332379659,150.41666666666666
Anacardiaceae,Tapirira mexicana,-96.6769,19.7242,19.558333158493042,145
Anacardiaceae,Tapirira mexicana,-84.8333,10,26.93333339691162,153
Anacardiaceae,Tapirira mexicana,-92.0435,17.4872222,26.15000009536743,241.33333333333334
Anacardiaceae,Tapirira mexicana,-92.0435,17.4872222,26.15000009536743,241.33333333333334
Anacardiaceae,Tapirira mexicana,-85.9102778,12.9986111,19.350000381469727,138.25
Anacardiaceae,Tapirira mexicana,-86.3,13.2,19.383333206176758,109.41666666666667
Anacardiaceae,Tapirira mexicana,-86.3,13.21666,19.65000009536743,109.5
Anacardiaceae,Tapirira mexicana,-85.91138,12.99888,19.350000381469727,138.25
Anacardiaceae,Tapirira mexicana,-86.55,13.41666,21.675000031789143,94.33333333333333
Anacardiaceae,Tapirira mexicana,-86.3,13.2,19.383333206176758,109.41666666666667
Anacardiaceae,Tapirira mexicana,-86.3,13.21666,19.65000009536743,109.5
Anacardiaceae,Tapirira mexicana,-86.18805,13.98388,18.099999984105427,136.41666666666666
Anacardiaceae,Tapirira mexicana,-97.913611,20.471389,21.22499990463257,190.91666666666666
Anacardiaceae,Tapirira mexicana,-94.587222,17.249167,25.300000031789143,306.5833333333333
Anacardiaceae,Tapirira mexicana,-97.472778,20.061667,21.59166669845581,172.16666666666666
Anacardiaceae,Tapirira mexicana,-97.472778,20.061667,21.59166669845581,172.16666666666666
Anacardiaceae,Tapirira mexicana,-95.158333,18.608333,22.71666685740153,197.33333333333334
Anacardiaceae,Tapirira mexicana,-95.158333,18.608333,22.71666685740153,197.33333333333334
Anacardiaceae,Tapirira mexicana,-95.058333,18.575,25.75000015894572,206.5
Anacardiaceae,Tapirira mexicana,-97.95,20.3,18.47499990463257,209.58333333333334
Anacardiaceae,Tapirira mexicana,-91.625,16.941667,22,174.83333333333334
Anacardiaceae,Tapirira mexicana,-93.713056,16.243333,21.916666507720947,76.66666666666667
Anacardiaceae,Tapirira mexicana,-94.691667,16.908333,25.03333330154419,191.25
Anacardiaceae,Tapirira mexicana,-91.625,16.941667,22,174.83333333333334
Anacardiaceae,Tapirira mexicana,-95.15,18.6,22.758333206176758,196.08333333333334
Anacardiaceae,Tapirira mexicana,-95.15,18.6,22.758333206176758,196.08333333333334
Anacardiaceae,Tapirira mexicana,-95.05,18.567,25.71666669845581,207
Anacardiaceae,Tapirira mexicana,-94.675,16.916667,24.849999745686848,192.33333333333334
Anacardiaceae,Tapirira mexicana,-91.617,16.933,22.416666825612385,170.25
Anacardiaceae,Tapirira mexicana,-94.683,16.9,25.108333587646484,191.91666666666666
Anacardiaceae,Tapirira mexicana,-91.617,16.933,22.416666825612385,170.25
