familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Combretaceae,Terminalia amazonia,-89.167,16.367,22.050000031789143,247.25
Combretaceae,Terminalia amazonia,-89.019,16.628,22.800000349680584,206.25
Combretaceae,Terminalia amazonia,-90.97023533,16.8846508,25.43333355585734,249
Combretaceae,Terminalia amazonia,-77.826,-1.919,22.5583332379659,311.1666666666667
Combretaceae,Terminalia amazonia,-77.208,-2.262,24.949999650319416,279.3333333333333
Combretaceae,Terminalia amazonia,-91.313667,16.182778,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-91.312972,16.182889,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-91.312361,16.182139,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-88.49053518,19.30650375,25.89999993642171,96.91666666666667
Combretaceae,Terminalia amazonia,-88.48990717,19.30642775,25.89999993642171,96.91666666666667
Combretaceae,Terminalia amazonia,-88.48961116,19.30639376,25.89999993642171,96.91666666666667
Combretaceae,Terminalia amazonia,-88.48927815,19.30636876,25.89999993642171,96.91666666666667
Combretaceae,Terminalia amazonia,-88.48809612,19.30612577,25.89999993642171,96.91666666666667
Combretaceae,Terminalia amazonia,-71.7865,6.8556,25.52499993642171,221.75
Combretaceae,Terminalia amazonia,-71.7078,6.7338,25.675000031789143,216.66666666666666
Combretaceae,Terminalia amazonia,-93.575134,16.955052,20.90833346048991,104.5
Combretaceae,Terminalia amazonia,-93.555802,17.406691,24.80833339691162,264.3333333333333
Combretaceae,Terminalia amazonia,-91.314,16.183,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-91.313,16.183,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-91.312,16.182,24.208333492279053,191.16666666666666
Combretaceae,Terminalia amazonia,-82.935278,8.858222,22.508333524068195,254
Combretaceae,Terminalia amazonia,-102,23,17.06666660308838,30.666666666666668
Combretaceae,Terminalia amazonia,-74.375627,-9.163761,26.425000349680584,151.5
Combretaceae,Terminalia amazonia,-96.6667,19.3333,23.87499984105428,93.66666666666667
Combretaceae,Terminalia amazonia,-79.57444,8.98083,26.983333428700764,165.25
Combretaceae,Terminalia amazonia,-58.68,6.38,NA,NA
Combretaceae,Terminalia amazonia,-87.457778,15.711111,25.766666412353516,159.58333333333334
Combretaceae,Terminalia amazonia,-75,-4,26.225000222524006,209
Combretaceae,Terminalia amazonia,-79.85305,9.16722,26.450000127156574,187.08333333333334
Combretaceae,Terminalia amazonia,-79.81944,9.16055,26.508333206176758,209
Combretaceae,Terminalia amazonia,-90.11472,16.78805,25.758333524068195,188
Combretaceae,Terminalia amazonia,-76.6,-5.83333,25.208333492279053,161.5
Combretaceae,Terminalia amazonia,-69,-9.33333,24.641666412353516,171.33333333333334
Combretaceae,Terminalia amazonia,-69,-9.33,24.641666412353516,171.33333333333334
Combretaceae,Terminalia amazonia,-79.85555,9.15694,25.983333269755047,199.5
Combretaceae,Terminalia amazonia,-76.8333,-7,24.333333333333332,117.66666666666667
Combretaceae,Terminalia amazonia,-76.75,-7.183333,26.416666825612385,130.16666666666666
Combretaceae,Terminalia amazonia,-88.60666,17.37555,25.616666475931805,159.25
Combretaceae,Terminalia amazonia,-89.05,17.01666,24.55833371480306,159.66666666666666
Combretaceae,Terminalia amazonia,-88.9167,16.8333,23.041666507720947,177.41666666666666
Combretaceae,Terminalia amazonia,-79.583333,8.965278,27.049999872843426,208.75
Combretaceae,Terminalia amazonia,-88.43527,16.95194,24.96666653951009,182.16666666666666
Combretaceae,Terminalia amazonia,-83.65333,9.37222,22.84166669845581,241.58333333333334
Combretaceae,Terminalia amazonia,-93.091111,16.793056,23.53333330154419,95
Combretaceae,Terminalia amazonia,-92.633889,15.241669,27.47500006357829,176
Combretaceae,Terminalia amazonia,-92.152222,15.045278,23.84166685740153,260.25
Combretaceae,Terminalia amazonia,-82.15,9.31666,25.87500015894572,224.66666666666666
Combretaceae,Terminalia amazonia,-73,8,15.366666555404663,113.25
Combretaceae,Terminalia amazonia,-91.5833,15.6667,14.516666571299234,120.5
Combretaceae,Terminalia amazonia,-88.51666,16.55,26.041666666666668,196.66666666666666
Combretaceae,Terminalia amazonia,-83.31,9.13,24.858333428700764,271.5
Combretaceae,Terminalia amazonia,-89.06555,15.29805,26.34999990463257,177.41666666666666
Combretaceae,Terminalia amazonia,-79.36666,9.23333,22.916666825612385,217.41666666666666
Combretaceae,Terminalia amazonia,-84.13333,13.11666,25.28333346048991,204.16666666666666
Combretaceae,Terminalia amazonia,-93.597222,16.9,23.341666380564373,103.5
Combretaceae,Terminalia amazonia,-58.25,6.48,26.333333333333332,176.16666666666666
Combretaceae,Terminalia amazonia,-93.429167,16.926111,22.758333524068195,112
Combretaceae,Terminalia amazonia,-88.61666,17.08333,24.78333330154419,168.66666666666666
Combretaceae,Terminalia amazonia,-58.41,6.75,26.674999872843426,181.25
Combretaceae,Terminalia amazonia,-88.68333,17.26666,25.49166663487752,159.41666666666666
Combretaceae,Terminalia amazonia,-96.141667,18.091667,25.949999809265137,213.91666666666666
Combretaceae,Terminalia amazonia,-96.141667,18.091667,25.949999809265137,213.91666666666666
Combretaceae,Terminalia amazonia,-74.56666,-11.35,22.36666663487752,146.83333333333334
Combretaceae,Terminalia amazonia,-95.096667,18.333333,24.025000254313152,150.5
Combretaceae,Terminalia amazonia,-95.091667,18.341667,24.033333619435627,151.08333333333334
Combretaceae,Terminalia amazonia,-95.088215,18.334624,23.97500006357829,150.08333333333334
Combretaceae,Terminalia amazonia,-95.075,18.341667,23.69166660308838,154.08333333333334
Combretaceae,Terminalia amazonia,-95.025,18.408333,24.52499993642171,155.83333333333334
Combretaceae,Terminalia amazonia,-95.025,18.525,25.81666660308838,207.41666666666666
Combretaceae,Terminalia amazonia,-95.008333,17.925,25.5583332379659,139.66666666666666
