familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Tetrathylacium johansenii,-76.96,7.65333,27.333333333333332,257.3333333333333
Salicaceae,Tetrathylacium johansenii,-76.9594,7.64639,27.31666660308838,261.25
Salicaceae,Tetrathylacium johansenii,-84.37,9.68,25.09166685740153,242.33333333333334
Salicaceae,Tetrathylacium johansenii,-83.46,8.98,25.208333174387615,240.33333333333334
Salicaceae,Tetrathylacium johansenii,-74.822667,7.589967,28.59999990463257,307.3333333333333
Salicaceae,Tetrathylacium johansenii,-74.822533,7.590317,28.59999990463257,307.3333333333333
Salicaceae,Tetrathylacium johansenii,-74.788033,7.853533,28.358333110809326,308.5833333333333
Salicaceae,Tetrathylacium johansenii,-74.822333,7.5911,28.59999990463257,307.3333333333333
Salicaceae,Tetrathylacium johansenii,-73.91379,7.009629,28.108333587646484,224.75
Salicaceae,Tetrathylacium johansenii,-76.71666,8.51666,26.63333336512248,169.91666666666666
Salicaceae,Tetrathylacium johansenii,-83.466667,8.983333,25.424999872843426,289.4166666666667
Salicaceae,Tetrathylacium johansenii,-84.373611,9.68,25.09166685740153,242.33333333333334
Salicaceae,Tetrathylacium johansenii,-83.466667,8.983333,25.424999872843426,289.4166666666667
Salicaceae,Tetrathylacium johansenii,-83.694414,9.113141,26.266666571299236,271.5833333333333
Salicaceae,Tetrathylacium johansenii,-84.395833,9.680556,25.09166685740153,219.08333333333334
Salicaceae,Tetrathylacium johansenii,-84.157427,9.413921,25.866666316986084,242.66666666666666
Salicaceae,Tetrathylacium johansenii,-84.394444,9.680556,25.09166685740153,219.08333333333334
Salicaceae,Tetrathylacium johansenii,-84.154444,9.404444,25.874999682108562,196.33333333333334
Salicaceae,Tetrathylacium johansenii,-84.137667,9.384639,26.100000222524006,178.83333333333334
Salicaceae,Tetrathylacium johansenii,-84.142972,9.385306,26.433333079020183,186.33333333333334
Salicaceae,Tetrathylacium johansenii,-84.08,9.532222,24.833333333333332,265.5833333333333
