familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Tetrathylacium macrophyllum,-77.826,-1.919,22.5583332379659,311.1666666666667
Salicaceae,Tetrathylacium macrophyllum,-77.208,-2.262,24.949999650319416,279.3333333333333
Salicaceae,Tetrathylacium macrophyllum,-74.815583,7.943833,28.258333206176758,295.9166666666667
Salicaceae,Tetrathylacium macrophyllum,-74.814583,7.943361,28.258333206176758,295.9166666666667
Salicaceae,Tetrathylacium macrophyllum,-74.807306,7.912361,28.31666644414266,287.25
Salicaceae,Tetrathylacium macrophyllum,-74.802083,7.900556,28.324999809265137,299.8333333333333
Salicaceae,Tetrathylacium macrophyllum,-74.79675,7.930417,28.24999984105428,295.25
Salicaceae,Tetrathylacium macrophyllum,-76.0833,-5.9,27.200000286102295,174.66666666666666
Salicaceae,Tetrathylacium macrophyllum,-74.375627,-9.163761,26.425000349680584,151.5
Salicaceae,Tetrathylacium macrophyllum,-76.16666,0.9,25.091667016347248,328.6666666666667
Salicaceae,Tetrathylacium macrophyllum,-76,3,7.324999968210856,136.16666666666666
Salicaceae,Tetrathylacium macrophyllum,-74.27075,5.59865,22.708333492279053,191.75
Salicaceae,Tetrathylacium macrophyllum,-72.5,5.5,23.425000031789143,218.41666666666666
Salicaceae,Tetrathylacium macrophyllum,-73.25,7,20.516666730244953,132.83333333333334
Salicaceae,Tetrathylacium macrophyllum,-83.6575,9.34666,23.199999968210857,248.75
Salicaceae,Tetrathylacium macrophyllum,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Tetrathylacium macrophyllum,-70.528734,-3.733797,26.658333619435627,246.41666666666666
Salicaceae,Tetrathylacium macrophyllum,-69.925712,-4.405352,26.49166663487752,213.41666666666666
Salicaceae,Tetrathylacium macrophyllum,-69.504833,-4.696879,26.18333355585734,214.25
Salicaceae,Tetrathylacium macrophyllum,-63,-5,26.766666730244953,200.91666666666666
Salicaceae,Tetrathylacium macrophyllum,-83.27805,8.77333,26.041666666666668,292.4166666666667
Salicaceae,Tetrathylacium macrophyllum,-75.566667,-9.083333,26.083333492279053,407.8333333333333
Salicaceae,Tetrathylacium macrophyllum,-75.8333,-9.5,19.383333524068195,68.58333333333333
Salicaceae,Tetrathylacium macrophyllum,-83.16,8.63,NA,NA
Salicaceae,Tetrathylacium macrophyllum,-74.25,6.91666,27.9333332379659,258.75
Salicaceae,Tetrathylacium macrophyllum,-76.618,-0.415,25.02500009536743,277.75
Salicaceae,Tetrathylacium macrophyllum,-79.40111,9.225,22.641666412353516,233.91666666666666
Salicaceae,Tetrathylacium macrophyllum,-76.8333,-7,24.333333333333332,117.66666666666667
