familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Tetrorchidium rotundatum,-95.023931,18.437131,24.300000031789143,161.25
Euphorbiaceae,Tetrorchidium rotundatum,-95.076389,18.588611,25.03333330154419,198.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.126944,16.757222,24.74166663487752,223.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-91.02694,16.67833,25.06666660308838,237.75
Euphorbiaceae,Tetrorchidium rotundatum,-94.383333,17.325,25.266666571299236,306.4166666666667
Euphorbiaceae,Tetrorchidium rotundatum,-91.12694,16.75722,24.74166663487752,223.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.28669,16.86125,23.62500015894572,105.58333333333333
Euphorbiaceae,Tetrorchidium rotundatum,-95.017,18.583,NA,NA
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.383,17.333,25.22499990463257,303.4166666666667
Euphorbiaceae,Tetrorchidium rotundatum,-91.31583,17.01111,25.475000222524006,216.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-91.24861,16.93472,24.291666507720947,204.41666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.10167,16.78667,24.62499984105428,226.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-85.617,11.533,21.416666825612385,182.25
Euphorbiaceae,Tetrorchidium rotundatum,-94.357778,17.144444,24.208333333333332,215.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.315833,17.011111,25.475000222524006,216.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-92.633889,15.241667,27.47500006357829,176
Euphorbiaceae,Tetrorchidium rotundatum,-95.108889,18.416389,24.841666380564373,162.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.113611,18.419444,24.766666730244953,164.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.083333,18.45,24.600000222524006,165.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.068889,18.459167,24.3083332379659,165.75
Euphorbiaceae,Tetrorchidium rotundatum,-95.3,18.683333,25.266666571299236,189.41666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.083333,18.45,24.600000222524006,165.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-94.09834,17.908614,26.074999809265137,200.83333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.083333,18.45,24.600000222524006,165.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.08241342,18.44982691,24.600000222524006,165.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.05973,18.48984607,24.46666653951009,175.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.016667,18.45,24.416666348775227,164.5
Euphorbiaceae,Tetrorchidium rotundatum,-95.071944,18.619444,25.633333206176758,206.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.666667,17.25,25.21666653951009,286
Euphorbiaceae,Tetrorchidium rotundatum,-94.617222,17.254722,25.291666666666668,302.8333333333333
Euphorbiaceae,Tetrorchidium rotundatum,-95.073889,18.584722,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-95.05,18.591667,NA,NA
Euphorbiaceae,Tetrorchidium rotundatum,-91.698333,17.33,26.141666571299236,204.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.064444,18.559722,25.666666666666668,206.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.088055,18.589167,24.958333333333332,200.91666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.075,18.575,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.073889,18.584722,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-95.07,18.585,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-95.061944,18.453056,24.52499993642171,166.16666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.075,18.575,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.073889,18.584722,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-91.128333,16.806667,24.674999872843426,228.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-91.008333,16.762222,25.52499993642171,253.5
Euphorbiaceae,Tetrorchidium rotundatum,-95.073889,18.584722,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-91.27327365,16.9314278,24.475000222524006,206.91666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.008333,16.762222,25.52499993642171,253.5
Euphorbiaceae,Tetrorchidium rotundatum,-94.391667,17.325,25.22500006357829,305.8333333333333
Euphorbiaceae,Tetrorchidium rotundatum,-94.383333,17.325,25.266666571299236,306.4166666666667
Euphorbiaceae,Tetrorchidium rotundatum,-94.375,17.283333,25.40000009536743,312.5833333333333
Euphorbiaceae,Tetrorchidium rotundatum,-95.076389,18.588611,25.03333330154419,198.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.300555,16.7925,23.516666730244953,176.25
Euphorbiaceae,Tetrorchidium rotundatum,-90.976944,16.868333,25.49166663487752,251.91666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-94.028889,17.53,25.6916667620341,229.41666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.248611,16.934722,24.291666507720947,204.41666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.101667,16.786667,24.62499984105428,226.08333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-91.026944,16.678333,25.06666660308838,237.75
Euphorbiaceae,Tetrorchidium rotundatum,-91.083,16.733,24.858333428700764,232.5
Euphorbiaceae,Tetrorchidium rotundatum,-95.1,18.483,23.43333339691162,173.83333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.07776,18.46575,24.333332856496174,166.25
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.35333,17.15361,24.34166669845581,226.75
Euphorbiaceae,Tetrorchidium rotundatum,-94.583,16.917,24.791666507720947,195.16666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-91.29741625,16.94076028,24.358333428700764,201.83333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.375,17.283,25.40000009536743,312.5833333333333
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.35778,17.14444,24.208333333333332,215.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-94.35333,17.15361,24.34166669845581,226.75
Euphorbiaceae,Tetrorchidium rotundatum,-95.28669,16.86125,23.62500015894572,105.58333333333333
Euphorbiaceae,Tetrorchidium rotundatum,-92.908,17.504,25.59166685740153,323
Euphorbiaceae,Tetrorchidium rotundatum,-87.46246,15.735218,26.408333619435627,194.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-84.8978,12.8614,24.808332920074463,191.83333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.083,18.45,24.600000222524006,165.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-83.883333,14.383333,24.5583332379659,228
Euphorbiaceae,Tetrorchidium rotundatum,-83.8833,14.38,24.5583332379659,228
Euphorbiaceae,Tetrorchidium rotundatum,-94.6,17.266667,25.208333174387615,301.75
Euphorbiaceae,Tetrorchidium rotundatum,-95.066667,18.5,24.09999990463257,174.33333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.05,18.59166,NA,NA
Euphorbiaceae,Tetrorchidium rotundatum,-95.05,18.5917,NA,NA
Euphorbiaceae,Tetrorchidium rotundatum,-91.421944,17.118056,25.266666730244953,201.66666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-95.07,18.585,25.3166667620341,203
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.06666,18.56666,25.666666666666668,206.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-94.58333,16.91666,24.375,175.16666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-85.636111,11.55,23.458333492279053,165
Euphorbiaceae,Tetrorchidium rotundatum,-95.067,18.567,25.316666920979817,203.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-95.06666,18.56666,25.666666666666668,206.58333333333334
Euphorbiaceae,Tetrorchidium rotundatum,-85.616667,11.533333,21.416666825612385,182.25
Euphorbiaceae,Tetrorchidium rotundatum,-85.075,10.675,23.59999990463257,234.91666666666666
Euphorbiaceae,Tetrorchidium rotundatum,-94.383333,17.316667,25.266666571299236,306.4166666666667
