familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Theobroma angustifolium,-102,23,17.06666660308838,30.666666666666668
Malvaceae,Theobroma angustifolium,-85.3,10.933333,24.875,252.58333333333334
Malvaceae,Theobroma angustifolium,-84.609167,10.027778,25.516667048136394,186.66666666666666
Malvaceae,Theobroma angustifolium,-84.6,9.766667,25.916666825612385,203.83333333333334
Malvaceae,Theobroma angustifolium,-84.533333,9.766667,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-84.533333,9.772222,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-79,9.25,26.40000009536743,209.83333333333334
Malvaceae,Theobroma angustifolium,-84.5,10.5,26.18333339691162,277.0833333333333
Malvaceae,Theobroma angustifolium,-92.3,14.85,27.59999990463257,179.91666666666666
Malvaceae,Theobroma angustifolium,-83.56,8.66,25.14999993642171,267.3333333333333
Malvaceae,Theobroma angustifolium,-84.57,9.78,25.050000031789143,224.83333333333334
Malvaceae,Theobroma angustifolium,-84.6,9.76,25.28333330154419,191.66666666666666
Malvaceae,Theobroma angustifolium,-84.53,9.76,25.36666663487752,212.5
Malvaceae,Theobroma angustifolium,-84.33,9.7,24.81666660308838,245.08333333333334
Malvaceae,Theobroma angustifolium,-85.33,9.85,26.77500009536743,170.5
Malvaceae,Theobroma angustifolium,-83.73,10.64,26.06666660308838,304.9166666666667
Malvaceae,Theobroma angustifolium,-102,23,17.06666660308838,30.666666666666668
Malvaceae,Theobroma angustifolium,-102,23,17.06666660308838,30.666666666666668
Malvaceae,Theobroma angustifolium,-84.5,10.5,26.18333339691162,277.0833333333333
Malvaceae,Theobroma angustifolium,-85.3,10.933333,24.875,252.58333333333334
Malvaceae,Theobroma angustifolium,-83.683333,8.677778,26.0666667620341,266.5
Malvaceae,Theobroma angustifolium,-83.583338,8.466667,26.05833339691162,305.3333333333333
Malvaceae,Theobroma angustifolium,-83.583335,8.466667,26.05833339691162,305.3333333333333
Malvaceae,Theobroma angustifolium,-83.566667,8.666667,24.883333524068195,267.8333333333333
Malvaceae,Theobroma angustifolium,-84.573611,9.783333,25.050000031789143,224.83333333333334
Malvaceae,Theobroma angustifolium,-84.6,9.766667,25.916666825612385,203.83333333333334
Malvaceae,Theobroma angustifolium,-84.533333,9.772222,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-84.166667,9.4,26.324999650319416,204.08333333333334
Malvaceae,Theobroma angustifolium,-83.022222,9.675,25.64999993642171,256.5833333333333
Malvaceae,Theobroma angustifolium,-83.498889,8.605278,26.02500009536743,245.5
Malvaceae,Theobroma angustifolium,-84.533333,9.766667,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-85.334722,9.856111,26.641666412353516,173.91666666666666
Malvaceae,Theobroma angustifolium,-84.373611,9.68,25.09166685740153,242.33333333333334
Malvaceae,Theobroma angustifolium,-83.466667,8.641667,26.44166660308838,235.83333333333334
Malvaceae,Theobroma angustifolium,-83.415066,8.537059,25.608333587646484,250.41666666666666
Malvaceae,Theobroma angustifolium,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Malvaceae,Theobroma angustifolium,-85.061358,9.883366,25.40000009536743,178.66666666666666
Malvaceae,Theobroma angustifolium,-85.4,10.013889,24.041666825612385,191.91666666666666
Malvaceae,Theobroma angustifolium,-85.053057,9.86957,25.11666663487752,195.5
Malvaceae,Theobroma angustifolium,-83.501389,9.023611,23.491666793823242,259.5
Malvaceae,Theobroma angustifolium,-84.608056,9.771944,26.291666507720947,184.66666666666666
Malvaceae,Theobroma angustifolium,-83.334126,8.515895,26.333333492279053,244.66666666666666
Malvaceae,Theobroma angustifolium,-84.604472,9.7715,26.291666507720947,184.66666666666666
Malvaceae,Theobroma angustifolium,-83.466667,8.736111,25.508333206176758,274.5833333333333
Malvaceae,Theobroma angustifolium,-83.46,8.63,26.22499990463257,239.66666666666666
Malvaceae,Theobroma angustifolium,-83.216667,8.683333,25.69166644414266,249.16666666666666
Malvaceae,Theobroma angustifolium,-83.2167,8.68333,25.69166644414266,249.16666666666666
Malvaceae,Theobroma angustifolium,-81.55,7.76,NA,NA
Malvaceae,Theobroma angustifolium,-84.609167,10.027778,25.516667048136394,186.66666666666666
Malvaceae,Theobroma angustifolium,-89.25,13.67222,22.583333333333332,157.66666666666666
Malvaceae,Theobroma angustifolium,-89.72416,13.71888,25.75,146.33333333333334
Malvaceae,Theobroma angustifolium,-84.97027,10.4,24.116666475931805,183.58333333333334
Malvaceae,Theobroma angustifolium,-83.45,8.96,26.30833339691162,261.1666666666667
Malvaceae,Theobroma angustifolium,-83.25,8.79,26.416666507720947,288.3333333333333
Malvaceae,Theobroma angustifolium,-83.65,9.89,23.074999968210857,283.0833333333333
Malvaceae,Theobroma angustifolium,-85.18,10.8,24.183333079020183,239.58333333333334
Malvaceae,Theobroma angustifolium,-83.19,9.6,23.43333339691162,266.75
Malvaceae,Theobroma angustifolium,-84.6,10.02,24.833333333333332,197.16666666666666
Malvaceae,Theobroma angustifolium,-85.3,10.93,24.875,252.58333333333334
Malvaceae,Theobroma angustifolium,-83.69,8.67,25.741666475931805,263.0833333333333
Malvaceae,Theobroma angustifolium,-83.55,8.45,25.458333333333332,291.5833333333333
Malvaceae,Theobroma angustifolium,-84.53,9.77,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-83.02,9.67,25.64999993642171,256.5833333333333
Malvaceae,Theobroma angustifolium,-83.48,8.6,25.583333492279053,226.08333333333334
Malvaceae,Theobroma angustifolium,-84.37,9.68,25.09166685740153,242.33333333333334
Malvaceae,Theobroma angustifolium,-82.88,9.62,26.108333587646484,258.25
Malvaceae,Theobroma angustifolium,-83.415,8.5369444,25.608333587646484,250.41666666666666
Malvaceae,Theobroma angustifolium,-81.78944,7.28805,25.791666507720947,281.5833333333333
Malvaceae,Theobroma angustifolium,-83.85666,10.19777,24.716667016347248,306.1666666666667
Malvaceae,Theobroma angustifolium,-83.44166,9.99027,24.375,286.5
Malvaceae,Theobroma angustifolium,-85.0530556,9.8694445,25.11666663487752,195.5
Malvaceae,Theobroma angustifolium,-84.5,10.45,26.125000317891438,280.75
Malvaceae,Theobroma angustifolium,-84.61,10.04,25.43333355585734,183.66666666666666
Malvaceae,Theobroma angustifolium,-85.3,10.93,24.875,252.58333333333334
Malvaceae,Theobroma angustifolium,-83.68,8.67,25.791666666666668,252.33333333333334
Malvaceae,Theobroma angustifolium,-84.57,9.78,25.050000031789143,224.83333333333334
Malvaceae,Theobroma angustifolium,-84.6,9.76,25.28333330154419,191.66666666666666
Malvaceae,Theobroma angustifolium,-84.14,9.38,26.433333079020183,190.83333333333334
Malvaceae,Theobroma angustifolium,-83.48,8.6,25.583333492279053,226.08333333333334
Malvaceae,Theobroma angustifolium,-84.53,9.76,25.36666663487752,212.5
Malvaceae,Theobroma angustifolium,-85.33,9.85,26.77500009536743,170.5
Malvaceae,Theobroma angustifolium,-84.37,9.68,25.09166685740153,242.33333333333334
Malvaceae,Theobroma angustifolium,-83.21,8.68,25.22499990463257,247.66666666666666
Malvaceae,Theobroma angustifolium,-83.46,8.64,26.424999872843426,252.16666666666666
Malvaceae,Theobroma angustifolium,-82.88,9.62,26.108333587646484,258.25
Malvaceae,Theobroma angustifolium,-102.532886,23.950465,15.700000127156576,30.583333333333332
Malvaceae,Theobroma angustifolium,-96.75,17.5,15.358333349227905,77.75
Malvaceae,Theobroma angustifolium,-90.5,15,17.608333428700764,128.08333333333334
Malvaceae,Theobroma angustifolium,-88.75,13.5833,24.199999968210857,167.58333333333334
Malvaceae,Theobroma angustifolium,-85.4786,10.9314,21.75,181.41666666666666
Malvaceae,Theobroma angustifolium,-85.3703,11.0389,24.708333174387615,237.91666666666666
Malvaceae,Theobroma angustifolium,-85,12.5,23.55833355585734,166.66666666666666
Malvaceae,Theobroma angustifolium,-84.9917,10.7022,21.883333524068195,282.25
Malvaceae,Theobroma angustifolium,-84.5461,9.7781,25.616666952768963,198.5
Malvaceae,Theobroma angustifolium,-84.1431,9.4408,26.433333079020183,265.3333333333333
Malvaceae,Theobroma angustifolium,-84.0169,9.4944,22.299999872843426,242.66666666666666
Malvaceae,Theobroma angustifolium,-83.5503,8.5061,25.69166660308838,230.25
Malvaceae,Theobroma angustifolium,-83.5411,8.6994,24.80833339691162,263.1666666666667
Malvaceae,Theobroma angustifolium,-83.3611,8.9975,22.05833355585734,245.58333333333334
Malvaceae,Theobroma angustifolium,-83.2583,8.6747,25.78333330154419,290.75
Malvaceae,Theobroma angustifolium,-82.4394,8.6981,21.96666685740153,230.5
Malvaceae,Theobroma angustifolium,-80.8467,8.4936,21.13333336512248,230.33333333333334
Malvaceae,Theobroma angustifolium,-79.3553,9.2578,22.833333333333332,233.25
Malvaceae,Theobroma angustifolium,-86.90333,12.50611,27.366666475931805,132.5
Malvaceae,Theobroma angustifolium,-83.38,10.1,26.233333428700764,285.0833333333333
Malvaceae,Theobroma angustifolium,-84.6092,10.0278,25.516667048136394,186.66666666666666
Malvaceae,Theobroma angustifolium,-85.3,10.9333,24.875,252.58333333333334
Malvaceae,Theobroma angustifolium,-84.6,9.7667,25.916666825612385,203.83333333333334
Malvaceae,Theobroma angustifolium,-84.5333,9.7722,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-79,9.25,26.40000009536743,209.83333333333334
Malvaceae,Theobroma angustifolium,-84.5333,9.7667,25.616666952768963,203
Malvaceae,Theobroma angustifolium,-83.3111,8.4083,25.19166644414266,273.1666666666667
Malvaceae,Theobroma angustifolium,-83.21667,8.68333,25.69166644414266,249.16666666666666
Malvaceae,Theobroma angustifolium,-86.88333,12.43333,27.299999872843426,151.25
