familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapindaceae,Thouinidium decandrum,-105.07624286,19.5394258,25.49166663487752,73.75
Sapindaceae,Thouinidium decandrum,-105.07249279,19.54359262,25.47499990463257,75.66666666666667
Sapindaceae,Thouinidium decandrum,-105.07174273,19.53176018,25.46666653951009,74.25
Sapindaceae,Thouinidium decandrum,-105.04740908,19.51084425,25.358333269755047,76.83333333333333
Sapindaceae,Thouinidium decandrum,-105.03890884,19.50092775,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.0388809,19.51553806,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.03849185,19.50551154,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.03849184,19.50284466,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.03810288,19.5148441,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.03807489,19.51651102,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.03799185,19.50709446,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.03749185,19.5105113,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.03735283,19.50559454,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.03651977,19.49642797,25.233333428700764,79.33333333333333
Sapindaceae,Thouinidium decandrum,-105.03599182,19.51251122,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-104.97829616,19.43004231,25.325000127156574,81.91666666666667
Sapindaceae,Thouinidium decandrum,-104.95798985,19.46892955,25.15833330154419,88.83333333333333
Sapindaceae,Thouinidium decandrum,-104.95298972,19.46484676,25.21666653951009,87.58333333333333
Sapindaceae,Thouinidium decandrum,-104.9476566,19.46676369,25.34166653951009,87
Sapindaceae,Thouinidium decandrum,-106.443357,23.299457,24.875,66
Sapindaceae,Thouinidium decandrum,-106.441984,23.300916,24.791666666666668,66.33333333333333
Sapindaceae,Thouinidium decandrum,-106.910491,24.017518,25.22500006357829,59.083333333333336
Sapindaceae,Thouinidium decandrum,-106.43776,23.300377,24.883333206176758,66.5
Sapindaceae,Thouinidium decandrum,-106.676292,23.653861,24.24999984105428,65.25
Sapindaceae,Thouinidium decandrum,-106.443,23.299,24.875,66
Sapindaceae,Thouinidium decandrum,-106.44119,23.299395,24.924999713897705,66.33333333333333
Sapindaceae,Thouinidium decandrum,-93.591765,16.298628,23.65000009536743,82.58333333333333
Sapindaceae,Thouinidium decandrum,-106.615477,23.657995,24.02500009536743,72.33333333333333
Sapindaceae,Thouinidium decandrum,-105.076,19.539,25.49166663487752,73.75
Sapindaceae,Thouinidium decandrum,-105.072,19.531,25.46666653951009,74.25
Sapindaceae,Thouinidium decandrum,-105.072,19.543,25.47499990463257,75.66666666666667
Sapindaceae,Thouinidium decandrum,-105.047,19.51,25.358333269755047,76.83333333333333
Sapindaceae,Thouinidium decandrum,-105.039,19.5,25.233333428700764,79.33333333333333
Sapindaceae,Thouinidium decandrum,-105.039,19.515,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.038,19.502,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.038,19.505,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.038,19.506,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.038,19.514,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.038,19.516,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.037,19.505,25.27499993642171,79
Sapindaceae,Thouinidium decandrum,-105.037,19.51,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-105.036,19.496,25.233333428700764,79.33333333333333
Sapindaceae,Thouinidium decandrum,-105.036,19.512,25.375,77.66666666666667
Sapindaceae,Thouinidium decandrum,-104.978,19.429,25.325000127156574,81.91666666666667
Sapindaceae,Thouinidium decandrum,-104.958,19.468,25.15833330154419,88.83333333333333
Sapindaceae,Thouinidium decandrum,-104.953,19.464,25.21666653951009,87.58333333333333
Sapindaceae,Thouinidium decandrum,-104.947,19.466,25.3083332379659,87
Sapindaceae,Thouinidium decandrum,-102,23,17.06666660308838,30.666666666666668
Sapindaceae,Thouinidium decandrum,-95.9325,16.527778,23.241666793823242,60.25
Sapindaceae,Thouinidium decandrum,-89.25,13.66666,22.09166669845581,160
Sapindaceae,Thouinidium decandrum,-85.683333,11.05,NA,NA
Sapindaceae,Thouinidium decandrum,-85.658333,11.541667,25.55833339691162,141.16666666666666
Sapindaceae,Thouinidium decandrum,-85.3,10.32,27.208333333333332,153.5
Sapindaceae,Thouinidium decandrum,-85.95,11.93333,26.81666660308838,125.16666666666667
Sapindaceae,Thouinidium decandrum,-96.561944,19.258333,24.6833332379659,91.75
