familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Burseraceae,Trattinnickia aspera,-76.004167,1.242778,25.266666889190674,331
Burseraceae,Trattinnickia aspera,-83.525,8.7,25.516666571299236,242.16666666666666
Burseraceae,Trattinnickia aspera,-73.23333,-3.5,26.166666825612385,244.83333333333334
Burseraceae,Trattinnickia aspera,-75.13333,6.78333,23.208333492279053,213.33333333333334
Burseraceae,Trattinnickia aspera,-76.958679,3.985277,26.3166667620341,523.1666666666666
Burseraceae,Trattinnickia aspera,-76.958679,3.985277,26.3166667620341,523.1666666666666
Burseraceae,Trattinnickia aspera,-79.84805,9.15472,26.041666507720947,184.16666666666666
Burseraceae,Trattinnickia aspera,-79.85,9.15,26.358333428700764,200.33333333333334
Burseraceae,Trattinnickia aspera,-79.85833,9.15277,25.983333269755047,199.5
Burseraceae,Trattinnickia aspera,-79.85138,9.16527,26.24999984105428,210.5
Burseraceae,Trattinnickia aspera,-79.86805,9.15861,26.56666644414266,206.16666666666666
Burseraceae,Trattinnickia aspera,-79.83888,9.15833,26.30833339691162,207.5
Burseraceae,Trattinnickia aspera,-79.83888,9.15833,26.30833339691162,207.5
Burseraceae,Trattinnickia aspera,-79.83888,9.15833,26.30833339691162,207.5
Burseraceae,Trattinnickia aspera,-79.85277,9.15555,25.983333269755047,199.5
Burseraceae,Trattinnickia aspera,-75.03333,-8.75,26.774999777475994,228.33333333333334
Burseraceae,Trattinnickia aspera,-75,-8.66666,26.791666348775227,210.41666666666666
Burseraceae,Trattinnickia aspera,-74.65,5.883333,27.75000015894572,207.5
Burseraceae,Trattinnickia aspera,-74.65,5.88333,27.75000015894572,207.5
Burseraceae,Trattinnickia aspera,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Burseraceae,Trattinnickia aspera,-80.15055,9.1925,26.5666667620341,231.66666666666666
Burseraceae,Trattinnickia aspera,-76.861694,5.108222,26.391666730244953,614.1666666666666
Burseraceae,Trattinnickia aspera,-76.88333,6.58333,28.09999990463257,436.6666666666667
Burseraceae,Trattinnickia aspera,-76.631615,6.540725,26.575000127156574,434.9166666666667
Burseraceae,Trattinnickia aspera,-75.18333,6.15,17.44166660308838,212.41666666666666
Burseraceae,Trattinnickia aspera,-70.242111,5.6625,27.133333524068195,196.41666666666666
Burseraceae,Trattinnickia aspera,-83.02,9.67,25.64999993642171,256.5833333333333
Burseraceae,Trattinnickia aspera,-83.3,8.75,26.266666571299236,276.5833333333333
Burseraceae,Trattinnickia aspera,-75.259722,-10.346667,24.5666667620341,184.08333333333334
Burseraceae,Trattinnickia aspera,-75.259167,-10.346944,24.5666667620341,184.08333333333334
Burseraceae,Trattinnickia aspera,-75.995555,-9.309722,24.49999984105428,248.83333333333334
Burseraceae,Trattinnickia aspera,-83.504722,8.671667,26.324999968210857,246.33333333333334
Burseraceae,Trattinnickia aspera,-69.28333,-12.83333,25.266666730244953,204.75
Burseraceae,Trattinnickia aspera,-73.5,-4.16666,26.299999713897705,213.33333333333334
