familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Trichilia americana,-89.827778,18.277222,25.59166717529297,95.5
Meliaceae,Trichilia americana,-104.99215795,19.54653677,25.125,88.66666666666667
Meliaceae,Trichilia americana,-108.94711,27.019937,23.47499990463257,50.583333333333336
Meliaceae,Trichilia americana,-104.992,19.546,25.125,88.66666666666667
Meliaceae,Trichilia americana,-105.550003,20.120001,NA,NA
Meliaceae,Trichilia americana,-102.53278,23.95056,15.700000127156576,30.583333333333332
Meliaceae,Trichilia americana,-102,23,17.06666660308838,30.666666666666668
Meliaceae,Trichilia americana,-97.25338121,15.95745809,26.391666730244953,82.5
Meliaceae,Trichilia americana,-89.25,13.66666,22.09166669845581,160
Meliaceae,Trichilia americana,-89.142278,14.311806,19.86666663487752,123.75
Meliaceae,Trichilia americana,-86.333333,13.016667,20.674999872843426,96.16666666666667
Meliaceae,Trichilia americana,-85.74,10.53,26.708333333333332,140.66666666666666
Meliaceae,Trichilia americana,-85.666667,10.533333,26.766666730244953,151.16666666666666
Meliaceae,Trichilia americana,-85.318056,10.393889,27.324999809265137,158.5
Meliaceae,Trichilia americana,-85.25,10.52,27.233333110809326,151.58333333333334
Meliaceae,Trichilia americana,-84.23,9.93,22.208333492279053,200.58333333333334
Meliaceae,Trichilia americana,-84.18806,9.97028,22.18333339691162,219.91666666666666
Meliaceae,Trichilia americana,-104.516667,21,17.958333492279053,99.75
Meliaceae,Trichilia americana,-102,23,17.06666660308838,30.666666666666668
Meliaceae,Trichilia americana,-99.9167,16.85,NA,NA
Meliaceae,Trichilia americana,-102,23,17.06666660308838,30.666666666666668
Meliaceae,Trichilia americana,-99.234167,18.918611,21.74166663487752,101.91666666666667
Meliaceae,Trichilia americana,-99.23,18.91,21.97500006357829,96.91666666666667
Meliaceae,Trichilia americana,-102.53278,23.95056,15.700000127156576,30.583333333333332
Meliaceae,Trichilia americana,-102,23,17.06666660308838,30.666666666666668
Meliaceae,Trichilia americana,-100.25,17.255,23.766666889190674,133.75
Meliaceae,Trichilia americana,-85.25,10.5,27.266666571299236,168.83333333333334
Meliaceae,Trichilia americana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Meliaceae,Trichilia americana,-84.18806,9.97028,22.18333339691162,219.91666666666666
Meliaceae,Trichilia americana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Meliaceae,Trichilia americana,-89.845,13.921389,23.13333336512248,143.75
Meliaceae,Trichilia americana,-100.233333,18.916667,22.183333079020183,105.33333333333333
Meliaceae,Trichilia americana,-100.05,19.033333,17.141666650772095,100.41666666666667
Meliaceae,Trichilia americana,-99.78333,19.1,7.700000127156575,117.75
Meliaceae,Trichilia americana,-100.17,19.04,18.299999872843426,87.5
Meliaceae,Trichilia americana,-108.8,27.316667,23.90833314259847,59.5
Meliaceae,Trichilia americana,-100.588331,18.321389,28.333333174387615,83.08333333333333
Meliaceae,Trichilia americana,-108.8,27.316667,23.90833314259847,59.5
Meliaceae,Trichilia americana,-101.03806,18.12417,23.041666666666668,97.75
Meliaceae,Trichilia americana,-101.03,18.12,23.05833339691162,98.25
Meliaceae,Trichilia americana,-99.6175,18.569722,17.74166663487752,93.75
Meliaceae,Trichilia americana,-101.600561,17.975561,24.825000127156574,81.91666666666667
Meliaceae,Trichilia americana,-101.6,17.97,24.34166685740153,87.75
Meliaceae,Trichilia americana,-101.03806,18.12417,23.041666666666668,97.75
Meliaceae,Trichilia americana,-101.03,18.12,23.05833339691162,98.25
Meliaceae,Trichilia americana,-108.95,27,22.991666316986084,51.416666666666664
Meliaceae,Trichilia americana,-100.434169,17.208889,27.116666793823242,85.91666666666667
Meliaceae,Trichilia americana,-100.43,17.2,27.116666793823242,85.58333333333333
Meliaceae,Trichilia americana,-107.783333,25.866667,24.041666507720947,73.58333333333333
Meliaceae,Trichilia americana,-107.55,25.683333,23.06666644414266,79.83333333333333
Meliaceae,Trichilia americana,-103.504169,18.598611,25.783332983652752,81.58333333333333
Meliaceae,Trichilia americana,-103.5,18.59,25.458333333333332,82.08333333333333
Meliaceae,Trichilia americana,-98.484167,18.619444,22.59166653951009,67.16666666666667
Meliaceae,Trichilia americana,-87.02277,14.01666,22.633333524068195,74.25
Meliaceae,Trichilia americana,-92.658331,15.319439,27.266666730244953,187.41666666666666
Meliaceae,Trichilia americana,-87.153889,14.078611,21.000000317891438,95.08333333333333
Meliaceae,Trichilia americana,-100.308333,19.4,12.641666650772095,89.25
Meliaceae,Trichilia americana,-88.76666,13.68333,23.825000127156574,165
Meliaceae,Trichilia americana,-104.9475,21.162222,22.958333174387615,95.16666666666667
Meliaceae,Trichilia americana,-104.854444,20.182222,22.791666507720947,118.41666666666667
Meliaceae,Trichilia americana,-102.267106,18.18245,24.97499990463257,83.08333333333333
Meliaceae,Trichilia americana,-99.5,17.29444,24.5583332379659,128.58333333333334
Meliaceae,Trichilia americana,-99.093056,18.984167,19.400000254313152,90.08333333333333
Meliaceae,Trichilia americana,-85.095,10.42694,27.116666793823242,191.25
Meliaceae,Trichilia americana,-99.533611,17.127778,26.374999682108562,118.08333333333333
Meliaceae,Trichilia americana,-99.5475,17.643056,24.108333110809326,74.33333333333333
Meliaceae,Trichilia americana,-99.508333,17.558333,23.050000190734863,67.08333333333333
Meliaceae,Trichilia americana,-96.149444,18.110556,25.958333174387615,204.83333333333334
Meliaceae,Trichilia americana,-85.35,10.35,27.075000127156574,158.5
Meliaceae,Trichilia americana,-98.355,21.721667,24.883333683013916,88.16666666666667
Meliaceae,Trichilia americana,-85.67138,10.53694,27.049999872843426,144.83333333333334
Meliaceae,Trichilia americana,-85.31666,10.53333,27.15000009536743,147
Meliaceae,Trichilia americana,-99.161944,18.963611,20.40833346048991,95.33333333333333
Meliaceae,Trichilia americana,-99.16,18.97,20.19166660308838,94.91666666666667
Meliaceae,Trichilia americana,-85.66,10.53,27.30833355585734,144.25
Meliaceae,Trichilia americana,-85.13972,10.41944,27.325000127156574,174
Meliaceae,Trichilia americana,-85.131389,10.454722,27.27499993642171,160.33333333333334
Meliaceae,Trichilia americana,-93.52,16.71,23.858333110809326,79.33333333333333
Meliaceae,Trichilia americana,-93.187222,16.768889,24.68333339691162,92
Meliaceae,Trichilia americana,-92.035278,17.655556,26.700000127156574,208
Meliaceae,Trichilia americana,-91.968333,17.449444,25.574999968210857,229.91666666666666
Meliaceae,Trichilia americana,-91.96,17.46,25.583333333333332,226.33333333333334
Meliaceae,Trichilia americana,-85.31666,10.53333,27.15000009536743,147
Meliaceae,Trichilia americana,-105.916667,23.416667,23.4416667620341,90.25
Meliaceae,Trichilia americana,-87.11666,13.35,28.31666644414266,117
Meliaceae,Trichilia americana,-86.8,13.43333,20.983333428700764,98.83333333333333
Meliaceae,Trichilia americana,-85.341111,10.344444,27.050000190734863,159.25
Meliaceae,Trichilia americana,-85.31666,10.53333,27.15000009536743,147
Meliaceae,Trichilia americana,-99.125,18.875,21.858333269755047,84.83333333333333
Meliaceae,Trichilia americana,-99.121944,18.866944,21.858333269755047,84.83333333333333
Meliaceae,Trichilia americana,-94.658333,17.309722,25.116666475931805,284.8333333333333
Meliaceae,Trichilia americana,-94.633333,17.3,25.28333330154419,295.8333333333333
Meliaceae,Trichilia americana,-94.612778,17.2525,25.291666666666668,304.6666666666667
Meliaceae,Trichilia americana,-85.61666,10.83333,25.858333110809326,146
Meliaceae,Trichilia americana,-81.122222,8.521389,22.46666653951009,281.6666666666667
Meliaceae,Trichilia americana,-107.658333,27.108333,21.9916668732961,68.33333333333333
Meliaceae,Trichilia americana,-107.630181,27.134061,20.608333110809326,74.5
Meliaceae,Trichilia americana,-103.0225,18.911667,17.85000006357829,85
Meliaceae,Trichilia americana,-100.2825,18.828333,23.258333047231037,108.08333333333333
Meliaceae,Trichilia americana,-100.258333,18.908333,22.358333587646484,108.5
Meliaceae,Trichilia americana,-100.124444,18.904167,20.708333333333332,99.08333333333333
Meliaceae,Trichilia americana,-100.047222,19.082222,16.200000047683716,93.41666666666667
Meliaceae,Trichilia americana,-99.446389,18.484722,20.741666793823242,91.25
Meliaceae,Trichilia americana,-99.422222,18.616944,24.40833314259847,90
Meliaceae,Trichilia americana,-99.12304,18.86166,22.200000286102295,78.91666666666667
Meliaceae,Trichilia americana,-99.121944,18.866944,21.858333269755047,84.83333333333333
Meliaceae,Trichilia americana,-99.1,18.860556,22.72500006357829,73.41666666666667
Meliaceae,Trichilia americana,-92.929722,15.828889,22.141666730244953,186.08333333333334
Meliaceae,Trichilia americana,-92.050833,16.045,23.016666571299236,113.41666666666667
Meliaceae,Trichilia americana,-89.46666,14.3,25.016666730244953,103.33333333333333
Meliaceae,Trichilia americana,-89.46527,14.26444,24.733333269755047,109
Meliaceae,Trichilia americana,-89.26972,13.49722,25.958333174387615,152.33333333333334
Meliaceae,Trichilia americana,-86.38333,13.18333,21.900000254313152,89.41666666666667
Meliaceae,Trichilia americana,-86.16666,11.51666,26.708333174387615,125.91666666666667
Meliaceae,Trichilia americana,-86.05,12.383333,26.958333333333332,120.66666666666667
Meliaceae,Trichilia americana,-85.31666,10.53333,27.15000009536743,147
Meliaceae,Trichilia americana,-85.01666,12.06666,24.708333492279053,153.83333333333334
Meliaceae,Trichilia americana,-104.071111,21.034167,22.13333336512248,71.83333333333333
Meliaceae,Trichilia americana,-99.231111,18.919722,21.8166667620341,100.58333333333333
Meliaceae,Trichilia americana,-86.46666,12.6,27.30833339691162,114
Meliaceae,Trichilia americana,-86.16666,11.53333,26.8166667620341,120.66666666666667
Meliaceae,Trichilia americana,-86.116667,11.966667,26.34166685740153,119.58333333333333
Meliaceae,Trichilia americana,-85.783333,11.15,26.65833314259847,144.33333333333334
Meliaceae,Trichilia americana,-85.78333,11.15,26.65833314259847,144.33333333333334
Meliaceae,Trichilia americana,-85.73333,13.06666,23.75833336512248,139.5
Meliaceae,Trichilia americana,-85.63,10.8,26.225000222524006,137.5
Meliaceae,Trichilia americana,-85.616667,10.833333,25.81666644414266,143.58333333333334
Meliaceae,Trichilia americana,-85.61666,10.83333,25.858333110809326,146
Meliaceae,Trichilia americana,-85.61472,10.83611,25.75833336512248,138.5
Meliaceae,Trichilia americana,-85.61,10.83,25.858333110809326,146
Meliaceae,Trichilia americana,-105.066944,19.588056,25.36666711171468,81.33333333333333
Meliaceae,Trichilia americana,-86.35,13.03333,20.633333206176758,96.41666666666667
Meliaceae,Trichilia americana,-86.15,11.98333,25.37499984105428,118.83333333333333
Meliaceae,Trichilia americana,-86.13333,11.56666,26.416666825612385,115.83333333333333
Meliaceae,Trichilia americana,-86.11666,12.14166,26.84166685740153,118.25
Meliaceae,Trichilia americana,-85.61666,10.83333,25.858333110809326,146
Meliaceae,Trichilia americana,-85.516667,11.45,21.27499993642171,186.91666666666666
Meliaceae,Trichilia americana,-85.38333,12.26666,25.191666920979817,135.25
Meliaceae,Trichilia americana,-84.3,9.91,22.958333174387615,168.75
Meliaceae,Trichilia americana,-84.27,9.91,22,163.41666666666666
Meliaceae,Trichilia americana,-103.108611,18.824722,21.62500015894572,94.33333333333333
Meliaceae,Trichilia americana,-87.18555,14.02444,20.958333492279053,93.25
Meliaceae,Trichilia americana,-86.360556,13.026111,20.950000127156574,95.33333333333333
Meliaceae,Trichilia americana,-86.333333,13.016667,20.674999872843426,96.16666666666667
Meliaceae,Trichilia americana,-85.8,11.183333,26.641666571299236,142.58333333333334
Meliaceae,Trichilia americana,-85.61666,10.83333,25.858333110809326,146
Meliaceae,Trichilia americana,-85.58333,10.83333,26.5,137.41666666666666
Meliaceae,Trichilia americana,-108.966667,27.016667,22.833333492279053,50.416666666666664
Meliaceae,Trichilia americana,-103.430833,18.791944,23.958333333333332,84.66666666666667
Meliaceae,Trichilia americana,-102.591667,19.208333,26.43333339691162,64.75
Meliaceae,Trichilia americana,-102.283611,18.135,26.09166653951009,89.91666666666667
Meliaceae,Trichilia americana,-99.925278,16.890556,26.008333524068195,108.83333333333333
Meliaceae,Trichilia americana,-99.270833,18.547222,25.241666952768963,82
Meliaceae,Trichilia americana,-99.2475,18.486389,23.300000031789143,93.41666666666667
Meliaceae,Trichilia americana,-99.215556,18.621389,24.90000009536743,80.58333333333333
Meliaceae,Trichilia americana,-93.929722,16.620556,24.083333492279053,61.666666666666664
Meliaceae,Trichilia americana,-92.96,15.73,21.65000009536743,200.75
Meliaceae,Trichilia americana,-87.974167,15.260556,26.44166644414266,112.58333333333333
Meliaceae,Trichilia americana,-87.713333,14.867222,25.58333381017049,128.16666666666666
Meliaceae,Trichilia americana,-86.516667,13.35,22.69166628519694,92.08333333333333
Meliaceae,Trichilia americana,-85.533333,12.233333,25.641666730244953,125.5
Meliaceae,Trichilia americana,-103.548889,19.411667,21.38333336512248,93.91666666666667
Meliaceae,Trichilia americana,-103.540555,19.4225,21.291666666666668,92.33333333333333
Meliaceae,Trichilia americana,-101.668333,19.531667,16.891666650772095,81.83333333333333
Meliaceae,Trichilia americana,-85.55,12.4,23.34166669845581,149.33333333333334
Meliaceae,Trichilia americana,-85.51666,12.23333,25.741666793823242,121.5
Meliaceae,Trichilia americana,-104.658889,19.478333,24.516666571299236,131.5
Meliaceae,Trichilia americana,-101.95514,17.99882,27.025000254313152,86.33333333333333
Meliaceae,Trichilia americana,-99.53333,18.41666,24.74999984105428,87.83333333333333
Meliaceae,Trichilia americana,-98.441667,18.568611,23.09166669845581,61
Meliaceae,Trichilia americana,-87.058333,20.858333,25.75833336512248,109
Meliaceae,Trichilia americana,-86.383333,11.7,26.949999968210857,116.16666666666667
Meliaceae,Trichilia americana,-86.334722,11.713611,26.84166653951009,115.41666666666667
Meliaceae,Trichilia americana,-86.15,11.9,24.208333174387615,124.58333333333333
Meliaceae,Trichilia americana,-85.733333,12.6,22.450000127156574,141
Meliaceae,Trichilia americana,-85.7,11.183333,25.24999984105428,180.16666666666666
Meliaceae,Trichilia americana,-105.05,19.5,25.200000127156574,78.5
Meliaceae,Trichilia americana,-103.861667,21.698889,23.18333371480306,60.333333333333336
Meliaceae,Trichilia americana,-103.785561,21.748075,25.416666666666668,55.833333333333336
Meliaceae,Trichilia americana,-103.780278,21.7475,25.291666507720947,55.416666666666664
Meliaceae,Trichilia americana,-101.243889,18.348889,25.05833339691162,84.91666666666667
Meliaceae,Trichilia americana,-100.16,18.906667,21.09166685740153,100.16666666666667
Meliaceae,Trichilia americana,-100.158333,18.908333,21.28333330154419,102.08333333333333
Meliaceae,Trichilia americana,-99.041944,17.462222,21.30833339691162,113.91666666666667
Meliaceae,Trichilia americana,-88.2625,20.714722,25.81666660308838,98.83333333333333
Meliaceae,Trichilia americana,-87.516667,12.933333,27.925000190734863,139.75
Meliaceae,Trichilia americana,-87.22361,14.05694,21.733333269755047,85
Meliaceae,Trichilia americana,-86.9,12.416667,27.34166669845581,125.91666666666667
Meliaceae,Trichilia americana,-86.333333,13.016667,20.674999872843426,96.16666666666667
Meliaceae,Trichilia americana,-86.33333,13.26666,20.783332983652752,100.08333333333333
Meliaceae,Trichilia americana,-86.316667,12.066667,24.69166644414266,113.83333333333333
Meliaceae,Trichilia americana,-86.116667,12.666667,24.233333269755047,104.33333333333333
Meliaceae,Trichilia americana,-86.033333,12.6,24.833333174387615,108.25
Meliaceae,Trichilia americana,-85.983333,12.466667,25.416666984558105,119.16666666666667
Meliaceae,Trichilia americana,-85.975,11.755556,26.56666660308838,125.83333333333333
Meliaceae,Trichilia americana,-85.833333,12.583333,23.90000009536743,125.66666666666667
Meliaceae,Trichilia americana,-85.70833,12.48333,24.10000006357829,127.08333333333333
Meliaceae,Trichilia americana,-85.466667,12.116667,26.46666685740153,131.41666666666666
Meliaceae,Trichilia americana,-85.414444,12.243889,24.5583332379659,144.25
Meliaceae,Trichilia americana,-85.390278,12.295833,23.40833346048991,163.16666666666666
Meliaceae,Trichilia americana,-85.375,12.191667,26.041666666666668,129.08333333333334
Meliaceae,Trichilia americana,-85.369444,12.234722,25.15000009536743,143.41666666666666
Meliaceae,Trichilia americana,-107.573611,25.008333,25.091666380564373,60.916666666666664
Meliaceae,Trichilia americana,-107.558333,24.975,24.9416667620341,61.416666666666664
Meliaceae,Trichilia americana,-107.325,24.775,24.791666666666668,60.416666666666664
Meliaceae,Trichilia americana,-103.680833,18.751111,26.9333332379659,74.33333333333333
Meliaceae,Trichilia americana,-99.125,18.890833,21.64999993642171,88.41666666666667
Meliaceae,Trichilia americana,-98.946111,18.391111,24.049999872843426,81.33333333333333
Meliaceae,Trichilia americana,-87.965,20.330278,25.69166660308838,96.33333333333333
Meliaceae,Trichilia americana,-87.11,20.62,26.10000006357829,110.91666666666667
Meliaceae,Trichilia americana,-87.021389,20.358056,26.300000349680584,116.66666666666667
Meliaceae,Trichilia americana,-87.01,20.36,26.250000317891438,117.41666666666667
Meliaceae,Trichilia americana,-86.995315,20.278305,26.424999713897705,114.75
Meliaceae,Trichilia americana,-86.991667,20.325,26.333333492279053,116.41666666666667
Meliaceae,Trichilia americana,-86.98,20.27,NA,NA
Meliaceae,Trichilia americana,-86.925278,20.484444,26.4333332379659,122
