familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Trichilia glabra,-85.614,10.83,25.858333110809326,146
Meliaceae,Trichilia glabra,-93.633333,16.070833,25.34166653951009,107
Meliaceae,Trichilia glabra,-93.906389,16.375,22.52500009536743,61.166666666666664
Meliaceae,Trichilia glabra,-93.640556,16.150556,25.049999872843426,99.33333333333333
Meliaceae,Trichilia glabra,-89.901389,18.516389,25.758333206176758,87.41666666666667
Meliaceae,Trichilia glabra,-89.915,18.550278,25.716666380564373,86.58333333333333
Meliaceae,Trichilia glabra,-89.3675,17.8925,25.008333206176758,114.25
Meliaceae,Trichilia glabra,-89.234444,18.814167,24.866666475931805,79
Meliaceae,Trichilia glabra,-89.9125,18.543056,25.699999968210857,86.5
Meliaceae,Trichilia glabra,-89.899444,18.553333,25.699999968210857,86.41666666666667
Meliaceae,Trichilia glabra,-89.4925,18.408889,24.824999968210857,91.58333333333333
Meliaceae,Trichilia glabra,-89.851111,18.60575,25.68333339691162,85.66666666666667
Meliaceae,Trichilia glabra,-89.912778,18.543611,25.699999968210857,86.5
Meliaceae,Trichilia glabra,-89.523611,18.515833,24.80833339691162,87
Meliaceae,Trichilia glabra,-86.833611,21.161111,26.349999745686848,102.91666666666667
Meliaceae,Trichilia glabra,-89.645,20.186389,25.44166660308838,90.16666666666667
Meliaceae,Trichilia glabra,-92.475,16.891667,19.43333339691162,137.16666666666666
Meliaceae,Trichilia glabra,-92.446389,16.860278,18.491666793823242,131.5
Meliaceae,Trichilia glabra,-93.5325,16.701667,23.791666348775227,78.08333333333333
Meliaceae,Trichilia glabra,-92.45993764,16.86575909,18.650000015894573,132.75
Meliaceae,Trichilia glabra,-92.49326952,16.89769645,18.9416667620341,135
Meliaceae,Trichilia glabra,-92.47687706,16.87242772,17.641666730244953,121.66666666666667
Meliaceae,Trichilia glabra,-92.458333,16.841667,18.641666650772095,133.16666666666666
Meliaceae,Trichilia glabra,-92.446389,16.860278,18.491666793823242,131.5
Meliaceae,Trichilia glabra,-92.84112752,16.06443652,25.216667016347248,130.5
Meliaceae,Trichilia glabra,-92.727778,15.885833,24.766666730244953,193.66666666666666
Meliaceae,Trichilia glabra,-89.631389,17.216111,24.72499990463257,138.91666666666666
Meliaceae,Trichilia glabra,-77.271389,18.258611,20.741666793823242,166.33333333333334
Meliaceae,Trichilia glabra,-77.349444,18.231944,21.491666793823242,159.33333333333334
Meliaceae,Trichilia glabra,-89.915556,20.492778,25.97500006357829,90.33333333333333
Meliaceae,Trichilia glabra,-89.791667,20.3,25.4416667620341,91.58333333333333
Meliaceae,Trichilia glabra,-89.780833,20.3325,25.516666730244953,91.58333333333333
Meliaceae,Trichilia glabra,-89.651944,20.176944,25.50833336512248,90.33333333333333
Meliaceae,Trichilia glabra,-89.648611,20.248611,25.416666507720947,90.33333333333333
Meliaceae,Trichilia glabra,-89.648056,20.281389,25.424999872843426,90.08333333333333
Meliaceae,Trichilia glabra,-89.636389,20.2475,25.416666507720947,90.33333333333333
Meliaceae,Trichilia glabra,-89.578333,20.170833,25.46666669845581,90.91666666666667
Meliaceae,Trichilia glabra,-88.891667,21.133333,25.800000031789143,88
Meliaceae,Trichilia glabra,-88.890556,21.127778,25.791666666666668,88.75
Meliaceae,Trichilia glabra,-88.208889,20.778611,25.791666507720947,100.08333333333333
Meliaceae,Trichilia glabra,-86.595833,13.443056,22.416666825612385,88.83333333333333
Meliaceae,Trichilia glabra,-88.849722,20.090278,25.799999872843426,100.25
Meliaceae,Trichilia glabra,-90.155278,18.481944,26.03333346048991,95.58333333333333
Meliaceae,Trichilia glabra,-89.933333,18.475,25.699999809265137,89.16666666666667
Meliaceae,Trichilia glabra,-89.46,20.102222,25.508333047231037,92
Meliaceae,Trichilia glabra,-89.459722,20.632222,25.850000222524006,89.16666666666667
Meliaceae,Trichilia glabra,-88.908333,18.341667,24.800000031789143,101.08333333333333
Meliaceae,Trichilia glabra,-86.9,20.841667,26.21666653951009,105.58333333333333
Meliaceae,Trichilia glabra,-89.481944,20.090278,25.425000031789143,91.41666666666667
Meliaceae,Trichilia glabra,-85.598611,11.511667,25.766666412353516,145.33333333333334
Meliaceae,Trichilia glabra,-89.45,20.2625,25.416666666666668,93.91666666666667
Meliaceae,Trichilia glabra,-88.916389,20.505556,25.81666644414266,96.58333333333333
Meliaceae,Trichilia glabra,-89.433333,17.466667,24.84999990463257,125.83333333333333
Meliaceae,Trichilia glabra,-89.9125,18.543056,25.699999968210857,86.5
Meliaceae,Trichilia glabra,-89.853889,18.605833,25.68333339691162,85.66666666666667
Meliaceae,Trichilia glabra,-89.851111,18.60575,25.68333339691162,85.66666666666667
Meliaceae,Trichilia glabra,-89.120556,18.619167,24.641666889190674,84.41666666666667
Meliaceae,Trichilia glabra,-89.912778,18.543611,25.699999968210857,86.5
Meliaceae,Trichilia glabra,-89.523611,18.515833,24.80833339691162,87
Meliaceae,Trichilia glabra,-89.4925,18.408889,24.824999968210857,91.58333333333333
Meliaceae,Trichilia glabra,-89.234444,18.814167,24.866666475931805,79
Meliaceae,Trichilia glabra,-89.284167,18.596389,24.575000127156574,84.83333333333333
Meliaceae,Trichilia glabra,-89.283889,18.597222,24.575000127156574,84.83333333333333
Meliaceae,Trichilia glabra,-89.779444,20.5725,25.833333333333332,91.66666666666667
Meliaceae,Trichilia glabra,-89.551667,20.085833,25.30833355585734,90.58333333333333
Meliaceae,Trichilia glabra,-89.6731,20.6372,25.983333110809326,91.25
Meliaceae,Trichilia glabra,-88.76,19.9,25.90833330154419,102.83333333333333
Meliaceae,Trichilia glabra,-86.35,13.366667,22.550000031789143,94.83333333333333
Meliaceae,Trichilia glabra,-83.733333,22.616667,23.258333206176758,132.33333333333334
Meliaceae,Trichilia glabra,-83.703333,22.664717,23.675000190734863,129.66666666666666
Meliaceae,Trichilia glabra,-81.1473484,19.33638689,26.875,117.91666666666667
Meliaceae,Trichilia glabra,-77.319014,18.151419,23.041666666666668,141.25
Meliaceae,Trichilia glabra,-89.016667,20.933333,25.74166663487752,83.25
Meliaceae,Trichilia glabra,-78.132357,18.397479,26.508333047231037,146.75
Meliaceae,Trichilia glabra,-89.988889,20.588333,26.258333524068195,87.25
Meliaceae,Trichilia glabra,-89.6731,20.6372,25.983333110809326,91.25
Meliaceae,Trichilia glabra,-88.71,20.5,25.824999809265137,98.75
Meliaceae,Trichilia glabra,-87.01805,13.99194,22.733333269755047,74.66666666666667
Meliaceae,Trichilia glabra,-85.91666,12.96666,21.674999872843426,121.16666666666667
Meliaceae,Trichilia glabra,-85.91666,13,19.350000381469727,138.25
Meliaceae,Trichilia glabra,-85.85833,12.975,20.833333492279053,151.66666666666666
Meliaceae,Trichilia glabra,-85.91666,13,19.350000381469727,138.25
Meliaceae,Trichilia glabra,-85.91666,13.03333,18.516666571299236,143.83333333333334
Meliaceae,Trichilia glabra,-85.91666,13.05,18.53333314259847,141.75
Meliaceae,Trichilia glabra,-85.095,10.42694,27.116666793823242,191.25
Meliaceae,Trichilia glabra,-89.63888,16.96777,25.38333336512248,150.58333333333334
Meliaceae,Trichilia glabra,-85.925,13.00833,18.266666889190674,140.33333333333334
Meliaceae,Trichilia glabra,-85.68,11.05,NA,NA
Meliaceae,Trichilia glabra,-85.668889,11.059167,26.949999968210857,143.75
Meliaceae,Trichilia glabra,-89.44444,16.39472,23.6916667620341,261.8333333333333
Meliaceae,Trichilia glabra,-93.426389,16.644722,23.716666380564373,77.25
Meliaceae,Trichilia glabra,-85.13,10.45,27.28333330154419,153
Meliaceae,Trichilia glabra,-92.966944,16.754722,23.84166669845581,99.08333333333333
Meliaceae,Trichilia glabra,-85.3,10.33,27.15833330154419,146.66666666666666
Meliaceae,Trichilia glabra,-85.3,10.33333,27.15833330154419,146.66666666666666
Meliaceae,Trichilia glabra,-85.25,10.5,27.266666571299236,168.83333333333334
Meliaceae,Trichilia glabra,-90.17944,17.39444,25.9416667620341,140.16666666666666
Meliaceae,Trichilia glabra,-87.157778,14.586944,21.824999809265137,92.66666666666667
Meliaceae,Trichilia glabra,-85.31666,10.53333,27.15000009536743,147
Meliaceae,Trichilia glabra,-77.3655,18.224,21.97500006357829,155.83333333333334
Meliaceae,Trichilia glabra,-87.785,14.931111,25.333333174387615,153.41666666666666
Meliaceae,Trichilia glabra,-87.713333,14.867222,25.58333381017049,128.16666666666666
Meliaceae,Trichilia glabra,-86.90039355,20.87338211,26.116666793823242,105.83333333333333
Meliaceae,Trichilia glabra,-86.868611,20.902222,26.208333174387615,104.83333333333333
Meliaceae,Trichilia glabra,-88.95,21.03333,25.725000222524006,86.58333333333333
Meliaceae,Trichilia glabra,-87.645833,14.765278,25.22499958674113,137.41666666666666
Meliaceae,Trichilia glabra,-87.575833,15.0375,25.65833330154419,111.5
Meliaceae,Trichilia glabra,-87.365,14.94,24.550000031789143,101.25
Meliaceae,Trichilia glabra,-86.6,13.466667,22.724999745686848,88.41666666666667
Meliaceae,Trichilia glabra,-86.25,13.11666,20.508333524068195,99.75
Meliaceae,Trichilia glabra,-86.25,13.116667,21.566666920979817,86.91666666666667
Meliaceae,Trichilia glabra,-87.22361,14.05694,21.733333269755047,85
Meliaceae,Trichilia glabra,-86.25,13.166667,19.600000222524006,107.58333333333333
Meliaceae,Trichilia glabra,-86.186111,12.766667,24.833333492279053,93.75
Meliaceae,Trichilia glabra,-85.983333,12.466667,25.416666984558105,119.16666666666667
Meliaceae,Trichilia glabra,-85.91666,11.66666,26.824999968210857,120.58333333333333
Meliaceae,Trichilia glabra,-89.541667,20.175,25.40833330154419,91.41666666666667
Meliaceae,Trichilia glabra,-87.12972,14.06944,19.14999993642171,107.16666666666667
Meliaceae,Trichilia glabra,-87.1,20.89,25.65833330154419,107.58333333333333
Meliaceae,Trichilia glabra,-86.55,13.76666,20.40833330154419,108.66666666666667
Meliaceae,Trichilia glabra,-86.35,13.36666,22.291666507720947,92
Meliaceae,Trichilia glabra,-86.25,13.233333,18.71666653951009,123.58333333333333
Meliaceae,Trichilia glabra,-86.233333,13.116667,21.8083332379659,87.16666666666667
Meliaceae,Trichilia glabra,-86.166667,11.533333,26.71666653951009,125
Meliaceae,Trichilia glabra,-85.616667,11.516667,23.90833346048991,151.25
Meliaceae,Trichilia glabra,-85.483333,11.466667,25.575000445048016,159.83333333333334
Meliaceae,Trichilia glabra,-93.500278,17.004722,24.383333206176758,139.75
Meliaceae,Trichilia glabra,-85.93333,12.58333,23.46666669845581,119.83333333333333
Meliaceae,Trichilia glabra,-85.6,11.504167,26.108333269755047,142.25
Meliaceae,Trichilia glabra,-85.26111,10.33333,27.166666825612385,147.66666666666666
Meliaceae,Trichilia glabra,-89.71638,16.99611,25.458333651224773,144.5
Meliaceae,Trichilia glabra,-84.8,10.28,20.63333336512248,212.66666666666666
Meliaceae,Trichilia glabra,-84.8,10.283333,20.63333336512248,212.66666666666666
Meliaceae,Trichilia glabra,-88.925,20.508333,25.8083332379659,96.5
Meliaceae,Trichilia glabra,-88.91653231,20.49337613,25.8083332379659,96.75
Meliaceae,Trichilia glabra,-84.8,10.26,19.77500009536743,199.41666666666666
Meliaceae,Trichilia glabra,-84.8,10.266667,20.166666666666668,208.16666666666666
Meliaceae,Trichilia glabra,-85.491667,10.955556,23.641666412353516,174.41666666666666
Meliaceae,Trichilia glabra,-85.49166,10.95555,23.09999990463257,165.58333333333334
Meliaceae,Trichilia glabra,-84.833334,10.266667,21.141666571299236,199.33333333333334
Meliaceae,Trichilia glabra,-84.83333,10.26666,22.69166660308838,206.58333333333334
Meliaceae,Trichilia glabra,-84.83,10.26,22.69166660308838,206.58333333333334
Meliaceae,Trichilia glabra,-88.308333,21.541667,25.766666730244953,70.16666666666667
Meliaceae,Trichilia glabra,-85.3375,10.765278,22.27499993642171,170.91666666666666
Meliaceae,Trichilia glabra,-85.33,10.76,22.083333174387615,166.58333333333334
Meliaceae,Trichilia glabra,-89.93333,13.81666,23.78333330154419,153.91666666666666
Meliaceae,Trichilia glabra,-89.93333,13.81667,23.74999984105428,152.33333333333334
Meliaceae,Trichilia glabra,-85.316667,10.4,27.324999809265137,158.5
Meliaceae,Trichilia glabra,-85.31666,10.4,27.324999809265137,149.41666666666666
Meliaceae,Trichilia glabra,-85.31,10.4,27.324999809265137,149.41666666666666
Meliaceae,Trichilia glabra,-84.372222,9.727222,21.15833346048991,196.91666666666666
Meliaceae,Trichilia glabra,-84.37,9.72,21.133333524068195,218.25
Meliaceae,Trichilia glabra,-88.841667,20.558333,25.78333314259847,95.58333333333333
Meliaceae,Trichilia glabra,-84.82,10.27,22.37500015894572,205.25
Meliaceae,Trichilia glabra,-89.93333,13.81667,23.74999984105428,152.33333333333334
Meliaceae,Trichilia glabra,-88.858333,21.108333,25.791666666666668,92.33333333333333
Meliaceae,Trichilia glabra,-84.826389,10.260556,22.69166660308838,206.58333333333334
Meliaceae,Trichilia glabra,-84.82,10.26,22.15833314259847,213.41666666666666
Meliaceae,Trichilia glabra,-84.383333,21.933333,25.21666669845581,114.33333333333333
Meliaceae,Trichilia glabra,-88.37706739,19.69507393,25.925000349680584,95.75
Meliaceae,Trichilia glabra,-77.5314,18.0592,21.97500006357829,161.83333333333334
Meliaceae,Trichilia glabra,-85.9,11.66666,26.62499984105428,128.41666666666666
Meliaceae,Trichilia glabra,-85.527778,11.033333,25.416666825612385,162.75
Meliaceae,Trichilia glabra,-86.48333,13.38333,23.108333269755047,93.08333333333333
Meliaceae,Trichilia glabra,-86.31805,13.20027,20.833333333333332,94.33333333333333
Meliaceae,Trichilia glabra,-89.98333,13.81666,25.791666507720947,145.33333333333334
Meliaceae,Trichilia glabra,-89.98333,13.81667,25.324999968210857,147.58333333333334
Meliaceae,Trichilia glabra,-86.633333,13.466667,23.233333110809326,85.5
