familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Trichospermum galeottii,-79.9106,8.5714,27.283333778381348,160.33333333333334
Malvaceae,Trichospermum galeottii,-79.65,9.033333,26.275000254313152,202.66666666666666
Malvaceae,Trichospermum galeottii,-102,23,17.06666660308838,30.666666666666668
Malvaceae,Trichospermum galeottii,-98.333333,20.433333,18.358333190282185,140.33333333333334
Malvaceae,Trichospermum galeottii,-96.589125,19.120019,24.699999968210857,92.66666666666667
Malvaceae,Trichospermum galeottii,-98.33333,20.43333,18.358333190282185,140.33333333333334
Malvaceae,Trichospermum galeottii,-79.560833,8.953611,27.03333314259847,180.08333333333334
Malvaceae,Trichospermum galeottii,-79.85,9.15,26.358333428700764,200.33333333333334
Malvaceae,Trichospermum galeottii,-79.84361,9.17805,26.53333314259847,205.08333333333334
Malvaceae,Trichospermum galeottii,-79.85,9.15,26.358333428700764,200.33333333333334
Malvaceae,Trichospermum galeottii,-79.83638,9.16361,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.64944,9.06444,26.424999872843426,192.08333333333334
Malvaceae,Trichospermum galeottii,-79.73388,8.96472,26.666666507720947,198.83333333333334
Malvaceae,Trichospermum galeottii,-83.64027,9.39694,20.866666793823242,210.83333333333334
Malvaceae,Trichospermum galeottii,-82.816667,8.8,22.358333269755047,244.91666666666666
Malvaceae,Trichospermum galeottii,-79.294722,9.083333,27,190.75
Malvaceae,Trichospermum galeottii,-83.64666,9.37861,22.47500006357829,218.66666666666666
Malvaceae,Trichospermum galeottii,-79.92194,8.68722,22.799999713897705,215.25
Malvaceae,Trichospermum galeottii,-78.1869,-1.4628,18.10000006357829,196.5
Malvaceae,Trichospermum galeottii,-80.10833,8.62333,22.975000222524006,195.75
Malvaceae,Trichospermum galeottii,-77.683333,8.183333,26.69166644414266,173.75
Malvaceae,Trichospermum galeottii,-79.85,9.15,26.358333428700764,200.33333333333334
Malvaceae,Trichospermum galeottii,-79.41638,9.16722,23.450000286102295,210.91666666666666
Malvaceae,Trichospermum galeottii,-83.64527,8.70138,26.1916667620341,295.4166666666667
Malvaceae,Trichospermum galeottii,-79.95666,9.36416,26.62499984105428,184.91666666666666
Malvaceae,Trichospermum galeottii,-79.56388,8.975,27.049999872843426,167.33333333333334
Malvaceae,Trichospermum galeottii,-84.3875,9.7725,22.949999968210857,209.83333333333334
Malvaceae,Trichospermum galeottii,-79.95666,9.36416,26.62499984105428,184.91666666666666
Malvaceae,Trichospermum galeottii,-79.645555,8.977222,26.358333428700764,197.58333333333334
Malvaceae,Trichospermum galeottii,-79.56388,8.975,27.049999872843426,167.33333333333334
Malvaceae,Trichospermum galeottii,-78.7,1.35,25.483333269755047,231
Malvaceae,Trichospermum galeottii,-83.17,8.63,NA,NA
Malvaceae,Trichospermum galeottii,-79.85416,9.16944,26.450000127156574,187.08333333333334
Malvaceae,Trichospermum galeottii,-79.83638,9.16361,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.76666,9.16666,26.05833339691162,207.66666666666666
Malvaceae,Trichospermum galeottii,-79.40833,9.17777,23.46666669845581,231.08333333333334
Malvaceae,Trichospermum galeottii,-79.38333,9.08333,26.983333587646484,168.91666666666666
Malvaceae,Trichospermum galeottii,-78.116667,7.916667,26.474999745686848,266.0833333333333
Malvaceae,Trichospermum galeottii,-79.84805,9.15472,26.041666507720947,184.16666666666666
Malvaceae,Trichospermum galeottii,-79.83611,9.1625,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.83472,9.16388,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.80833,9.23472,26.46666669845581,193.75
Malvaceae,Trichospermum galeottii,-83.5,8.69,26.233333110809326,283
Malvaceae,Trichospermum galeottii,-79.84166,9.1625,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.84138,9.13833,26.59999990463257,198.83333333333334
Malvaceae,Trichospermum galeottii,-79.83638,9.16361,26.30833339691162,215.33333333333334
Malvaceae,Trichospermum galeottii,-79.65472,8.95388,26.3166667620341,174.08333333333334
Malvaceae,Trichospermum galeottii,-79.843611,9.178056,26.53333314259847,205.08333333333334
Malvaceae,Trichospermum galeottii,-79.84361,9.17805,26.53333314259847,205.08333333333334
Malvaceae,Trichospermum galeottii,-79.76666,9.16666,26.05833339691162,207.66666666666666
Malvaceae,Trichospermum galeottii,-79.66,9.07416,26.325000127156574,191.16666666666666
Malvaceae,Trichospermum galeottii,-81.13861,8.53083,22.699999650319416,291.5
Malvaceae,Trichospermum galeottii,-80.125,9.20833,26.55833339691162,232.33333333333334
Malvaceae,Trichospermum galeottii,-79.70055,9.11944,26.416666666666668,202.91666666666666
Malvaceae,Trichospermum galeottii,-95.01666,18.45,24.625000317891438,167.58333333333334
Malvaceae,Trichospermum galeottii,-93.596111,16.210556,20.641666730244953,91.5
Malvaceae,Trichospermum galeottii,-93.01666,17.33333,22.800000031789143,291.75
Malvaceae,Trichospermum galeottii,-93.01661913,17.3340679,23.533333619435627,329.0833333333333
