familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Unonopsis osae,-83.9519,10.0114,17.35000006357829,334.6666666666667
Annonaceae,Unonopsis osae,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis osae,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis osae,-83.55,8.7,25.19166644414266,257.0833333333333
Annonaceae,Unonopsis osae,-83.583338,8.466667,26.05833339691162,305.3333333333333
Annonaceae,Unonopsis osae,-83.527778,8.711111,24.416666825612385,286.0833333333333
Annonaceae,Unonopsis osae,-83.333333,8.416667,25.300000031789143,248
Annonaceae,Unonopsis osae,-83.525,8.7,25.516666571299236,242.16666666666666
Annonaceae,Unonopsis osae,-83.339797,8.403175,26.258333206176758,304.9166666666667
Annonaceae,Unonopsis osae,-83.516668,8.7,25.516666571299236,242.16666666666666
Annonaceae,Unonopsis osae,-83.493889,8.836944,26.0666667620341,288.25
Annonaceae,Unonopsis osae,-83.338889,8.406944,26.258333206176758,304.9166666666667
Annonaceae,Unonopsis osae,-83.595278,8.698889,24.61666663487752,235.25
Annonaceae,Unonopsis osae,-83.466667,8.6,25.825000127156574,233
Annonaceae,Unonopsis osae,-83.363972,8.788889,25.99166663487752,303.4166666666667
Annonaceae,Unonopsis osae,-83.51,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis osae,-83.51666,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis osae,-83.21444,8.65527,25.350000222524006,294.4166666666667
Annonaceae,Unonopsis osae,-83.55,8.7,25.19166644414266,257.0833333333333
Annonaceae,Unonopsis osae,-83.58,8.46,25.71666653951009,305.5833333333333
Annonaceae,Unonopsis osae,-83.52,8.71,24.47499990463257,277.5
Annonaceae,Unonopsis osae,-83.3333333,8.4166667,25.300000031789143,248
Annonaceae,Unonopsis osae,-83.58,8.68,24.61666663487752,239.08333333333334
Annonaceae,Unonopsis osae,-83.3430555,8.4166667,25.88333336512248,252.33333333333334
Annonaceae,Unonopsis osae,-84.1431,9.4408,26.433333079020183,265.3333333333333
Annonaceae,Unonopsis osae,-83.5503,8.5061,25.69166660308838,230.25
Annonaceae,Unonopsis osae,-83.2583,8.6747,25.78333330154419,290.75
Annonaceae,Unonopsis osae,-83.467,8.6,25.825000127156574,233
Annonaceae,Unonopsis osae,-83.5321,8.705165,25.291666666666668,277.3333333333333
Annonaceae,Unonopsis osae,-83.5162,8.711426,24.21666653951009,261.6666666666667
Annonaceae,Unonopsis osae,-83.5116,8.676521,25.708333174387615,247.08333333333334
Annonaceae,Unonopsis osae,-83.3347,8.409877,26.083333651224773,288.25
Annonaceae,Unonopsis osae,-83.3341,8.409825,26.083333651224773,288.25
Annonaceae,Unonopsis osae,-83.334,8.410939,26.083333651224773,288.25
Annonaceae,Unonopsis osae,-83.3233,8.398855,25.891666571299236,311.8333333333333
Annonaceae,Unonopsis osae,-83.3149,8.39666,25.458333333333332,282.0833333333333
Annonaceae,Unonopsis osae,-83.9519,10.0114,17.35000006357829,334.6666666666667
Annonaceae,Unonopsis osae,-83.51,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis osae,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis osae,-83.516667,8.7,25.516666571299236,242.16666666666666
Annonaceae,Unonopsis osae,-83.51666,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis osae,-83.21444,8.65527,25.350000222524006,294.4166666666667
Annonaceae,Unonopsis osae,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis osae,-83.583338,8.466667,26.05833339691162,305.3333333333333
Annonaceae,Unonopsis osae,-83.58,8.46,25.71666653951009,305.5833333333333
Annonaceae,Unonopsis osae,-83.527778,8.711111,24.416666825612385,286.0833333333333
Annonaceae,Unonopsis osae,-83.52,8.71,24.47499990463257,277.5
Annonaceae,Unonopsis osae,-83.58,8.68,24.61666663487752,239.08333333333334
Annonaceae,Unonopsis osae,-83.343055,8.416667,25.88333336512248,252.33333333333334
Annonaceae,Unonopsis osae,-83.516668,8.7,25.516666571299236,242.16666666666666
Annonaceae,Unonopsis osae,-83.493889,8.836944,26.0666667620341,288.25
Annonaceae,Unonopsis osae,-83.338889,8.406944,26.258333206176758,304.9166666666667
Annonaceae,Unonopsis osae,-83.466667,8.6,25.825000127156574,233
