familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Unonopsis theobromifolia,-79.6556015,9.39101028,24.84166653951009,225.16666666666666
Annonaceae,Unonopsis theobromifolia,-83.2,8.7,26.25833336512248,261.5
Annonaceae,Unonopsis theobromifolia,-84.31,9.85,20.949999809265137,221.58333333333334
Annonaceae,Unonopsis theobromifolia,-84.55,9.75,23.43333339691162,225.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.39,9.7,24.608333269755047,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.391667,9.7,24.758333047231037,230.58333333333334
Annonaceae,Unonopsis theobromifolia,-84.39,9.71,23.89999993642171,231.75
Annonaceae,Unonopsis theobromifolia,-84.38,9.7,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-83.530556,8.709722,24.416666825612385,286.0833333333333
Annonaceae,Unonopsis theobromifolia,-83.680556,8.625,25.49166663487752,233.41666666666666
Annonaceae,Unonopsis theobromifolia,-83.68,8.62,25.49166663487752,233.41666666666666
Annonaceae,Unonopsis theobromifolia,-83.566667,8.666667,24.883333524068195,267.8333333333333
Annonaceae,Unonopsis theobromifolia,-83.56,8.66,25.14999993642171,267.3333333333333
Annonaceae,Unonopsis theobromifolia,-84.395,9.714722,23.64999993642171,224.83333333333334
Annonaceae,Unonopsis theobromifolia,-84.384444,9.699722,24.608333269755047,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.38,9.69,24.9333332379659,234.25
Annonaceae,Unonopsis theobromifolia,-83.563889,8.686111,25.424999872843426,246.25
Annonaceae,Unonopsis theobromifolia,-83.56,8.68,25.424999872843426,241.83333333333334
Annonaceae,Unonopsis theobromifolia,-84.533333,9.766667,25.616666952768963,203
Annonaceae,Unonopsis theobromifolia,-84.53,9.76,25.36666663487752,212.5
Annonaceae,Unonopsis theobromifolia,-83.6,8.73,25.12500015894572,244.66666666666666
Annonaceae,Unonopsis theobromifolia,-83.554167,8.659722,25.325000127156574,265.4166666666667
Annonaceae,Unonopsis theobromifolia,-83.51,8.68,25.708333174387615,247.08333333333334
Annonaceae,Unonopsis theobromifolia,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis theobromifolia,-84.420833,9.741667,23.516666571299236,212.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.454919,8.73059,25.733333110809326,300.75
Annonaceae,Unonopsis theobromifolia,-84.373611,9.702778,22.875,228.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.21667,8.68333,25.69166644414266,249.16666666666666
Annonaceae,Unonopsis theobromifolia,-83.21,8.68,25.22499990463257,247.66666666666666
Annonaceae,Unonopsis theobromifolia,-84.566667,9.766667,24.24999984105428,217.25
Annonaceae,Unonopsis theobromifolia,-84.381944,9.697222,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-84.238889,9.715278,23.10000006357829,221.41666666666666
Annonaceae,Unonopsis theobromifolia,-83.486944,8.730556,25.516666571299236,264
Annonaceae,Unonopsis theobromifolia,-84.365278,9.705556,23.1916667620341,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-83.445556,8.740556,25.9333332379659,302.25
Annonaceae,Unonopsis theobromifolia,-84.383333,9.733333,22.22499990463257,204.25
Annonaceae,Unonopsis theobromifolia,-84.376389,9.693056,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-84.028889,9.476111,24.43333339691162,235.25
Annonaceae,Unonopsis theobromifolia,-84.380639,9.695583,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-83.466667,8.736111,25.508333206176758,274.5833333333333
Annonaceae,Unonopsis theobromifolia,-84.55,9.75,23.43333339691162,225.91666666666666
Annonaceae,Unonopsis theobromifolia,-83.55,8.68,25.241666475931805,238.33333333333334
Annonaceae,Unonopsis theobromifolia,-84.55833,9.75,23.641666571299236,235
Annonaceae,Unonopsis theobromifolia,-84.55,9.75833,23.3166667620341,224.83333333333334
Annonaceae,Unonopsis theobromifolia,-83.51666,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis theobromifolia,-84.33,9.7,24.81666660308838,245.08333333333334
Annonaceae,Unonopsis theobromifolia,-84.39166,9.7,24.608333269755047,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.33,9.7,24.81666660308838,245.08333333333334
Annonaceae,Unonopsis theobromifolia,-83.53,8.7,24.78333330154419,257.8333333333333
Annonaceae,Unonopsis theobromifolia,-83.68,8.62,25.49166663487752,233.41666666666666
Annonaceae,Unonopsis theobromifolia,-83.56,8.66,25.14999993642171,267.3333333333333
Annonaceae,Unonopsis theobromifolia,-84.39,9.71,23.89999993642171,231.75
Annonaceae,Unonopsis theobromifolia,-84.38,9.69,24.9333332379659,234.25
Annonaceae,Unonopsis theobromifolia,-83.56,8.68,25.424999872843426,241.83333333333334
Annonaceae,Unonopsis theobromifolia,-84.53,9.76,25.36666663487752,212.5
Annonaceae,Unonopsis theobromifolia,-83.55416,8.65972,25.325000127156574,265.4166666666667
Annonaceae,Unonopsis theobromifolia,-84.42,9.74,22.708333333333332,208.25
Annonaceae,Unonopsis theobromifolia,-84.5666667,9.7666667,24.24999984105428,217.25
Annonaceae,Unonopsis theobromifolia,-84.38194,9.69722,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-84.36528,9.7055556,23.1916667620341,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.5461,9.7781,25.616666952768963,198.5
Annonaceae,Unonopsis theobromifolia,-83.567,8.667,24.883333524068195,267.8333333333333
Annonaceae,Unonopsis theobromifolia,-84.577,9.58,26.566666920979817,236.33333333333334
Annonaceae,Unonopsis theobromifolia,-84.577,9.58,26.566666920979817,236.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.5655,8.665894,25.14999993642171,267.3333333333333
Annonaceae,Unonopsis theobromifolia,-83.5649,8.665886,25.14999993642171,267.3333333333333
Annonaceae,Unonopsis theobromifolia,-83.562,8.667234,25.300000031789143,253.75
Annonaceae,Unonopsis theobromifolia,-83.5301,8.703515,25.291666666666668,277.3333333333333
Annonaceae,Unonopsis theobromifolia,-83.5108,8.676689,25.708333174387615,247.08333333333334
Annonaceae,Unonopsis theobromifolia,-83.4914,8.719297,25.608333587646484,261.3333333333333
Annonaceae,Unonopsis theobromifolia,-83.2137,8.700417,26.041666666666668,265.6666666666667
Annonaceae,Unonopsis theobromifolia,-83.2087,8.688829,25.09166685740153,241.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.2046,8.701283,26.041666666666668,271.25
Annonaceae,Unonopsis theobromifolia,-79.6556015,9.39101028,24.84166653951009,225.16666666666666
Annonaceae,Unonopsis theobromifolia,-84.31,9.85,20.949999809265137,221.58333333333334
Annonaceae,Unonopsis theobromifolia,-84.55,9.75,23.43333339691162,225.91666666666666
Annonaceae,Unonopsis theobromifolia,-83.51666,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.51,8.7,26.125000317891438,247.33333333333334
Annonaceae,Unonopsis theobromifolia,-84.39,9.7,24.608333269755047,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.33,9.7,24.81666660308838,245.08333333333334
Annonaceae,Unonopsis theobromifolia,-84.39,9.71,23.89999993642171,231.75
Annonaceae,Unonopsis theobromifolia,-84.38,9.7,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-84.33,9.7,24.81666660308838,245.08333333333334
Annonaceae,Unonopsis theobromifolia,-83.680556,8.625,25.49166663487752,233.41666666666666
Annonaceae,Unonopsis theobromifolia,-83.68,8.62,25.49166663487752,233.41666666666666
Annonaceae,Unonopsis theobromifolia,-84.395,9.714722,23.64999993642171,224.83333333333334
Annonaceae,Unonopsis theobromifolia,-84.39,9.71,23.89999993642171,231.75
Annonaceae,Unonopsis theobromifolia,-84.384444,9.699722,24.608333269755047,232.91666666666666
Annonaceae,Unonopsis theobromifolia,-84.38,9.69,24.9333332379659,234.25
Annonaceae,Unonopsis theobromifolia,-84.533333,9.766667,25.616666952768963,203
Annonaceae,Unonopsis theobromifolia,-84.53,9.76,25.36666663487752,212.5
Annonaceae,Unonopsis theobromifolia,-83.6,8.73,25.12500015894572,244.66666666666666
Annonaceae,Unonopsis theobromifolia,-84.8333,10,26.93333339691162,153
Annonaceae,Unonopsis theobromifolia,-83.45,8.726667,25.833333333333332,294
Annonaceae,Unonopsis theobromifolia,-84.4,9.683333,25.09166685740153,219.08333333333334
Annonaceae,Unonopsis theobromifolia,-84.373611,9.702778,22.875,228.33333333333334
Annonaceae,Unonopsis theobromifolia,-83.21,8.68,25.22499990463257,247.66666666666666
Annonaceae,Unonopsis theobromifolia,-84.566667,9.766667,24.24999984105428,217.25
Annonaceae,Unonopsis theobromifolia,-84.381944,9.697222,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-84.383333,9.733333,22.22499990463257,204.25
Annonaceae,Unonopsis theobromifolia,-84.376389,9.693056,24.3083332379659,236.25
Annonaceae,Unonopsis theobromifolia,-83.466667,8.736111,25.508333206176758,274.5833333333333
