familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Urticaceae,Urera caracasana,-80.717,-1.567,22.416666666666668,44.583333333333336
Urticaceae,Urera caracasana,-79.617,-0.9,24.891666412353516,166.58333333333334
Urticaceae,Urera caracasana,-105.03982488,19.50534454,25.27499993642171,79
Urticaceae,Urera caracasana,-105.03735283,19.50559454,25.27499993642171,79
Urticaceae,Urera caracasana,-105.03651977,19.49642797,25.233333428700764,79.33333333333333
Urticaceae,Urera caracasana,-96.418889,19.541389,24.800000031789143,84.16666666666667
Urticaceae,Urera caracasana,-77.826,-1.919,22.5583332379659,311.1666666666667
Urticaceae,Urera caracasana,-77.208,-2.262,24.949999650319416,279.3333333333333
Urticaceae,Urera caracasana,-97.964257,20.278641,18.924999872843426,235.58333333333334
Urticaceae,Urera caracasana,-93.705969,16.301846,20.608333428700764,81.91666666666667
Urticaceae,Urera caracasana,-85.891113,11.307708,26.53333330154419,134.25
Urticaceae,Urera caracasana,-103.696882,19.423388,20.24166663487752,90.83333333333333
Urticaceae,Urera caracasana,-98.994241,21.398248,22.291666666666668,132.33333333333334
Urticaceae,Urera caracasana,-84.784312,10.301316,17.666666507720947,225.66666666666666
Urticaceae,Urera caracasana,-105.04,19.505,25.27499993642171,79
Urticaceae,Urera caracasana,-105.037,19.505,25.27499993642171,79
Urticaceae,Urera caracasana,-105.036,19.496,25.233333428700764,79.33333333333333
Urticaceae,Urera caracasana,-96.419,19.541,24.800000031789143,84.16666666666667
Urticaceae,Urera caracasana,-41.844147,-13.442881,17.53333306312561,89.41666666666667
Urticaceae,Urera caracasana,-52.4957,-3.601317,25.62499984105428,162.33333333333334
Urticaceae,Urera caracasana,-74.375627,-9.163761,26.425000349680584,151.5
Urticaceae,Urera caracasana,-96.931667,18.891111,21.633333206176758,135.58333333333334
Urticaceae,Urera caracasana,-97.103611,18.849722,20.133333524068195,108.33333333333333
Urticaceae,Urera caracasana,-103.566667,19.483333,17.599999984105427,83.25
Urticaceae,Urera caracasana,-82.616667,8.883333,12.849999984105429,235.33333333333334
Urticaceae,Urera caracasana,-87.15,12.616667,27.47500006357829,139.91666666666666
Urticaceae,Urera caracasana,-62.17,-9.12,25.175000031789143,191.33333333333334
Urticaceae,Urera caracasana,-100.152781,18.905831,21.28333330154419,102.08333333333333
Urticaceae,Urera caracasana,-100.15,18.9,21.458333492279053,103.33333333333333
Urticaceae,Urera caracasana,-44,-18,19.133333206176758,100.75
Urticaceae,Urera caracasana,-63,-5,26.766666730244953,200.91666666666666
Urticaceae,Urera caracasana,-96.88,19.2125,20.366666952768963,124.08333333333333
Urticaceae,Urera caracasana,-96.88,19.2125,20.366666952768963,124.08333333333333
Urticaceae,Urera caracasana,-99.2833,18.9914,16.12499984105428,92.33333333333333
Urticaceae,Urera caracasana,-89.084167,16.819445,23.38333336512248,185.75
Urticaceae,Urera caracasana,-83.93,9.54,16.024999777475994,260.25
Urticaceae,Urera caracasana,-75.8333,-9.5,19.383333524068195,68.58333333333333
Urticaceae,Urera caracasana,-101.600561,17.975561,24.825000127156574,81.91666666666667
Urticaceae,Urera caracasana,-101.6,17.97,24.34166685740153,87.75
Urticaceae,Urera caracasana,-101.25,18.05,23.02499993642171,92.33333333333333
Urticaceae,Urera caracasana,-77.333333,8.05,23.88333336512248,210.16666666666666
Urticaceae,Urera caracasana,-59.83,3.16,27.699999809265137,136.33333333333334
Urticaceae,Urera caracasana,-59.8,3.35,27.800000190734863,133.41666666666666
Urticaceae,Urera caracasana,-103.16,18.77,22.72499990463257,99.41666666666667
Urticaceae,Urera caracasana,-103.16,18.776939,22.60000006357829,99.83333333333333
Urticaceae,Urera caracasana,-92.616619,15.416558,19.03333330154419,130.58333333333334
Urticaceae,Urera caracasana,-47.0608,-22.9056,20.31666644414266,112
Urticaceae,Urera caracasana,-92.61,15.41,19.03333330154419,130.58333333333334
Urticaceae,Urera caracasana,-79.65,9.17222,26.550000031789143,210.16666666666666
Urticaceae,Urera caracasana,-63.5,6.3333,25.949999809265137,193.25
Urticaceae,Urera caracasana,-92.910692,18.002239,26.791666507720947,164.83333333333334
Urticaceae,Urera caracasana,-42.5,-22,19.52500033378601,110.58333333333333
Urticaceae,Urera caracasana,-98.808122,21.255328,23.900000254313152,156.33333333333334
Urticaceae,Urera caracasana,-92.29,15.240281,15.69166668256124,122.25
Urticaceae,Urera caracasana,-92.25,15.666667,23.81666660308838,127.5
Urticaceae,Urera caracasana,-92.237781,15.213331,14.25,127
Urticaceae,Urera caracasana,-68.670602,0.281953,25.633333206176758,287.3333333333333
Urticaceae,Urera caracasana,-64.5,9,26.14999993642171,85.91666666666667
Urticaceae,Urera caracasana,-84.1,9.8,18.78333330154419,182.16666666666666
Urticaceae,Urera caracasana,-97.983056,20.227222,18.383333047231037,200.33333333333334
Urticaceae,Urera caracasana,-77.366667,8.35,21.46666669845581,195.33333333333334
Urticaceae,Urera caracasana,-97.703889,20.451944,22.908333619435627,133.33333333333334
Urticaceae,Urera caracasana,-97.703889,20.451944,22.908333619435627,133.33333333333334
Urticaceae,Urera caracasana,-97.278056,19.922778,19.741666793823242,157.33333333333334
Urticaceae,Urera caracasana,-95.191111,18.4575,24.65000009536743,174.58333333333334
Urticaceae,Urera caracasana,-99.058333,21.308333,19.741666793823242,81.75
Urticaceae,Urera caracasana,-99.037489,21.307769,19.541666348775227,84.5
Urticaceae,Urera caracasana,-98.875,21.225,22.93333339691162,137.91666666666666
Urticaceae,Urera caracasana,-79.616667,9.208889,26.52499993642171,219.41666666666666
Urticaceae,Urera caracasana,-77.683333,7.75,24.050000031789143,203.41666666666666
Urticaceae,Urera caracasana,-77.4,7.9,26.3083332379659,198.5
Urticaceae,Urera caracasana,-96.125,18.091667,25.958333333333332,206.08333333333334
Urticaceae,Urera caracasana,-95.375,18.491667,25.47499990463257,170.83333333333334
Urticaceae,Urera caracasana,-95.191667,18.458333,24.65833346048991,174.66666666666666
Urticaceae,Urera caracasana,-95.075,18.458333,24.575000127156574,167.16666666666666
Urticaceae,Urera caracasana,-95.041667,18.491667,25.1916667620341,192.25
Urticaceae,Urera caracasana,-80.11666,8.61666,23.72499990463257,198.58333333333334
Urticaceae,Urera caracasana,-99.404169,22.580561,23.083333174387615,107.25
Urticaceae,Urera caracasana,-98.950908,21.42525,23.458333492279053,148.5
Urticaceae,Urera caracasana,-79.05166,9.14083,26.90833330154419,187.33333333333334
Urticaceae,Urera caracasana,-53,-1.5,26.333333333333332,152.33333333333334
Urticaceae,Urera caracasana,-97.025,20.058333,24.233333428700764,146.66666666666666
Urticaceae,Urera caracasana,-79.38,9.095,26.816667079925537,159.41666666666666
Urticaceae,Urera caracasana,-77.73333,8.06666,26.758333206176758,189.25
Urticaceae,Urera caracasana,-85.98333,13.06666,18.258333206176758,137.58333333333334
Urticaceae,Urera caracasana,-51,-24,18.474999984105427,125.08333333333333
Urticaceae,Urera caracasana,-99.191111,23.098889,20.575000047683716,82.58333333333333
Urticaceae,Urera caracasana,-96.108333,17.891667,24.36666663487752,255.58333333333334
Urticaceae,Urera caracasana,-51.81103057,-16.96063322,22.616666952768963,139.41666666666666
Urticaceae,Urera caracasana,-99.179544,23.052239,21.291666905085247,84.58333333333333
Urticaceae,Urera caracasana,-95.291667,18.458333,24.958333333333332,178.08333333333334
Urticaceae,Urera caracasana,-93.525,17.441667,25.71666653951009,272.25
Urticaceae,Urera caracasana,-93.486944,16.981111,23.675000031789143,127.25
Urticaceae,Urera caracasana,-92.875,17.125,17.71666646003723,117.16666666666667
Urticaceae,Urera caracasana,-92.871053,17.105036,17.925000111262005,116.5
Urticaceae,Urera caracasana,-84.15722,10.14388,15.291666746139526,206.83333333333334
Urticaceae,Urera caracasana,-79.84972,8.74027,26.291666507720947,190.41666666666666
Urticaceae,Urera caracasana,-79.75305,9.16833,26.05833339691162,214.75
Urticaceae,Urera caracasana,-79.56222,8.97722,26.916666825612385,177.41666666666666
Urticaceae,Urera caracasana,-39.49,-15.41,23.525000254313152,109.91666666666667
Urticaceae,Urera caracasana,-99.1,18.986667,19.400000254313152,90.08333333333333
Urticaceae,Urera caracasana,-79.75138,9.16944,26.05833339691162,214.75
Urticaceae,Urera caracasana,-79.51583,8.98305,27.124999682108562,180.25
Urticaceae,Urera caracasana,-78.13333,8.66666,26.733333428700764,186.25
Urticaceae,Urera caracasana,-53.2,3.63,24.9416667620341,220.75
Urticaceae,Urera caracasana,-99.511669,21.951389,21.22499990463257,68.25
Urticaceae,Urera caracasana,-97.069722,18.927222,19.383333206176758,122.5
