familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Vachellia allenii,-83.472327,8.44149,NA,NA
Fabaceae,Vachellia allenii,-83.611751,9.11722,21.65833330154419,264.4166666666667
Fabaceae,Vachellia allenii,-83.536207,8.52455,25.84166669845581,240.25
Fabaceae,Vachellia allenii,-83.459507,8.535766,23.616666475931805,268.75
Fabaceae,Vachellia allenii,-83.373789,8.625247,NA,NA
Fabaceae,Vachellia allenii,-83.957504,9.499001,22.00833336512248,238.83333333333334
Fabaceae,Vachellia allenii,-83.845541,9.431655,23.333333333333332,242.83333333333334
Fabaceae,Vachellia allenii,-83.569237,8.433996,NA,NA
Fabaceae,Vachellia allenii,-83.53168,8.403867,NA,NA
Fabaceae,Vachellia allenii,-83.227765,8.695283,25.608333587646484,239.58333333333334
Fabaceae,Vachellia allenii,-83.015585,8.716912,24.75833336512248,253.75
Fabaceae,Vachellia allenii,-83.524444,8.661111,26.233333110809326,229.5
Fabaceae,Vachellia allenii,-83.51,8.69,25.983333269755047,250.58333333333334
Fabaceae,Vachellia allenii,-83.849444,9.283333,26.05833339691162,279.8333333333333
Fabaceae,Vachellia allenii,-83.507194,8.664147,26.40833314259847,246.83333333333334
Fabaceae,Vachellia allenii,-83.5,8.64,26.233333110809326,225
Fabaceae,Vachellia allenii,-83.45,8.65,26.458333174387615,295.8333333333333
Fabaceae,Vachellia allenii,-83.4475,8.646111,26.458333174387615,295.8333333333333
Fabaceae,Vachellia allenii,-83.59,8.47,26.05833339691162,305.3333333333333
Fabaceae,Vachellia allenii,-84.05,9.48,25.30833339691162,257.4166666666667
Fabaceae,Vachellia allenii,-83.583335,8.466667,26.05833339691162,305.3333333333333
Fabaceae,Vachellia allenii,-83.55,8.45,25.458333333333332,291.5833333333333
Fabaceae,Vachellia allenii,-83.583334,8.466667,26.05833339691162,305.3333333333333
Fabaceae,Vachellia allenii,-83.58,8.46,25.71666653951009,305.5833333333333
Fabaceae,Vachellia allenii,-83.566667,8.7,25.5,239.91666666666666
Fabaceae,Vachellia allenii,-83.56,8.7,25.233333269755047,236.25
Fabaceae,Vachellia allenii,-83.55,8.666667,25.300000031789143,238.58333333333334
Fabaceae,Vachellia allenii,-83.52,8.72,23.858333428700764,289.75
Fabaceae,Vachellia allenii,-83.51,8.71,24.21666653951009,261.6666666666667
Fabaceae,Vachellia allenii,-83.49,8.45,NA,NA
Fabaceae,Vachellia allenii,-83.4875,8.459722,25.233333110809326,242.41666666666666
Fabaceae,Vachellia allenii,-83.216667,8.683333,25.69166644414266,249.16666666666666
Fabaceae,Vachellia allenii,-83.21,8.68,25.22499990463257,247.66666666666666
Fabaceae,Vachellia allenii,-84,9.6,18.891666571299236,244.5
Fabaceae,Vachellia allenii,-83.2,8.66667,25.608333587646484,259.75
Fabaceae,Vachellia allenii,-83.21,8.68,25.22499990463257,247.66666666666666
Fabaceae,Vachellia allenii,-83.76,9.2,25.300000031789143,255.91666666666666
Fabaceae,Vachellia allenii,-83.594444,8.477778,26.258333206176758,305.3333333333333
Fabaceae,Vachellia allenii,-83.238897,8.691518,25.14999993642171,249.58333333333334
Fabaceae,Vachellia allenii,-84.12804,9.574678,23.674999872843426,243.41666666666666
Fabaceae,Vachellia allenii,-83.3528,8.7786,26.4333332379659,291.0833333333333
Fabaceae,Vachellia allenii,-83.352778,8.778611,26.4333332379659,291.0833333333333
Fabaceae,Vachellia allenii,-83.216667,8.683333,25.69166644414266,249.16666666666666
Fabaceae,Vachellia allenii,-83.2167,8.68333,25.69166644414266,249.16666666666666
Fabaceae,Vachellia allenii,-83.2167,8.68333,25.69166644414266,249.16666666666666
