familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Humiraceae,Vantanea occidentalis,-76.5833,3.9166,17.583333651224773,138.75
Humiraceae,Vantanea occidentalis,-76.5833,3.9166,17.583333651224773,138.75
Humiraceae,Vantanea occidentalis,-77,3.91666667,26.27500009536743,462.1666666666667
Humiraceae,Vantanea occidentalis,-76.655741,5.692176,26.983333269755047,289.3333333333333
Humiraceae,Vantanea occidentalis,-84.16,10.7,25.86666663487752,293.5
Humiraceae,Vantanea occidentalis,-84.16,10.7,25.86666663487752,293.5
Humiraceae,Vantanea occidentalis,-78.55,1.13333333,23.825000127156574,239.5
Humiraceae,Vantanea occidentalis,-78.56666667,1.2,24.21666669845581,241.33333333333334
Humiraceae,Vantanea occidentalis,-84.01666667,10.48333333,26.03333330154419,310.8333333333333
Humiraceae,Vantanea occidentalis,-76.625,5.47861111,26.65833330154419,594
Humiraceae,Vantanea occidentalis,-77.13333333,3.93333333,26.049999713897705,543.0833333333334
Humiraceae,Vantanea occidentalis,-84.06,10.45,25.933333079020183,302.4166666666667
