familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Vatairea erythrocarpa,-75.9833333,-1.6,25.508333206176758,269.1666666666667
Fabaceae,Vatairea erythrocarpa,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Fabaceae,Vatairea erythrocarpa,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Fabaceae,Vatairea erythrocarpa,-79.74066954,9.16886514,25.891666571299236,214.25
Fabaceae,Vatairea erythrocarpa,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Fabaceae,Vatairea erythrocarpa,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Fabaceae,Vatairea erythrocarpa,-79.74438574,9.15660996,26.416666507720947,215.41666666666666
Fabaceae,Vatairea erythrocarpa,-79.74066954,9.16886514,25.891666571299236,214.25
Fabaceae,Vatairea erythrocarpa,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Fabaceae,Vatairea erythrocarpa,-51.59084,-1.78128,26.058333079020183,185.16666666666666
Fabaceae,Vatairea erythrocarpa,-51.510980000000004,-1.73408,26.049999713897705,185.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.48499,-1.72963,26.041666507720947,184.75
Fabaceae,Vatairea erythrocarpa,-51.4309,-1.72358,26.074999968210857,184.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.59084,-1.78128,26.058333079020183,185.16666666666666
Fabaceae,Vatairea erythrocarpa,-51.510980000000004,-1.73408,26.049999713897705,185.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.48499,-1.72963,26.041666507720947,184.75
Fabaceae,Vatairea erythrocarpa,-51.4309,-1.72358,26.074999968210857,184.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.59084,-1.78128,26.058333079020183,185.16666666666666
Fabaceae,Vatairea erythrocarpa,-51.510980000000004,-1.73408,26.049999713897705,185.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.48499,-1.72963,26.041666507720947,184.75
Fabaceae,Vatairea erythrocarpa,-51.4309,-1.72358,26.074999968210857,184.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.59084,-1.78128,26.058333079020183,185.16666666666666
Fabaceae,Vatairea erythrocarpa,-51.510980000000004,-1.73408,26.049999713897705,185.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.48499,-1.72963,26.041666507720947,184.75
Fabaceae,Vatairea erythrocarpa,-51.4309,-1.72358,26.074999968210857,184.83333333333334
Fabaceae,Vatairea erythrocarpa,-51.59084,-1.78128,26.058333079020183,185.16666666666666
Fabaceae,Vatairea erythrocarpa,-51.510980000000004,-1.73408,26.049999713897705,185.83333333333334
