familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Myristicaceae,Virola koschnyi,-84.0789,10.3328,23.71666669845581,291
Myristicaceae,Virola koschnyi,-88.9130556,16.4955555,23.9416667620341,219.25
Myristicaceae,Virola koschnyi,-79.35,-2.567,22.350000222524006,113.83333333333333
Myristicaceae,Virola koschnyi,-83.91666,11.9,25.950000127156574,291.6666666666667
Myristicaceae,Virola koschnyi,-84.39,9.7,24.608333269755047,232.91666666666666
Myristicaceae,Virola koschnyi,-84.53,9.77,25.616666952768963,203
Myristicaceae,Virola koschnyi,-83.91666,11.9,25.950000127156574,291.6666666666667
Myristicaceae,Virola koschnyi,-85.3998,10.876985,23.12499984105428,239.25
Myristicaceae,Virola koschnyi,-85.12921,10.75391,18.3083332379659,265.0833333333333
Myristicaceae,Virola koschnyi,-83.8566667,10.1977777,24.716667016347248,306.1666666666667
Myristicaceae,Virola koschnyi,-83.55,8.67,25.300000031789143,238.58333333333334
Myristicaceae,Virola koschnyi,-86.83333,15.66666,20.166666984558105,110.91666666666667
Myristicaceae,Virola koschnyi,-84.53,9.76,25.36666663487752,212.5
Myristicaceae,Virola koschnyi,-84,10.64,25.858333428700764,310.4166666666667
Myristicaceae,Virola koschnyi,-83.58,8.48,25.62500015894572,310
Myristicaceae,Virola koschnyi,-88.716667,16.55,25.35000006357829,206.41666666666666
Myristicaceae,Virola koschnyi,-88.716667,16.55,25.35000006357829,206.41666666666666
Myristicaceae,Virola koschnyi,-88.716667,16.55,25.35000006357829,206.41666666666666
Myristicaceae,Virola koschnyi,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Myristicaceae,Virola koschnyi,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Myristicaceae,Virola koschnyi,-84.02,10.42,25.766666889190674,314.9166666666667
Myristicaceae,Virola koschnyi,-84.0036111,10.4311111,26.008333206176758,307.9166666666667
Myristicaceae,Virola koschnyi,-88.465,16.775833,25.458333174387615,185
Myristicaceae,Virola koschnyi,-84.5,13,25.05833355585734,209
Myristicaceae,Virola koschnyi,-84,10.5,26.02499993642171,310.25
