familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Hypericaceae,Vismia macrophylla,-76.16666,-0.05,25.22500006357829,291.4166666666667
Hypericaceae,Vismia macrophylla,-76.183,0.016,25.175000349680584,296.75
Hypericaceae,Vismia macrophylla,-76.18333,0.01666,25.175000349680584,296.75
Hypericaceae,Vismia macrophylla,-72.43319,5.51129,19.25833336512248,176.66666666666666
Hypericaceae,Vismia macrophylla,-72.404861,5.504389,22.69166660308838,227.33333333333334
Hypericaceae,Vismia macrophylla,-68.51666,-14.71666,19.541666666666668,114.33333333333333
Hypericaceae,Vismia macrophylla,-83.41666,14.08333,26.00833336512248,222.41666666666666
Hypericaceae,Vismia macrophylla,-66.1,-11.03333,27.166666507720947,142
Hypericaceae,Vismia macrophylla,-65.35333,-9.95555,26.458333492279053,142.25
Hypericaceae,Vismia macrophylla,-73.816667,3.9,24.21666685740153,339.0833333333333
Hypericaceae,Vismia macrophylla,-40.574722,-15.264722,23.041666825612385,67.08333333333333
Hypericaceae,Vismia macrophylla,-39.159444,-13.172222,23.5,139.33333333333334
Hypericaceae,Vismia macrophylla,-39.083333,-15.15,24.208333174387615,150.33333333333334
Hypericaceae,Vismia macrophylla,-39.083333,-14.35,23.90833314259847,176.16666666666666
Hypericaceae,Vismia macrophylla,-38.383333,-12.55,24.175000190734863,137.75
Hypericaceae,Vismia macrophylla,-39.1,-15.95,24.166666666666668,126.33333333333333
Hypericaceae,Vismia macrophylla,-66.905,4.058,27.641666730244953,256.5
Hypericaceae,Vismia macrophylla,-66.3,4.7,27.608333269755047,252.41666666666666
Hypericaceae,Vismia macrophylla,-84.76,10.91,26.28333330154419,234.5
Hypericaceae,Vismia macrophylla,-83.91666,11.9,25.950000127156574,291.6666666666667
Hypericaceae,Vismia macrophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Hypericaceae,Vismia macrophylla,-84.02,10.42,25.766666889190674,314.9166666666667
Hypericaceae,Vismia macrophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Hypericaceae,Vismia macrophylla,-88.452222,16.781944,25.391666730244953,184.58333333333334
Hypericaceae,Vismia macrophylla,-59.1657,-10.1543,25.600000222524006,161.16666666666666
Hypericaceae,Vismia macrophylla,-59.1657,-10.1543,25.600000222524006,161.16666666666666
Hypericaceae,Vismia macrophylla,-78.1869,-1.4628,18.10000006357829,196.5
Hypericaceae,Vismia macrophylla,-75.5,7,16.18333339691162,220.91666666666666
Hypericaceae,Vismia macrophylla,-75.4,-10.5667,18.80833371480306,108.25
Hypericaceae,Vismia macrophylla,-74.14,-9.1839,26.22499990463257,146.33333333333334
Hypericaceae,Vismia macrophylla,-65.9119,7.0758,27.366666952768963,155.91666666666666
Hypericaceae,Vismia macrophylla,-59,5,26.199999968210857,191.58333333333334
Hypericaceae,Vismia macrophylla,-58.7017,4.7364,26.74999984105428,194.58333333333334
Hypericaceae,Vismia macrophylla,-55.625,4.1006,26.40000009536743,190.58333333333334
Hypericaceae,Vismia macrophylla,-52.9708,3.8558,25.333333333333332,235.08333333333334
Hypericaceae,Vismia macrophylla,-52.8731,-10.8339,25.53333346048991,172.25
Hypericaceae,Vismia macrophylla,-72.8667,3.8811,26.583333174387615,229.33333333333334
Hypericaceae,Vismia macrophylla,-72,-1,26.09166669845581,233.91666666666666
Hypericaceae,Vismia macrophylla,-77,6,26.47500006357829,536.25
Hypericaceae,Vismia macrophylla,-76.5,3.75,19.62500015894572,133.41666666666666
Hypericaceae,Vismia macrophylla,-75.5,7,16.18333339691162,220.91666666666666
Hypericaceae,Vismia macrophylla,-54.3333,5.6667,26.47500006357829,200.83333333333334
Hypericaceae,Vismia macrophylla,-77,6,26.47500006357829,536.25
Hypericaceae,Vismia macrophylla,-73,3.5,26.59999990463257,241.5
Hypericaceae,Vismia macrophylla,-77,6,26.47500006357829,536.25
Hypericaceae,Vismia macrophylla,-75,-4,26.225000222524006,209
Hypericaceae,Vismia macrophylla,-72,-1,26.09166669845581,233.91666666666666
Hypericaceae,Vismia macrophylla,-72,-1,26.09166669845581,233.91666666666666
Hypericaceae,Vismia macrophylla,-84,10.5,26.02499993642171,310.25
Hypericaceae,Vismia macrophylla,-53,-4,25.233333110809326,142.33333333333334
Hypericaceae,Vismia macrophylla,-70.25,-12,24.558333079020183,225.75
Hypericaceae,Vismia macrophylla,-74.821567,7.657633,28.549999872843426,302.5
Hypericaceae,Vismia macrophylla,-74.802083,7.900556,28.324999809265137,299.8333333333333
Hypericaceae,Vismia macrophylla,-74.786422,7.928422,28.24999984105428,310.9166666666667
Hypericaceae,Vismia macrophylla,-74.779694,7.915222,28.24999984105428,314.0833333333333
Hypericaceae,Vismia macrophylla,-74.777583,7.916583,28.24999984105428,314.0833333333333
Hypericaceae,Vismia macrophylla,-74.777111,7.917,28.100000222524006,327.4166666666667
Hypericaceae,Vismia macrophylla,-74.787,7.934167,28.21666653951009,320.6666666666667
