familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Vochysiaceae,Vochysia allenii,-83.37,8.77,25.97499990463257,298.5833333333333
Vochysiaceae,Vochysia allenii,-84.18,10.68,25.833333174387615,293.75
Vochysiaceae,Vochysia allenii,-83.37777,8.77222,25.983333269755047,300.5
Vochysiaceae,Vochysia allenii,-83.2,8.67,25.608333587646484,259.75
Vochysiaceae,Vochysia allenii,-83.08,9.39,20.550000031789143,264.4166666666667
Vochysiaceae,Vochysia allenii,-84.8333,10,26.93333339691162,153
Vochysiaceae,Vochysia allenii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Vochysiaceae,Vochysia allenii,-84.33333,10.96666,25.708333333333332,263.75
Vochysiaceae,Vochysia allenii,-84.63333,11.13333,26.200000127156574,214.41666666666666
Vochysiaceae,Vochysia allenii,-84.3397222,11.1177778,25.68333339691162,253.33333333333334
Vochysiaceae,Vochysia allenii,-84.033334,10.283333,22.78333330154419,294.5
Vochysiaceae,Vochysia allenii,-83,9.458333,21.875,273.1666666666667
Vochysiaceae,Vochysia allenii,-84.166667,10.7,25.88333336512248,289.9166666666667
Vochysiaceae,Vochysia allenii,-83.330556,8.753056,25.575000127156574,287.5833333333333
Vochysiaceae,Vochysia allenii,-83.202778,8.677778,25.37500015894572,259.5833333333333
Vochysiaceae,Vochysia allenii,-83.081944,9.396944,20.38333336512248,260
Vochysiaceae,Vochysia allenii,-83.543056000000007,8.731389,23.891666889190674,291.4166666666667
Vochysiaceae,Vochysia allenii,-83.856667,10.197778,24.716667016347248,306.1666666666667
Vochysiaceae,Vochysia allenii,-83.244148,8.672538,24.6833332379659,297.5833333333333
Vochysiaceae,Vochysia allenii,-83.857778,10.191111,24.616666793823242,312.0833333333333
Vochysiaceae,Vochysia allenii,-83.088889,9.073611,21.674999872843426,241.33333333333334
Vochysiaceae,Vochysia allenii,-84.180556,10.686111,25.84999990463257,278.8333333333333
Vochysiaceae,Vochysia allenii,-83.466667,8.736111,25.508333206176758,274.5833333333333
Vochysiaceae,Vochysia allenii,-83.53,8.71,24.416666825612385,286.0833333333333
Vochysiaceae,Vochysia allenii,-84.01,9.47,23.53333346048991,233.66666666666666
Vochysiaceae,Vochysia allenii,-83.62,9.89,21.041666666666668,243.33333333333334
Vochysiaceae,Vochysia allenii,-83.55944,9.86805,21.15833314259847,248.41666666666666
Vochysiaceae,Vochysia allenii,-78.92972,9.26666,25.59166685740153,187.58333333333334
Vochysiaceae,Vochysia allenii,-78.92916,9.26694,24.991666793823242,189.08333333333334
Vochysiaceae,Vochysia allenii,-77.13333,3.93333,26.049999713897705,543.0833333333334
Vochysiaceae,Vochysia allenii,-76.97444,3.99638,26.34166669845581,544.9166666666666
Vochysiaceae,Vochysia allenii,-84.03,10.28,23.1916667620341,298.8333333333333
Vochysiaceae,Vochysia allenii,-83,9.45,21.483333428700764,274.8333333333333
Vochysiaceae,Vochysia allenii,-84.18,10.68,25.833333174387615,293.75
Vochysiaceae,Vochysia allenii,-83.8566667,10.1977777,24.716667016347248,306.1666666666667
Vochysiaceae,Vochysia allenii,-79.36055,9.21916,22.86666663487752,251.75
Vochysiaceae,Vochysia allenii,-83.37,8.77,25.97499990463257,298.5833333333333
Vochysiaceae,Vochysia allenii,-84.16,10.7,25.86666663487752,293.5
Vochysiaceae,Vochysia allenii,-84.08,10.27,20.59999990463257,288.8333333333333
Vochysiaceae,Vochysia allenii,-83.37,8.77,25.97499990463257,298.5833333333333
Vochysiaceae,Vochysia allenii,-83.2,8.67,25.608333587646484,259.75
Vochysiaceae,Vochysia allenii,-83.08,9.39,20.550000031789143,264.4166666666667
Vochysiaceae,Vochysia allenii,-84.07,10.29,21.866666952768963,289.5
Vochysiaceae,Vochysia allenii,-83.54,8.73,24.891666730244953,293.1666666666667
Vochysiaceae,Vochysia allenii,-84.01,9.49,22.02500009536743,249.08333333333334
Vochysiaceae,Vochysia allenii,-85,12.5,23.55833355585734,166.66666666666666
Vochysiaceae,Vochysia allenii,-84.2206,10.6914,25.59999990463257,285.5833333333333
Vochysiaceae,Vochysia allenii,-84.012200000000007,10.4233,25.874999682108562,310.5
Vochysiaceae,Vochysia allenii,-83.6478,9.8906,23.074999968210857,283.0833333333333
Vochysiaceae,Vochysia allenii,-83.5653,10.4158,25.858332951863606,304.6666666666667
Vochysiaceae,Vochysia allenii,-83.5411,8.6994,24.80833339691162,263.1666666666667
Vochysiaceae,Vochysia allenii,-79.5053,9.2722,25.858333269755047,220.58333333333334
Vochysiaceae,Vochysia allenii,-77.7681,7.1172,26.35000006357829,263.25
Vochysiaceae,Vochysia allenii,-83.95315,9.4828,22.3083332379659,257.5
Vochysiaceae,Vochysia allenii,-84.05528161,10.26786978,21.449999968210857,303.75
Vochysiaceae,Vochysia allenii,-84.05528161,10.26786978,21.449999968210857,303.75
Vochysiaceae,Vochysia allenii,-84.05528161,10.26786978,21.449999968210857,303.75
Vochysiaceae,Vochysia allenii,-76.59333,5.49944,26.5666667620341,606.9166666666666
