familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sapindaceae,Vouarana anomala,-76.2334,-0.8668167,25.141666889190674,273.1666666666667
Sapindaceae,Vouarana anomala,-76.1901167,-1.0224167,25.09166669845581,273.8333333333333
Sapindaceae,Vouarana anomala,-83.45,8.73,25.833333333333332,294
Sapindaceae,Vouarana anomala,-83.44,8.73,25.925000031789143,295.8333333333333
Sapindaceae,Vouarana anomala,-84.55,9.75,23.43333339691162,225.91666666666666
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Sapindaceae,Vouarana anomala,-84,10.5,26.02499993642171,310.25
Sapindaceae,Vouarana anomala,-74.16667,2.6667,25.516666412353516,190.66666666666666
Sapindaceae,Vouarana anomala,-74.1624,2.6657,25.49999984105428,189.08333333333334
Sapindaceae,Vouarana anomala,-72.63806,2.37611,27.766666889190674,227.83333333333334
Sapindaceae,Vouarana anomala,-74.166667,2.666667,25.516666412353516,190.66666666666666
Sapindaceae,Vouarana anomala,-83.56,8.71,25.233333269755047,247.16666666666666
Sapindaceae,Vouarana anomala,-84.01667,10.433333,25.949999809265137,316.25
Sapindaceae,Vouarana anomala,-83.283333,8.4,NA,NA
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-83.470367,8.734216,25.508333206176758,274.5833333333333
Sapindaceae,Vouarana anomala,-83.454167,8.731111,25.733333110809326,300.75
Sapindaceae,Vouarana anomala,-83.733334,8.616667,NA,NA
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-83.441667,8.730556,25.833333333333332,294
Sapindaceae,Vouarana anomala,-84.559722,9.758333,24.0583332379659,231.66666666666666
Sapindaceae,Vouarana anomala,-83.580557,8.716667,24.63333336512248,255.83333333333334
Sapindaceae,Vouarana anomala,-83.566667,8.683333,25.22499990463257,247.58333333333334
Sapindaceae,Vouarana anomala,-84.373611,9.702778,22.875,228.33333333333334
Sapindaceae,Vouarana anomala,-84.033333,10.433333,25.858332951863606,310.9166666666667
Sapindaceae,Vouarana anomala,-84.376389,9.693056,24.3083332379659,236.25
Sapindaceae,Vouarana anomala,-83.453139,8.7325,25.733333110809326,300.75
Sapindaceae,Vouarana anomala,-65.916667,-0.25,26.49166663487752,177
Sapindaceae,Vouarana anomala,-57.166667,-1.166667,26.875,216.08333333333334
Sapindaceae,Vouarana anomala,-63.3,0.8,26.65000009536743,189.25
Sapindaceae,Vouarana anomala,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-74.16667,2.6667,25.516666412353516,190.66666666666666
Sapindaceae,Vouarana anomala,-74.1624,2.6657,25.49999984105428,189.08333333333334
Sapindaceae,Vouarana anomala,-65.92,-0.25,26.49166663487752,177
Sapindaceae,Vouarana anomala,-57.17,-1.166667,26.875,216.08333333333334
Sapindaceae,Vouarana anomala,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-59.97,-2.883333,26.508333683013916,193.08333333333334
Sapindaceae,Vouarana anomala,-84.1211,10.4054,25.458333174387615,308.0833333333333
Sapindaceae,Vouarana anomala,-84.0656,10.4426,25.933333079020183,302.4166666666667
Sapindaceae,Vouarana anomala,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Sapindaceae,Vouarana anomala,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Sapindaceae,Vouarana anomala,-84.01666,10.43333,25.949999809265137,317.4166666666667
Sapindaceae,Vouarana anomala,-83.71,8.66,26.18333355585734,301
Sapindaceae,Vouarana anomala,-83.71,8.66,26.18333355585734,301
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-83.56666,8.68333,25.424999872843426,241.83333333333334
Sapindaceae,Vouarana anomala,-84.37361,9.70277,22.875,228.33333333333334
Sapindaceae,Vouarana anomala,-76.5,-0.8,25.050000031789143,284.25
Sapindaceae,Vouarana anomala,-76.21666,-0.96666,25.1916667620341,273.4166666666667
Sapindaceae,Vouarana anomala,-83.71,8.66,26.18333355585734,301
Sapindaceae,Vouarana anomala,-84.01,10.43,25.949999809265137,317.4166666666667
Sapindaceae,Vouarana anomala,-83.71,8.66,26.18333355585734,301
Sapindaceae,Vouarana anomala,-83.58,8.71,24.96666669845581,245.25
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-83.45,8.73,25.833333333333332,294
Sapindaceae,Vouarana anomala,-83.44,8.73,25.925000031789143,295.8333333333333
Sapindaceae,Vouarana anomala,-83.21,8.68,25.22499990463257,247.66666666666666
Sapindaceae,Vouarana anomala,-83.57,8.71,25.4333332379659,259.5833333333333
Sapindaceae,Vouarana anomala,-83.56,8.68,25.424999872843426,241.83333333333334
Sapindaceae,Vouarana anomala,-83.1603,9.9828,25.666666507720947,286.25
Sapindaceae,Vouarana anomala,-83.0022,9.9189,26.333333492279053,283.6666666666667
Sapindaceae,Vouarana anomala,-82.5192,9.3961,25.983333428700764,252.25
Sapindaceae,Vouarana anomala,-82.27,9.3919,25.87500015894572,242.91666666666666
Sapindaceae,Vouarana anomala,-79.9842,9.2975,26.450000127156574,196.91666666666666
Sapindaceae,Vouarana anomala,-78.0025,8.2589,26.633333524068195,169.91666666666666
Sapindaceae,Vouarana anomala,-76.54,-0.5131,24.983333269755047,279.1666666666667
Sapindaceae,Vouarana anomala,-76.2197,-0.9042,25.1916667620341,272.6666666666667
Sapindaceae,Vouarana anomala,-76.1267,-0.6131,25.15833330154419,267.0833333333333
Sapindaceae,Vouarana anomala,-75.7878,-1.0353,25.324999968210857,251.66666666666666
Sapindaceae,Vouarana anomala,-73.7358,7.8639,28.358333587646484,223.91666666666666
Sapindaceae,Vouarana anomala,-71.0772,-1.0961,26.074999968210857,244.58333333333334
Sapindaceae,Vouarana anomala,-69.4147,-1.4144,25.916666825612385,267.4166666666667
Sapindaceae,Vouarana anomala,-68.4986,-9.2108,24.61666663487752,167.41666666666666
Sapindaceae,Vouarana anomala,-68.2375,-10.1694,25.050000031789143,139.58333333333334
Sapindaceae,Vouarana anomala,-68.1522,-9.7614,24.891666571299236,145.75
Sapindaceae,Vouarana anomala,-66.9347,8.0692,27.166666984558105,121.08333333333333
Sapindaceae,Vouarana anomala,-66.1222,7.6553,27.633333524068195,129.41666666666666
Sapindaceae,Vouarana anomala,-65.0356,-0.3569,26.541666507720947,204.66666666666666
Sapindaceae,Vouarana anomala,-64.7797,-3.2764,26.68333339691162,231.75
Sapindaceae,Vouarana anomala,-62.0875,0.0014,26.65000009536743,186.25
Sapindaceae,Vouarana anomala,-61.7183,0.4608,26.87500015894572,165.41666666666666
Sapindaceae,Vouarana anomala,-61.5731,-1.1125,26.516666730244953,209.41666666666666
Sapindaceae,Vouarana anomala,-59.9294,-2.9694,26.35000006357829,191.75
Sapindaceae,Vouarana anomala,-57.0547,-1.0494,26.891666730244953,222.58333333333334
Sapindaceae,Vouarana anomala,-56.7775,-0.4056,26.72499990463257,209.25
Sapindaceae,Vouarana anomala,-56.5569,-1.3233,27.050000190734863,211.66666666666666
Sapindaceae,Vouarana anomala,-56.3386,-1.5864,26.741666475931805,204.5
Sapindaceae,Vouarana anomala,-55.1142,5.7503,26.916666507720947,182.5
Sapindaceae,Vouarana anomala,-52.0128,0.9106,26.199999968210857,200.33333333333334
Sapindaceae,Vouarana anomala,-84.1211,10.4054,25.458333174387615,308.0833333333333
Sapindaceae,Vouarana anomala,-84.0656,10.4426,25.933333079020183,302.4166666666667
Sapindaceae,Vouarana anomala,-76.03333,-0.6833333,25.31666660308838,259.5833333333333
Sapindaceae,Vouarana anomala,-66.7111,6.57306,27.175000190734863,175
Sapindaceae,Vouarana anomala,-57.5167,-7.5833,26.15000009536743,192.16666666666666
Sapindaceae,Vouarana anomala,-64.77,-17,25.28333330154419,276.75
Sapindaceae,Vouarana anomala,-83.55,8.7,25.19166644414266,257.0833333333333
Sapindaceae,Vouarana anomala,-83.52,8.72,23.858333428700764,289.75
Sapindaceae,Vouarana anomala,-77.65,-1.4,22.69166660308838,365.25
Sapindaceae,Vouarana anomala,-79.4304,9.22481,23.90000009536743,212.58333333333334
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.05777901,10.34566201,24.36666663487752,312.6666666666667
Sapindaceae,Vouarana anomala,-84.01957349,10.41604303,25.65000009536743,308.75
Sapindaceae,Vouarana anomala,-84.00361,10.43138,26.008333206176758,307.9166666666667
