familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Warszewiczia coccinea,-76.391333,8.2551,26.483333110809326,177.91666666666666
Rubiaceae,Warszewiczia coccinea,-76.213667,4.721083,18.774999618530273,178.33333333333334
Rubiaceae,Warszewiczia coccinea,-79.65,9.09,26.008333206176758,198.58333333333334
Rubiaceae,Warszewiczia coccinea,-72.404861,5.504389,22.69166660308838,227.33333333333334
Rubiaceae,Warszewiczia coccinea,-71.063422,6.7871,26.65833330154419,179.66666666666666
Rubiaceae,Warszewiczia coccinea,-69.299961,-12.802287,25.22499990463257,204.25
Rubiaceae,Warszewiczia coccinea,-71.894917,6.360389,23.541666507720947,189.08333333333334
Rubiaceae,Warszewiczia coccinea,-75.706444,6.450923,23.12499984105428,204.41666666666666
Rubiaceae,Warszewiczia coccinea,-84.02203,10.423268,25.766666889190674,314.9166666666667
Rubiaceae,Warszewiczia coccinea,-84.01173,10.424281,25.874999682108562,310.5
Rubiaceae,Warszewiczia coccinea,-84.120754,10.452019,25.849999745686848,293.5833333333333
Rubiaceae,Warszewiczia coccinea,-74.285386,6.452063,27.833333492279053,236.5
Rubiaceae,Warszewiczia coccinea,-61.325577,10.687767,25.10000006357829,177.16666666666666
Rubiaceae,Warszewiczia coccinea,-59.986736,-3.097184,26.949999968210857,203.41666666666666
Rubiaceae,Warszewiczia coccinea,-72.43319,5.51129,19.25833336512248,176.66666666666666
Rubiaceae,Warszewiczia coccinea,-64.435,-16.7261,25.208333333333332,250.41666666666666
Rubiaceae,Warszewiczia coccinea,-79.85,9.15,26.358333428700764,200.33333333333334
Rubiaceae,Warszewiczia coccinea,-75,-4,26.225000222524006,209
Rubiaceae,Warszewiczia coccinea,-70.25,-7.5,25.274999777475994,192.33333333333334
Rubiaceae,Warszewiczia coccinea,-79.83638,9.16361,26.30833339691162,215.33333333333334
Rubiaceae,Warszewiczia coccinea,-80.116667,8.6,23.9416667620341,198.08333333333334
Rubiaceae,Warszewiczia coccinea,-79.64944,9.06444,26.424999872843426,192.08333333333334
Rubiaceae,Warszewiczia coccinea,-74.433333,4.966667,22.02500009536743,191.16666666666666
Rubiaceae,Warszewiczia coccinea,-81.317222,8.006667,26.733333428700764,206.91666666666666
Rubiaceae,Warszewiczia coccinea,-81.8,8.313333,23.78333314259847,237
Rubiaceae,Warszewiczia coccinea,-84.26,10.65,25.958333651224773,277.9166666666667
Rubiaceae,Warszewiczia coccinea,-74.433333,4.966667,22.02500009536743,191.16666666666666
Rubiaceae,Warszewiczia coccinea,-69.587402,-1.315154,26.091666380564373,261.9166666666667
Rubiaceae,Warszewiczia coccinea,-71.67,-3.17,26.258333047231037,251.58333333333334
Rubiaceae,Warszewiczia coccinea,-64.7114,-3.3542,26.825000127156574,229.58333333333334
Rubiaceae,Warszewiczia coccinea,-75.233524,8.240791,27.691666920979817,171.91666666666666
Rubiaceae,Warszewiczia coccinea,-74.473784,5.008107,24.483333428700764,189.91666666666666
Rubiaceae,Warszewiczia coccinea,-74.433333,4.966667,22.02500009536743,191.16666666666666
Rubiaceae,Warszewiczia coccinea,-77.403788,6.225417,NA,NA
Rubiaceae,Warszewiczia coccinea,-70.956387,-0.053033,25.849999745686848,248.75
Rubiaceae,Warszewiczia coccinea,-83.9519,10.0114,17.35000006357829,334.6666666666667
