familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Cunoniaceae,Weinmannia balbisiana,-96.48990719,17.58908773,13.37499992052714,126.33333333333333
Cunoniaceae,Weinmannia balbisiana,-91.50358349,15.92631304,12.975000063578287,132.08333333333334
Cunoniaceae,Weinmannia balbisiana,-90.33531008,15.31817614,18.125000317891438,195.16666666666666
Cunoniaceae,Weinmannia balbisiana,-90.17862294,15.13305934,18.09166685740153,162.91666666666666
Cunoniaceae,Weinmannia balbisiana,-90.17855856,15.13303862,18.09166685740153,162.91666666666666
Cunoniaceae,Weinmannia balbisiana,-89.9768473,15.02094033,23.883333524068195,148.41666666666666
Cunoniaceae,Weinmannia balbisiana,-89.38738345,14.4126728,16.56666652361552,130.75
Cunoniaceae,Weinmannia balbisiana,-89.38704013,14.41150898,16.56666652361552,130.75
Cunoniaceae,Weinmannia balbisiana,-89.35572557,15.11498584,27.1833332379659,119.75
Cunoniaceae,Weinmannia balbisiana,-89.33927536,14.3763214,16.09999982515971,134.5
Cunoniaceae,Weinmannia balbisiana,-89.3368721,14.37864939,16.09999982515971,134.5
Cunoniaceae,Weinmannia balbisiana,-89.15201122,14.34798318,18.64999993642171,125.83333333333333
Cunoniaceae,Weinmannia balbisiana,-89.05945931,14.44046492,14.099999984105429,138.83333333333334
Cunoniaceae,Weinmannia balbisiana,-88.66106775,14.56647884,14.924999872843424,133.16666666666666
Cunoniaceae,Weinmannia balbisiana,-88.65299966,14.56656191,16.841666618982952,125.66666666666667
Cunoniaceae,Weinmannia balbisiana,-88.13360263,15.50257557,21.824999968210857,142
Cunoniaceae,Weinmannia balbisiana,-87.89577752,14.46562247,18.68333339691162,117.41666666666667
Cunoniaceae,Weinmannia balbisiana,-87.89126069,14.78296375,18.266666650772095,119.41666666666667
Cunoniaceae,Weinmannia balbisiana,-87.54124643,14.35334497,21.366666793823242,92.41666666666667
Cunoniaceae,Weinmannia balbisiana,-87.24305022,14.13099804,20.18333339691162,96.5
Cunoniaceae,Weinmannia balbisiana,-87.10802975,14.20648222,14.975000063578287,128.33333333333334
Cunoniaceae,Weinmannia balbisiana,-87.10790101,14.20648222,14.975000063578287,128.33333333333334
Cunoniaceae,Weinmannia balbisiana,-87.10785809,14.20652382,14.975000063578287,128.33333333333334
Cunoniaceae,Weinmannia balbisiana,-87.10781518,14.20639901,14.975000063578287,128.33333333333334
Cunoniaceae,Weinmannia balbisiana,-87.06661952,14.22118115,20.53333314259847,108.33333333333333
Cunoniaceae,Weinmannia balbisiana,-87.06603749,14.22148275,20.53333314259847,108.33333333333333
Cunoniaceae,Weinmannia balbisiana,-85.95579466,15.42930615,20.25833336512248,121.75
Cunoniaceae,Weinmannia balbisiana,-84.0561038,9.56455321,21.291666507720947,242
Cunoniaceae,Weinmannia balbisiana,-84.05567465,9.5636222,21.291666507720947,242
Cunoniaceae,Weinmannia balbisiana,-84.05541715,9.56353756,21.291666507720947,242
Cunoniaceae,Weinmannia balbisiana,-83.96164873,9.80820974,16.825000127156574,190.41666666666666
Cunoniaceae,Weinmannia balbisiana,-83.91932641,9.39403336,23.28333314259847,278
Cunoniaceae,Weinmannia balbisiana,-83.77928984,9.71479252,17.65833330154419,264.75
Cunoniaceae,Weinmannia balbisiana,-83.77671492,9.71496172,17.65833330154419,264.75
Cunoniaceae,Weinmannia balbisiana,-83.67354323,9.27935323,22.81666660308838,248.33333333333334
Cunoniaceae,Weinmannia balbisiana,-83.03117358,9.46197305,24.508333524068195,288.5
