familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Cunoniaceae,Weinmannia karsteniana,-83.84,9.64,10.625,213.16666666666666
Cunoniaceae,Weinmannia karsteniana,-83.94,9.73,14.050000190734863,202.75
Cunoniaceae,Weinmannia karsteniana,-83.848022,9.637492,10.491666714350382,199.66666666666666
Cunoniaceae,Weinmannia karsteniana,-83.75,9.57,8.358333309491476,196.91666666666666
Cunoniaceae,Weinmannia karsteniana,-83.85,9.66,11.541666746139526,189.16666666666666
Cunoniaceae,Weinmannia karsteniana,-83.85,9.67,12.025000015894571,214.41666666666666
Cunoniaceae,Weinmannia karsteniana,-83.85,9.67,12.025000015894571,214.41666666666666
Cunoniaceae,Weinmannia karsteniana,-70.13333,9.55,16.09166653951009,75.91666666666667
Cunoniaceae,Weinmannia karsteniana,-83.85,9.65,10.891666571299234,181.33333333333334
Cunoniaceae,Weinmannia karsteniana,-83.855556000000007,9.672222,11.725000063578287,184.16666666666666
Cunoniaceae,Weinmannia karsteniana,-83.95,9.73,14.108333428700766,215.41666666666666
Cunoniaceae,Weinmannia karsteniana,-83.867722,9.693092,11.366666475931803,185.66666666666666
Cunoniaceae,Weinmannia karsteniana,-83.92,9.69,12.641666730244955,179.08333333333334
Cunoniaceae,Weinmannia karsteniana,-83.67,9.66,12.650000015894571,296.5
Cunoniaceae,Weinmannia karsteniana,-83.782778,9.605556,9.21666661898295,225.33333333333334
Cunoniaceae,Weinmannia karsteniana,-70.18333,9.25,15.383333285649618,98.41666666666667
Cunoniaceae,Weinmannia karsteniana,-70.18333,9.25,15.383333285649618,98.41666666666667
Cunoniaceae,Weinmannia karsteniana,-83.848022,9.637492,10.491666714350382,199.66666666666666
Cunoniaceae,Weinmannia karsteniana,-70.105,9.56527,14.583333412806192,75.16666666666667
Cunoniaceae,Weinmannia karsteniana,-70.17,9.22,16.391666650772095,96.5
Cunoniaceae,Weinmannia karsteniana,-70.166667,9.216667,16.391666650772095,96.5
Cunoniaceae,Weinmannia karsteniana,-83.865,9.693333,11.44166668256124,210.75
Cunoniaceae,Weinmannia karsteniana,-83.865,9.693333,11.44166668256124,210.75
Cunoniaceae,Weinmannia karsteniana,-76,1.583333,21.875,217.25
Cunoniaceae,Weinmannia karsteniana,-83.78,9.6,9.900000015894571,179.75
Cunoniaceae,Weinmannia karsteniana,-83.8675,9.693056,11.366666475931803,185.66666666666666
Cunoniaceae,Weinmannia karsteniana,-83.85,9.66,11.541666746139526,189.16666666666666
Cunoniaceae,Weinmannia karsteniana,-72.91666,10.5,15.475000143051147,100.66666666666667
Cunoniaceae,Weinmannia karsteniana,-72.772278,6.40925,15.875,121.16666666666667
Cunoniaceae,Weinmannia karsteniana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Cunoniaceae,Weinmannia karsteniana,-69.8333,10.1667,25.391666412353516,67.25
Cunoniaceae,Weinmannia karsteniana,-65.9119,7.0758,27.366666952768963,155.91666666666666
