familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Xylopia bocatorena,-84.666667,10.35,22.358333587646484,308.1666666666667
Annonaceae,Xylopia bocatorena,-84.05,10.35,24.46666653951009,305.5
Annonaceae,Xylopia bocatorena,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Xylopia bocatorena,-83.933333,10.15,21.958333492279053,294.25
Annonaceae,Xylopia bocatorena,-83.866667,10.216667,25.34999942779541,310.25
Annonaceae,Xylopia bocatorena,-83.51,10.36,26.15833346048991,304.9166666666667
Annonaceae,Xylopia bocatorena,-82.167778,8.917778,25.774999777475994,239.66666666666666
Annonaceae,Xylopia bocatorena,-82.166667,8.916667,25.774999777475994,239.66666666666666
Annonaceae,Xylopia bocatorena,-80.685,8.831111,25.8166667620341,259.8333333333333
Annonaceae,Xylopia bocatorena,-80.669444,8.931667,26.34166669845581,254.41666666666666
Annonaceae,Xylopia bocatorena,-80.6425,8.8675,26.199999968210857,271.4166666666667
Annonaceae,Xylopia bocatorena,-79.933333,9.433333,NA,NA
Annonaceae,Xylopia bocatorena,-79.761111,9.344444,25.800000031789143,219.91666666666666
Annonaceae,Xylopia bocatorena,-79.733333,9.35,25.849999745686848,217.58333333333334
Annonaceae,Xylopia bocatorena,-79.666667,9.416667,23.94166644414266,218.5
Annonaceae,Xylopia bocatorena,-79,9.25,26.40000009536743,209.83333333333334
Annonaceae,Xylopia bocatorena,-78.966667,9.333333,24.86666663487752,235.91666666666666
Annonaceae,Xylopia bocatorena,-82.283333,9.4,25.87500015894572,238.16666666666666
Annonaceae,Xylopia bocatorena,-79.9106,8.5714,27.283333778381348,160.33333333333334
Annonaceae,Xylopia bocatorena,-80,9.1667,26.508333524068195,203.41666666666666
Annonaceae,Xylopia bocatorena,-79.8,9.32916,26.458333333333332,224.91666666666666
Annonaceae,Xylopia bocatorena,-79.654167,9.395833,23.899999777475994,236.58333333333334
Annonaceae,Xylopia bocatorena,-79.65,9.31666,26.416666348775227,209.58333333333334
Annonaceae,Xylopia bocatorena,-84.003611,10.431389,26.008333206176758,307.9166666666667
Annonaceae,Xylopia bocatorena,-84.1,10.4,25.241666952768963,297.5833333333333
Annonaceae,Xylopia bocatorena,-79.65,9.316667,26.341666380564373,226.83333333333334
Annonaceae,Xylopia bocatorena,-78.932778,9.2625,25.59166685740153,187.58333333333334
Annonaceae,Xylopia bocatorena,-78.93,9.2575,25.675000031789143,190.08333333333334
Annonaceae,Xylopia bocatorena,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Xylopia bocatorena,-84,10.43,26.050000031789143,308.9166666666667
Annonaceae,Xylopia bocatorena,-79.75,9.358333,25.449999809265137,205.58333333333334
Annonaceae,Xylopia bocatorena,-78.931111,9.258889,25.59166685740153,187.58333333333334
Annonaceae,Xylopia bocatorena,-78.929167,9.272778,24.991666793823242,189.08333333333334
Annonaceae,Xylopia bocatorena,-78.928333,9.268056,24.991666793823242,189.08333333333334
Annonaceae,Xylopia bocatorena,-78.966667,9.3,24.89999993642171,209.16666666666666
Annonaceae,Xylopia bocatorena,-78.9375,9.30972,24.625,225.16666666666666
Annonaceae,Xylopia bocatorena,-78.93138,9.27722,24.958333333333332,190.75
Annonaceae,Xylopia bocatorena,-79.55,9.55,26.26666720708211,242.25
