familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Xylopia macrantha,-77.25,5.533333,24.141666571299236,404.75
Annonaceae,Xylopia macrantha,-72.22,-0.56,26.299999872843426,227.75
Annonaceae,Xylopia macrantha,-83.35,8.42,25.88333336512248,252.33333333333334
Annonaceae,Xylopia macrantha,-83.598056,8.551111,26.324999968210857,249.58333333333334
Annonaceae,Xylopia macrantha,-72.8667,3.8811,26.583333174387615,229.33333333333334
Annonaceae,Xylopia macrantha,-77.444945,5.603298,NA,NA
Annonaceae,Xylopia macrantha,-76.950968,7.611055,27.333333174387615,246.16666666666666
Annonaceae,Xylopia macrantha,-75.083333,8.033333,27.808333079020183,241.91666666666666
Annonaceae,Xylopia macrantha,-83.566667,8.666667,24.883333524068195,267.8333333333333
Annonaceae,Xylopia macrantha,-83.583337,8.466667,26.05833339691162,305.3333333333333
Annonaceae,Xylopia macrantha,-83.527778,8.705556,25.291666666666668,277.3333333333333
Annonaceae,Xylopia macrantha,-83.339797,8.403175,26.258333206176758,304.9166666666667
Annonaceae,Xylopia macrantha,-83.594445,8.7,24.61666663487752,235.25
Annonaceae,Xylopia macrantha,-83.733334,8.616667,NA,NA
Annonaceae,Xylopia macrantha,-83.678611,8.678611,26.0666667620341,266.5
Annonaceae,Xylopia macrantha,-83.675,8.686111,26.166666825612385,287.5833333333333
Annonaceae,Xylopia macrantha,-79.85,9.15,26.358333428700764,200.33333333333334
Annonaceae,Xylopia macrantha,-79.83805,9.16361,26.30833339691162,215.33333333333334
Annonaceae,Xylopia macrantha,-79.85,9.15,26.358333428700764,200.33333333333334
Annonaceae,Xylopia macrantha,-79.85,9.15,26.358333428700764,200.33333333333334
Annonaceae,Xylopia macrantha,-80.04527,9.27833,26.583333651224773,229.83333333333334
Annonaceae,Xylopia macrantha,-79.85,9.15,26.358333428700764,200.33333333333334
Annonaceae,Xylopia macrantha,-79.958056,9.234722,26.12499984105428,200.08333333333334
Annonaceae,Xylopia macrantha,-79.841389,9.138333,26.59999990463257,198.83333333333334
Annonaceae,Xylopia macrantha,-79.84138,9.13833,26.59999990463257,198.83333333333334
Annonaceae,Xylopia macrantha,-79.81944,9.16055,26.508333206176758,209
Annonaceae,Xylopia macrantha,-79.841389,9.138333,26.59999990463257,198.83333333333334
Annonaceae,Xylopia macrantha,-79.81972,9.16,26.508333206176758,209
Annonaceae,Xylopia macrantha,-79.766667,9.166667,26.225000222524006,199.33333333333334
Annonaceae,Xylopia macrantha,-79.17805,9.23083,25.558333079020183,216.83333333333334
Annonaceae,Xylopia macrantha,-83.5,8.71,25.30833339691162,264.4166666666667
Annonaceae,Xylopia macrantha,-77.196233,8.168822,24.233333428700764,188.66666666666666
Annonaceae,Xylopia macrantha,-83.59,8.483333,26.041666666666668,310.9166666666667
Annonaceae,Xylopia macrantha,-79.850833,9.184167,26.483333428700764,205.08333333333334
Annonaceae,Xylopia macrantha,-84.145833,9.381389,26.458333015441895,201.25
Annonaceae,Xylopia macrantha,-79.85,9.15,26.358333428700764,200.33333333333334
Annonaceae,Xylopia macrantha,-77,3.916667,26.27500009536743,462.1666666666667
Annonaceae,Xylopia macrantha,-76.966667,3.983333,26.333333492279053,511.5833333333333
Annonaceae,Xylopia macrantha,-77,3.91666,26.325000127156574,475.75
Annonaceae,Xylopia macrantha,-77.16666,3.88333,26.083333174387615,513.5833333333334
Annonaceae,Xylopia macrantha,-77,3.66666,26.025000254313152,350.3333333333333
Annonaceae,Xylopia macrantha,-77,3.91666,26.325000127156574,475.75
Annonaceae,Xylopia macrantha,-75.08333,8.03333,27.808333079020183,241.91666666666666
Annonaceae,Xylopia macrantha,-83.56,8.66,25.14999993642171,267.3333333333333
Annonaceae,Xylopia macrantha,-77.13333,3.96666,25.958333333333332,516.1666666666666
Annonaceae,Xylopia macrantha,-77.1,3.96666,26.016666571299236,543.75
Annonaceae,Xylopia macrantha,-83.583333,8.466667,25.9333332379659,293.9166666666667
Annonaceae,Xylopia macrantha,-77,3.91666,26.325000127156574,475.75
Annonaceae,Xylopia macrantha,-71.416667,-11.833333,24.950000127156574,209.41666666666666
Annonaceae,Xylopia macrantha,-83.52,8.7,25.516666571299236,242.16666666666666
Annonaceae,Xylopia macrantha,-77.33333,6.33333,25,348.3333333333333
Annonaceae,Xylopia macrantha,-83.343055,8.416667,25.88333336512248,252.33333333333334
Annonaceae,Xylopia macrantha,-83.594444,8.7,24.61666663487752,235.25
