familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Xylopia sericophylla,-83.9519,10.0114,17.35000006357829,334.6666666666667
Annonaceae,Xylopia sericophylla,-83.725,9.161111,25.675000190734863,283.3333333333333
Annonaceae,Xylopia sericophylla,-83.72,9.16,25.675000190734863,283.3333333333333
Annonaceae,Xylopia sericophylla,-83.475,8.625,26.27499993642171,242.91666666666666
Annonaceae,Xylopia sericophylla,-83.466667,8.616667,26.27499993642171,242.91666666666666
Annonaceae,Xylopia sericophylla,-83.416667,10.016667,24.641666730244953,282
Annonaceae,Xylopia sericophylla,-83.41,10.01,25.333333333333332,293.5
Annonaceae,Xylopia sericophylla,-83.73,8.6,26.016666571299236,322.4166666666667
Annonaceae,Xylopia sericophylla,-83.716667,8.591667,25.8166667620341,302.3333333333333
Annonaceae,Xylopia sericophylla,-83.377778,8.755556,26.016666571299236,283.6666666666667
Annonaceae,Xylopia sericophylla,-83.456944,8.729167,25.733333110809326,300.75
Annonaceae,Xylopia sericophylla,-84.5,10.5,26.18333339691162,277.0833333333333
Annonaceae,Xylopia sericophylla,-84.296667,10.748333,25.59166653951009,270.1666666666667
Annonaceae,Xylopia sericophylla,-83.163333,8.653056,24.61666663487752,267.0833333333333
Annonaceae,Xylopia sericophylla,-83.16,8.65,25.241666475931805,287.5833333333333
Annonaceae,Xylopia sericophylla,-83.143611,8.619167,26.100000222524006,261.25
Annonaceae,Xylopia sericophylla,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Annonaceae,Xylopia sericophylla,-83.019777,9.660515,25.24999984105428,273.5833333333333
Annonaceae,Xylopia sericophylla,-84.180556,10.686111,25.84999990463257,278.8333333333333
Annonaceae,Xylopia sericophylla,-83.335556,8.405833,26.258333206176758,304.9166666666667
Annonaceae,Xylopia sericophylla,-83.466667,8.736111,25.508333206176758,274.5833333333333
Annonaceae,Xylopia sericophylla,-83.51,8.7,26.125000317891438,247.33333333333334
Annonaceae,Xylopia sericophylla,-83.72,9.16,25.675000190734863,283.3333333333333
Annonaceae,Xylopia sericophylla,-83.4666667,8.6166667,26.27499993642171,242.91666666666666
Annonaceae,Xylopia sericophylla,-83.41,10.01,25.333333333333332,293.5
Annonaceae,Xylopia sericophylla,-85.40833,11.03333,24.475000222524006,232.25
Annonaceae,Xylopia sericophylla,-83.3777778,8.7555556,26.016666571299236,283.6666666666667
Annonaceae,Xylopia sericophylla,-83.91666,11.9,25.950000127156574,291.6666666666667
Annonaceae,Xylopia sericophylla,-83.73,8.61,25.924999872843426,308.9166666666667
Annonaceae,Xylopia sericophylla,-84.33055,10.96666,25.708333333333332,263.75
Annonaceae,Xylopia sericophylla,-83.16333,8.65305,24.61666663487752,267.0833333333333
Annonaceae,Xylopia sericophylla,-83.1436111,8.6191667,26.100000222524006,261.25
Annonaceae,Xylopia sericophylla,-83.1680556,8.6541667,24.850000222524006,285.3333333333333
Annonaceae,Xylopia sericophylla,-83.0197223,9.6602778,25.24999984105428,273.5833333333333
Annonaceae,Xylopia sericophylla,-83.9,11.01666,25.96666685740153,294.5833333333333
Annonaceae,Xylopia sericophylla,-84.3397222,11.1177778,25.68333339691162,253.33333333333334
Annonaceae,Xylopia sericophylla,-84.18056,10.686111,25.84999990463257,278.8333333333333
Annonaceae,Xylopia sericophylla,-83.33556,8.4058333,26.258333206176758,304.9166666666667
Annonaceae,Xylopia sericophylla,-84.2206,10.6914,25.59999990463257,285.5833333333333
Annonaceae,Xylopia sericophylla,-83.5503,8.5061,25.69166660308838,230.25
Annonaceae,Xylopia sericophylla,-83.2583,8.6747,25.78333330154419,290.75
Annonaceae,Xylopia sericophylla,-84.1211,10.4054,25.458333174387615,308.0833333333333
Annonaceae,Xylopia sericophylla,-84.1131,10.4115,25.408332983652752,294.6666666666667
Annonaceae,Xylopia sericophylla,-84.1045,10.4143,25.383333047231037,301.4166666666667
Annonaceae,Xylopia sericophylla,-84.102,10.4054,25.291666825612385,304.9166666666667
Annonaceae,Xylopia sericophylla,-84.0659,10.4554,25.891666412353516,298
Annonaceae,Xylopia sericophylla,-84.0348,10.432,25.908332983652752,307.1666666666667
Annonaceae,Xylopia sericophylla,-84.0278,10.4134,25.608333587646484,311.25
Annonaceae,Xylopia sericophylla,-83.9928,10.3615,25.575000127156574,313.75
Annonaceae,Xylopia sericophylla,-84.1211,10.4054,25.458333174387615,308.0833333333333
Annonaceae,Xylopia sericophylla,-84.1131,10.4115,25.408332983652752,294.6666666666667
Annonaceae,Xylopia sericophylla,-84.1045,10.4143,25.383333047231037,301.4166666666667
Annonaceae,Xylopia sericophylla,-84.102,10.4054,25.291666825612385,304.9166666666667
Annonaceae,Xylopia sericophylla,-84.0659,10.4554,25.891666412353516,298
Annonaceae,Xylopia sericophylla,-84.0348,10.432,25.908332983652752,307.1666666666667
Annonaceae,Xylopia sericophylla,-84.0278,10.4134,25.608333587646484,311.25
Annonaceae,Xylopia sericophylla,-83.9928,10.3615,25.575000127156574,313.75
Annonaceae,Xylopia sericophylla,-83.51,8.7,26.125000317891438,247.33333333333334
Annonaceae,Xylopia sericophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Annonaceae,Xylopia sericophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Annonaceae,Xylopia sericophylla,-84.003611,10.431389,26.008333206176758,307.9166666666667
Annonaceae,Xylopia sericophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Annonaceae,Xylopia sericophylla,-83.72,9.16,25.675000190734863,283.3333333333333
Annonaceae,Xylopia sericophylla,-83.41,10.01,25.333333333333332,293.5
Annonaceae,Xylopia sericophylla,-83.73,8.6,26.016666571299236,322.4166666666667
Annonaceae,Xylopia sericophylla,-83.716667,8.583333,NA,NA
Annonaceae,Xylopia sericophylla,-83.441667,8.722222,NA,NA
Annonaceae,Xylopia sericophylla,-83.44,8.72,26.199999968210857,272.8333333333333
Annonaceae,Xylopia sericophylla,-84.33055,10.96666,25.708333333333332,263.75
Annonaceae,Xylopia sericophylla,-83.433333,8.733333,25.86666663487752,282.1666666666667
Annonaceae,Xylopia sericophylla,-83.16333,8.65305,24.61666663487752,267.0833333333333
Annonaceae,Xylopia sericophylla,-83.16,8.65,25.241666475931805,287.5833333333333
Annonaceae,Xylopia sericophylla,-83.168056000000007,8.654167,24.850000222524006,285.3333333333333
Annonaceae,Xylopia sericophylla,-83.019722,9.660278,25.24999984105428,273.5833333333333
Annonaceae,Xylopia sericophylla,-84.00361,10.43138,26.008333206176758,307.9166666666667
Annonaceae,Xylopia sericophylla,-82.15,8.916667,24.77499993642171,252.16666666666666
