familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Xylosma hispidula,-84.48,10.15,20.491666793823242,261.1666666666667
Salicaceae,Xylosma hispidula,-84.48,10.15,20.491666793823242,261.1666666666667
Salicaceae,Xylosma hispidula,-84.122222,10.116667,12.583333174387613,186.25
Salicaceae,Xylosma hispidula,-84.85,10.366667,19.34166669845581,239.83333333333334
Salicaceae,Xylosma hispidula,-84.5,10.330556,25.158333619435627,293.6666666666667
Salicaceae,Xylosma hispidula,-83.51,8.71,24.21666653951009,261.6666666666667
Salicaceae,Xylosma hispidula,-85.321333,10.965833,24.39999993642171,253.16666666666666
Salicaceae,Xylosma hispidula,-82.6,9.583333,26.34166653951009,252.75
Salicaceae,Xylosma hispidula,-85.07,10.74,23.516666730244953,275.1666666666667
Salicaceae,Xylosma hispidula,-84.119444,10.133333,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.866667,10.75,26.225000222524006,236.33333333333334
Salicaceae,Xylosma hispidula,-84.86,10.75,26.208333492279053,242.75
Salicaceae,Xylosma hispidula,-82.6,9.58333,26.34166653951009,252.75
Salicaceae,Xylosma hispidula,-84.08333,9.60833,19.61666663487752,231.5
Salicaceae,Xylosma hispidula,-83.8581,10.0194,14.416666507720947,321.9166666666667
Salicaceae,Xylosma hispidula,-85.40165,10.882909,23.00833336512248,225.33333333333334
Salicaceae,Xylosma hispidula,-84.88333,10.41666,21.458333333333332,285.3333333333333
Salicaceae,Xylosma hispidula,-84.13,9.743056,17.350000222524006,173.25
Salicaceae,Xylosma hispidula,-84.06,10.46,25.63333336512248,304.5
Salicaceae,Xylosma hispidula,-83.594444,8.477778,26.258333206176758,305.3333333333333
Salicaceae,Xylosma hispidula,-84.5,10.33,25.158333619435627,293.6666666666667
Salicaceae,Xylosma hispidula,-84.5,10.33,25.158333619435627,293.6666666666667
Salicaceae,Xylosma hispidula,-84.78,10.25,19.233333269755047,207.41666666666666
Salicaceae,Xylosma hispidula,-83.924722,10.0275,17.108333269755047,336.5
Salicaceae,Xylosma hispidula,-82.76555,8.90305,17.75,225.33333333333334
Salicaceae,Xylosma hispidula,-83.68,8.7,26.27499993642171,272.0833333333333
Salicaceae,Xylosma hispidula,-84.01,10.43,25.949999809265137,317.4166666666667
Salicaceae,Xylosma hispidula,-84.01,10.43,25.949999809265137,317.4166666666667
Salicaceae,Xylosma hispidula,-84.083333,9.608333,19.61666663487752,231.5
Salicaceae,Xylosma hispidula,-84.750001,10.3,20.366666952768963,291.0833333333333
Salicaceae,Xylosma hispidula,-84.1,10.133333,11.49999992052714,191.91666666666666
Salicaceae,Xylosma hispidula,-84.120833,10.122778,12.583333174387613,186.25
Salicaceae,Xylosma hispidula,-84.125417,10.128889,12.475000063578287,188.08333333333334
Salicaceae,Xylosma hispidula,-84.120833,10.133333,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.116667,10.133333,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.119444,10.127778,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.889778,10.80325,26.25,247.08333333333334
Salicaceae,Xylosma hispidula,-84.18,9.7,15.574999968210856,204.91666666666666
Salicaceae,Xylosma hispidula,-84.109722,9.722778,16.633333285649616,212.16666666666666
Salicaceae,Xylosma hispidula,-84.117778,10.235278,18.700000286102295,250.58333333333334
Salicaceae,Xylosma hispidula,-85.401389,10.880556,23.00833336512248,225.33333333333334
Salicaceae,Xylosma hispidula,-84.9853,10.58,22.483333269755047,245.91666666666666
Salicaceae,Xylosma hispidula,-84.183056,9.700278,16.1916667620341,199.25
Salicaceae,Xylosma hispidula,-84.116667,10.033333,20.300000031789143,222.08333333333334
Salicaceae,Xylosma hispidula,-83.98,10.05,18.65833346048991,298
Salicaceae,Xylosma hispidula,-84.85,10.36666,19.258333206176758,209.33333333333334
Salicaceae,Xylosma hispidula,-83.858056,10.019444,14.416666507720947,321.9166666666667
Salicaceae,Xylosma hispidula,-84.8,10.3,18.574999968210857,210.08333333333334
Salicaceae,Xylosma hispidula,-84.76675,10.323111,17.516666730244953,286.5
Salicaceae,Xylosma hispidula,-84.80666,10.3175,17.65833314259847,214.41666666666666
Salicaceae,Xylosma hispidula,-84.34888,11.06638,25.77499993642171,258
Salicaceae,Xylosma hispidula,-84.35111,11.12083,25.78333330154419,261
Salicaceae,Xylosma hispidula,-84.280278,11.100833,24.641666730244953,275
Salicaceae,Xylosma hispidula,-84.216667,11.016667,24.71666653951009,281.0833333333333
Salicaceae,Xylosma hispidula,-84.16946,10.174392,16.608333349227905,255.83333333333334
Salicaceae,Xylosma hispidula,-85.29111,10.75,22.46666685740153,208.5
Salicaceae,Xylosma hispidula,-84.766667,10.25,18.574999968210857,208.5
Salicaceae,Xylosma hispidula,-84.008333,10.041667,18.30833339691162,272.3333333333333
Salicaceae,Xylosma hispidula,-83.857539,9.797956,20.458333651224773,255.25
Salicaceae,Xylosma hispidula,-84.12222,10.11666,13.59166661898295,199
Salicaceae,Xylosma hispidula,-84.120833,10.122778,12.583333174387613,186.25
Salicaceae,Xylosma hispidula,-84.01,10.06,17.433333079020183,322.25
Salicaceae,Xylosma hispidula,-85.3,10.783333,20.299999872843426,198.08333333333334
Salicaceae,Xylosma hispidula,-84.3,10.21,18.625,286.75
Salicaceae,Xylosma hispidula,-84.11666,10.13333,11.524999856948853,174.41666666666666
Salicaceae,Xylosma hispidula,-84.12083,10.13333,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.1,10.13,11.49999992052714,191.91666666666666
Salicaceae,Xylosma hispidula,-84.12,10.12,12.583333174387613,186.25
Salicaceae,Xylosma hispidula,-85.47666,10.92888,21.75,181.41666666666666
Salicaceae,Xylosma hispidula,-85.481389,10.976944,20.25833336512248,198.91666666666666
Salicaceae,Xylosma hispidula,-84.369444,10.252778,16.36666663487752,217.25
Salicaceae,Xylosma hispidula,-85.3,10.78,20.299999872843426,198.08333333333334
Salicaceae,Xylosma hispidula,-84.985278,10.58,22.483333269755047,245.91666666666666
Salicaceae,Xylosma hispidula,-84.03,10.05,17.90833330154419,230.33333333333334
Salicaceae,Xylosma hispidula,-84.033334,10.283333,22.78333330154419,294.5
Salicaceae,Xylosma hispidula,-84.03,10.28,23.1916667620341,298.8333333333333
Salicaceae,Xylosma hispidula,-84.61,10.21,20.09999990463257,285.6666666666667
Salicaceae,Xylosma hispidula,-84.658333,10.452778,24.68333339691162,298.9166666666667
Salicaceae,Xylosma hispidula,-84.78,10.3,18.616666475931805,253.41666666666666
Salicaceae,Xylosma hispidula,-84.76,10.25,17.87500015894572,198.41666666666666
Salicaceae,Xylosma hispidula,-84.016667,10.05,18.208333492279053,233.41666666666666
Salicaceae,Xylosma hispidula,-84.01,10.05,18.266666730244953,230.58333333333334
Salicaceae,Xylosma hispidula,-84.75,10.3,20.391666730244953,286.8333333333333
Salicaceae,Xylosma hispidula,-84.76666,10.25,17.87500015894572,198.41666666666666
Salicaceae,Xylosma hispidula,-84.78,10.38,21.741666475931805,303.5
Salicaceae,Xylosma hispidula,-84.8,11.083333,26.21666653951009,202.33333333333334
Salicaceae,Xylosma hispidula,-84.117778,10.235278,18.700000286102295,250.58333333333334
Salicaceae,Xylosma hispidula,-83.59027,8.64583,24.21666653951009,284
Salicaceae,Xylosma hispidula,-83.9,9.6,12.008333444595337,198.16666666666666
Salicaceae,Xylosma hispidula,-85.3,10.775,21.21666669845581,192.83333333333334
Salicaceae,Xylosma hispidula,-85.30555,10.7625,22.00000015894572,177.91666666666666
Salicaceae,Xylosma hispidula,-83.590278,8.645833,24.21666653951009,284
Salicaceae,Xylosma hispidula,-83.883978,9.635278,13.683333476384481,178.66666666666666
Salicaceae,Xylosma hispidula,-84.783334,10.3,18.35000006357829,240.33333333333334
Salicaceae,Xylosma hispidula,-82.45,8.85,15.083333412806192,287.1666666666667
Salicaceae,Xylosma hispidula,-82.6,9.58,26.34166653951009,252.75
Salicaceae,Xylosma hispidula,-84.783333,10.383333,21.741666475931805,303.5
Salicaceae,Xylosma hispidula,-85.291111,10.75,22.46666685740153,208.5
Salicaceae,Xylosma hispidula,-85.298611,10.780556,20.299999872843426,198.08333333333334
Salicaceae,Xylosma hispidula,-84.125056,10.130611,12.475000063578287,188.08333333333334
Salicaceae,Xylosma hispidula,-85.036944,10.718889,23.05833339691162,280
Salicaceae,Xylosma hispidula,-83.244148,8.672538,24.6833332379659,297.5833333333333
Salicaceae,Xylosma hispidula,-82.78361,8.91305,19.56666660308838,224.25
Salicaceae,Xylosma hispidula,-83.595012,8.481076,26.258333206176758,305.3333333333333
Salicaceae,Xylosma hispidula,-85.29,10.75,22.46666685740153,208.5
Salicaceae,Xylosma hispidula,-83.87,9.92,14.441666523615519,179.83333333333334
Salicaceae,Xylosma hispidula,-84.12,10.09,16.775000015894573,191.83333333333334
Salicaceae,Xylosma hispidula,-85.401652,10.882909,23.00833336512248,225.33333333333334
Salicaceae,Xylosma hispidula,-84.169464,10.174392,16.608333349227905,255.83333333333334
Salicaceae,Xylosma hispidula,-83.963889,10.009722,17.75,334.4166666666667
Salicaceae,Xylosma hispidula,-84.42694,10.30611,22.141666412353516,301.8333333333333
Salicaceae,Xylosma hispidula,-84.124933,10.130857,11.950000047683716,179.75
Salicaceae,Xylosma hispidula,-84.1,9.72,16.691666841506958,193.91666666666666
Salicaceae,Xylosma hispidula,-84.14027,9.84916,14.616666714350382,216.75
Salicaceae,Xylosma hispidula,-84.016667,10.061111,17.10000006357829,304.75
Salicaceae,Xylosma hispidula,-85.309778,10.944278,24.208333174387615,256.6666666666667
Salicaceae,Xylosma hispidula,-85.261556,10.927083,25.27499993642171,249.33333333333334
Salicaceae,Xylosma hispidula,-85.321333,10.965833,24.39999993642171,253.16666666666666
Salicaceae,Xylosma hispidula,-79.9106,8.5714,27.283333778381348,160.33333333333334
Salicaceae,Xylosma hispidula,-84.5,10.5,26.18333339691162,277.0833333333333
