familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Xylosma intermedia,-89.52,13.83,23.21666669845581,147.41666666666666
Salicaceae,Xylosma intermedia,-89.93333,13.81666,23.78333330154419,153.91666666666666
Salicaceae,Xylosma intermedia,-92.815278,15.203056,27.53333330154419,151.75
Salicaceae,Xylosma intermedia,-91.9,16.033333,22.799999872843426,133.41666666666666
Salicaceae,Xylosma intermedia,-93.9375,16.626389,23.8166667620341,60.5
Salicaceae,Xylosma intermedia,-92.959722,16.506944,25.541666507720947,92.33333333333333
Salicaceae,Xylosma intermedia,-91.983333,15.95,24.27499993642171,116.83333333333333
Salicaceae,Xylosma intermedia,-95.447781,16.311111,25.55833355585734,53.75
Salicaceae,Xylosma intermedia,-92.56389,16.33806,24.324999809265137,117.41666666666667
Salicaceae,Xylosma intermedia,-105.027883,19.548889,25.49166663487752,79.5
Salicaceae,Xylosma intermedia,-105.05,19.5,25.200000127156574,78.5
Salicaceae,Xylosma intermedia,-85.35,10.77,22.40000009536743,172.58333333333334
Salicaceae,Xylosma intermedia,-84.81666,10.3,19.1916667620341,181.5
Salicaceae,Xylosma intermedia,-84.8,10.3,18.574999968210857,210.08333333333334
Salicaceae,Xylosma intermedia,-83.58,8.46,25.71666653951009,305.5833333333333
Salicaceae,Xylosma intermedia,-83.9686111,9.6469444,18.074999968210857,189.16666666666666
Salicaceae,Xylosma intermedia,-72.3736111,-12.8980555,17.133333206176758,104.5
Salicaceae,Xylosma intermedia,-63,-5,26.766666730244953,200.91666666666666
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-100,17.6667,24.25,91
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Xylosma intermedia,-76.5,3.75,19.62500015894572,133.41666666666666
Salicaceae,Xylosma intermedia,-83.9519,10.0114,17.35000006357829,334.6666666666667
Salicaceae,Xylosma intermedia,-70.25,-12,24.558333079020183,225.75
