familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Zygia gigantifoliola,-82.766667,9.633333,26.03333330154419,269.3333333333333
Fabaceae,Zygia gigantifoliola,-84.066667,10.766667,25.8083332379659,282.8333333333333
Fabaceae,Zygia gigantifoliola,-83.966667,10.433333,26.075000127156574,310.5
Fabaceae,Zygia gigantifoliola,-84.788889,10.894444,26.291666666666668,244.08333333333334
Fabaceae,Zygia gigantifoliola,-84.86,10.75,26.208333492279053,242.75
Fabaceae,Zygia gigantifoliola,-84.25,10.6975,25.708333333333332,285.8333333333333
Fabaceae,Zygia gigantifoliola,-82.961111,9.402778,23.733333110809326,271
Fabaceae,Zygia gigantifoliola,-84,10.43,26.050000031789143,308.9166666666667
Fabaceae,Zygia gigantifoliola,-84.05,10.33,24.0666667620341,295.75
Fabaceae,Zygia gigantifoliola,-83.75,10.633333,26.0583332379659,306.25
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.003611,10.431389,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-83.788889,10.441667,26.05833339691162,301.75
Fabaceae,Zygia gigantifoliola,-83.78,10.43,26.075000127156574,311.6666666666667
Fabaceae,Zygia gigantifoliola,-82.233333,9,25.958333651224773,245.58333333333334
Fabaceae,Zygia gigantifoliola,-82.623585,9.610784,26.466667016347248,252.66666666666666
Fabaceae,Zygia gigantifoliola,-82.63333,9.61666,26.391666730244953,259.25
Fabaceae,Zygia gigantifoliola,-82.63,9.61,26.391666730244953,259.25
Fabaceae,Zygia gigantifoliola,-83.677778,10.65,25.708333492279053,308.3333333333333
Fabaceae,Zygia gigantifoliola,-83.67,10.65,26.050000190734863,305.75
Fabaceae,Zygia gigantifoliola,-82.65,9.63,26.34999990463257,248.08333333333334
Fabaceae,Zygia gigantifoliola,-82.65,9.63,26.34999990463257,248.08333333333334
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Zygia gigantifoliola,-83.5,10.4,26.166666825612385,309.25
Fabaceae,Zygia gigantifoliola,-84.766694,10.923556,26.28333330154419,232.41666666666666
Fabaceae,Zygia gigantifoliola,-84.33333,10.96666,25.708333333333332,263.75
Fabaceae,Zygia gigantifoliola,-84.348889,11.066389,25.77499993642171,258
Fabaceae,Zygia gigantifoliola,-84.766694,10.923556,26.28333330154419,232.41666666666666
Fabaceae,Zygia gigantifoliola,-84,10.43,26.050000031789143,308.9166666666667
Fabaceae,Zygia gigantifoliola,-84.471111,10.358889,25.324999650319416,291.8333333333333
Fabaceae,Zygia gigantifoliola,-84.07,10.29,21.866666952768963,289.5
Fabaceae,Zygia gigantifoliola,-84.078889,10.332778,23.71666669845581,291
Fabaceae,Zygia gigantifoliola,-84.0825,10.27722,21.183332920074463,285.3333333333333
Fabaceae,Zygia gigantifoliola,-83.55,10.4,25.5666667620341,301.5833333333333
Fabaceae,Zygia gigantifoliola,-84.05,10.4,25.34166653951009,309.8333333333333
Fabaceae,Zygia gigantifoliola,-83.55,10.4,25.5666667620341,301.5833333333333
Fabaceae,Zygia gigantifoliola,-84.311111,10.879167,25.68333339691162,277.3333333333333
Fabaceae,Zygia gigantifoliola,-84.76,10.3,20.074999968210857,290
Fabaceae,Zygia gigantifoliola,-83.02,9.67,25.64999993642171,256.5833333333333
Fabaceae,Zygia gigantifoliola,-83.023611,9.677778,25.8166667620341,281.9166666666667
Fabaceae,Zygia gigantifoliola,-83.75,10.63,26.0583332379659,306.25
Fabaceae,Zygia gigantifoliola,-82.76,9.63,26.1916667620341,279.4166666666667
Fabaceae,Zygia gigantifoliola,-82.76,9.63,26.1916667620341,279.4166666666667
Fabaceae,Zygia gigantifoliola,-83.9,11.116667,26.15833330154419,306.0833333333333
Fabaceae,Zygia gigantifoliola,-83.73,10.64,26.06666660308838,304.9166666666667
Fabaceae,Zygia gigantifoliola,-83.75,10.63,26.0583332379659,306.25
Fabaceae,Zygia gigantifoliola,-83.73,10.64,26.06666660308838,304.9166666666667
Fabaceae,Zygia gigantifoliola,-82.638889,9.566667,26.25833288828532,233.25
Fabaceae,Zygia gigantifoliola,-82.65,9.56,26.375,232.66666666666666
Fabaceae,Zygia gigantifoliola,-82.65,9.56,26.375,232.66666666666666
Fabaceae,Zygia gigantifoliola,-83.736111,10.643889,26.074999968210857,304.5833333333333
Fabaceae,Zygia gigantifoliola,-83.736112,10.643889,26.074999968210857,304.5833333333333
Fabaceae,Zygia gigantifoliola,-83.736112,10.643889,26.074999968210857,304.5833333333333
Fabaceae,Zygia gigantifoliola,-83.023611,9.677778,25.8166667620341,281.9166666666667
Fabaceae,Zygia gigantifoliola,-82.668056000000007,9.613889,25.958333651224773,243.5
Fabaceae,Zygia gigantifoliola,-82.96,9.4,22.608333428700764,270.9166666666667
Fabaceae,Zygia gigantifoliola,-82.96,9.4,22.608333428700764,270.9166666666667
Fabaceae,Zygia gigantifoliola,-80.682222,9.018333,26.416666666666668,234.75
Fabaceae,Zygia gigantifoliola,-84,10.5,26.02499993642171,310.25
